column,corr_with_Wh,abs_corr,weight
TxSoil0cm,0.5478378426096221,0.5478378426096221,0.06686046949927105
Temperature,0.5464772602136138,0.5464772602136138,0.06669441821417503
TxSoil10cm,0.5424028286373953,0.5424028286373953,0.06619715718738842
TxSoil5cm,0.5414799238761077,0.5414799238761077,0.06608452194965297
T Min,0.5370194596733286,0.5370194596733286,0.06554014785281825
TxSoil20cm,0.5162419653639972,0.5162419653639972,0.06300437373045585
DHT11_temp,0.5098690294643596,0.5098690294643596,0.06222659342176301
TxSoil30cm,0.5024435690576298,0.5024435690576298,0.061320358528099445
Td dew point,0.4967180073743697,0.4967180073743697,0.060621586532966225
TxSoil50cm,0.49246904088619403,0.49246904088619403,0.060103024520285896
T Max,0.48302256410932065,0.48302256410932065,0.0589501361593667
UVI Max,0.43685169001002194,0.43685169001002194,0.05331524554143146
TxSoil100cm,0.40420284285453656,0.40420284285453656,0.049330640828789886
DHT11_humidity,0.3479720168677682,0.3479720168677682,0.04246799072798958
GloblRad,0.2902016699632527,0.2902016699632527,0.035417450920859024
SunshineRate,-0.25522415389703224,0.25522415389703224,0.031148645511276822
day_of_year,-0.2248998007865459,0.2248998007865459,0.027447731977135386
Cloud Amount Sat,0.21825620239052496,0.21825620239052496,0.026636918861694787
LM35_tempC,0.16209576948817567,0.16209576948817567,0.019782859833485128
SunShine,-0.13806242784979386,0.13806242784979386,0.016849728201095107
