column,corr_with_Wh,abs_corr,weight
dayofyear_cos,-0.6900806299077233,0.6900806299077233,0.0233223979506381
Wh_roll_mean_7,0.6543586299129922,0.6543586299129922,0.022115114825503556
Wh_lag1_roll7,0.6541903065516761,0.6541903065516761,0.022109426063572173
Wh_roll_mean_14,0.6511796670894766,0.6511796670894766,0.022007676603320404
Wh_lag1,0.6511544189537558,0.6511544189537558,0.022006823301483965
Wh_roll_mean_30,0.6374293680218811,0.6374293680218811,0.021542962868582434
Wh_lag14_roll7,0.6335387603192663,0.6335387603192663,0.021411473449552753
Wh_lag7_roll7,0.5910617294938996,0.5910617294938996,0.019975893064108238
Wh_roll_mean_7_roll7,0.5573918207740942,0.5573918207740942,0.018837963703259544
TxSoil0cm,0.5552922197119026,0.5552922197119026,0.018767004268393846
Temperature,0.5547580392234869,0.5547580392234869,0.018748950769442625
TxSoil5cm,0.550582646271245,0.550582646271245,0.018607836569431685
Wh_lag14,0.5503939537443107,0.5503939537443107,0.018601459398398697
TxSoil10cm,0.5501019385287773,0.5501019385287773,0.018591590268953313
Td dew point_roll7,0.5470156894372549,0.5470156894372549,0.01848728545822865
T Min,0.5458294866703991,0.5458294866703991,0.01844719580525222
Wh_roll_std_30_roll7,0.545205533961459,0.545205533961459,0.018426108308009722
Wh_roll_mean_14_roll7,0.5449112398006393,0.5449112398006393,0.018416162157899544
Wh_lag7,0.544846089748401,0.544846089748401,0.01841396030585653
TxSoil0cm_roll7,0.5444636288484647,0.5444636288484647,0.018401034417312077
Temperature_roll7,0.5420848018989606,0.5420848018989606,0.018320638089162053
T Min_roll7,0.5386158377112271,0.5386158377112271,0.018203398798916144
TxSoil5cm_roll7,0.5359361352375291,0.5359361352375291,0.018112833892769957
TxSoil10cm_roll7,0.5356741562163957,0.5356741562163957,0.018103979885396342
Wh_lag30_roll7,0.5286792933397231,0.5286792933397231,0.017867577110778948
TxSoil20cm,0.5252054847772464,0.5252054847772464,0.017750174097004676
DHT11_temp,0.5202892299784658,0.5202892299784658,0.01758402126518381
Wh_roll_mean_30_roll7,0.5180904001560322,0.5180904001560322,0.01750970823287716
DHT11_temp_roll7,0.5130284044682861,0.5130284044682861,0.017338629850529554
TxSoil30cm,0.5118111441798165,0.5118111441798165,0.01729749055806602
