,Wh
2025-11-07,6.445999915431983
2025-11-08,6.450328930376499
2025-11-09,6.454657945321015
2025-11-10,6.4589869602655305
2025-11-11,6.30692325742538
2025-11-12,6.467644990154563
2025-11-13,6.471974005099079
2025-11-14,6.476303020043594
2025-11-15,6.480632034988109
2025-11-16,6.484961049932626
2025-11-17,6.489290064877141
2025-11-18,6.4936190798216575
2025-11-19,6.497948094766174
2025-11-20,6.502277109710689
2025-11-21,6.506606124655205
2025-11-22,6.510935139599721
2025-11-23,6.515264154544236
2025-11-24,6.519593169488752
2025-11-25,5.9127609098540574
2025-11-26,5.917089924798574
2025-11-27,5.765026221958423
2025-11-28,5.925747954687605
2025-11-29,5.930076969632122
2025-11-30,5.934405984576637
2025-12-01,5.938734999521153
2025-12-02,5.943064014465669
2025-12-03,5.947393029410184
2025-12-04,5.9517220443547005
2025-12-05,5.956051059299217
2025-12-06,5.960380074243732
2025-12-07,5.964709089188248
2025-12-08,5.969038104132763
2025-12-09,5.973367119077279
2025-12-10,5.977696134021795
2025-12-11,5.982025148966311
2025-12-12,5.9863541639108275
2025-12-13,5.990683178855343
2025-12-14,5.995012193799859
2025-12-15,5.999341208744375
2025-12-16,6.00367022368889
2025-12-17,6.007999238633406
2025-12-18,6.012328253577922
2025-12-19,6.0166572685224375
2025-12-20,6.020986283466954
2025-12-21,6.025315298411469
2025-12-22,6.029644313355986
2025-12-23,6.033973328300501
2025-12-24,6.038302343245016
2025-12-25,5.968232765622654
2025-12-26,6.1289544983518365
2025-12-27,6.133283513296352
2025-12-28,6.137612528240869
2025-12-29,6.141941543185384
2025-12-30,6.146270558129899
2025-12-31,6.150599573074415
2026-01-01,7.027061176562411
2026-01-02,7.187782909291593
2026-01-03,7.192111924236109
2026-01-04,7.196440939180625
2026-01-05,7.20076995412514
2026-01-06,7.205098969069656
2026-01-07,7.209427984014172
2026-01-08,7.213756998958688
2026-01-09,7.2180860139032035
2026-01-10,7.22241502884772
2026-01-11,7.226744043792236
2026-01-12,7.231073058736751
2026-01-13,7.235402073681266
2026-01-14,7.239731088625783
2026-01-15,7.244060103570298
2026-01-16,7.2483891185148135
2026-01-17,7.2527181334593305
2026-01-18,7.257047148403846
2026-01-19,7.104983445563695
2026-01-20,7.265705178292878
2026-01-21,7.270034193237393
2026-01-22,7.274363208181909
2026-01-23,7.278692223126424
2026-01-24,7.283021238070941
2026-01-25,7.287350253015457
2026-01-26,7.291679267959972
2026-01-27,7.296008282904489
2026-01-28,7.300337297849004
2026-01-29,7.30466631279352
2026-01-30,7.308995327738036
2026-01-31,7.313324342682551
2026-02-01,7.3176533576270675
2026-02-02,7.321982372571584
2026-02-03,7.3263113875161
2026-02-04,7.330640402460615
