,Wh
2025-11-07,5.944726273398071
2025-11-08,5.92894888879539
2025-11-09,5.913197176050764
2025-11-10,5.897471099597858
2025-11-11,5.881770623915832
2025-11-12,5.8660957135291625
2025-11-13,5.850446333007764
2025-11-14,5.834822446966816
2025-11-15,5.819224020066739
2025-11-16,5.803651017013163
2025-11-17,5.788103402556768
2025-11-18,5.772581141493389
2025-11-19,5.757084198663857
2025-11-20,5.741612538953963
2025-11-21,5.726166127294411
2025-11-22,5.710744928660787
2025-11-23,5.695348908073398
2025-11-24,5.679978030597376
2025-11-25,5.664632261342518
2025-11-26,5.649311565463262
2025-11-27,5.634015908158652
2025-11-28,5.618745254672178
2025-11-29,5.6034995702918895
2025-11-30,5.588278820350229
2025-12-01,5.573082970224003
2025-12-02,5.5579119853343295
2025-12-03,5.542765831146615
2025-12-04,5.527644473170383
2025-12-05,5.5125478769593945
2025-12-06,5.497476008111475
2025-12-07,5.4824288322684955
2025-12-08,5.467406315116316
2025-12-09,5.452408422384756
2025-12-10,5.437435119847438
2025-12-11,5.4224863733218935
2025-12-12,5.407562148669402
2025-12-13,5.392662411794963
2025-12-14,5.377787128647272
2025-12-15,5.3629362652185595
2025-12-16,5.348109787544697
2025-12-17,5.333307661705037
2025-12-18,5.318529853822391
2025-12-19,5.303776330062969
2025-12-20,5.2890470566363605
2025-12-21,5.27434199979537
2025-12-22,5.259661125836124
2025-12-23,5.24500440109792
2025-12-24,5.2303717919631865
2025-12-25,5.4513422969900125
2025-12-26,5.4367578183818095
2025-12-27,5.422197354782679
2025-12-28,5.4076608727470825
2025-12-29,5.393148338872354
2025-12-30,5.378659719798658
2025-12-31,5.364194982208948
2026-01-01,5.349754092828825
2026-01-02,5.335337018426635
2026-01-03,5.320943725813308
2026-01-04,5.306574181842343
2026-01-05,5.292228353409774
2026-01-06,5.2779062074540155
2026-01-07,5.263607710955967
2026-01-08,5.2493328309388625
2026-01-09,5.235081534468233
2026-01-10,5.220853788651867
2026-01-11,5.2066495606397805
2026-01-12,5.192468817624055
2026-01-13,5.178311526838954
2026-01-14,5.164177655560759
2026-01-15,5.150067171107747
2026-01-16,5.135980040840164
2026-01-17,5.121916232160073
2026-01-18,5.107875712511454
2026-01-19,5.093858449380054
2026-01-20,5.079864410293357
2026-01-21,5.065893562820539
2026-01-22,5.051945874572434
2026-01-23,5.03802131320139
2026-01-24,5.0241198464013666
2026-01-25,5.010241441907783
2026-01-26,4.996386067497494
2026-01-27,4.982553690988738
2026-01-28,4.9687442802411095
2026-01-29,4.954957803155414
2026-01-30,4.941194227673762
2026-01-31,4.927453521779423
2026-02-01,4.9137356534968
2026-02-02,4.900040590891399
2026-02-03,4.886368302069681
2026-02-04,4.872718755179171
