,Wh
2026-01-06,4.784202524076402
2026-01-07,4.782063031007819
2026-01-08,5.5243274456350235
2026-01-09,5.054044906416786
2026-01-10,5.379692459735259
2026-01-11,5.094976011735257
2026-01-12,5.14169503755513
2026-01-13,5.22590673303657
2026-01-14,4.810973778050692
2026-01-15,4.7017784635222855
2026-01-16,4.4527719539344455
2026-01-17,4.170973506908311
2026-01-18,4.5685674264742016
2026-01-19,4.852498586068832
2026-01-20,5.0972780490790885
2026-01-21,4.465419444846647
2026-01-22,4.8885111793337845
2026-01-23,4.732985290850051
2026-01-24,4.717353290530495
2026-01-25,4.802807238592337
2026-01-26,4.706678144074606
2026-01-27,4.62781779527943
2026-01-28,4.08504232275846
2026-01-29,4.028155602267801
2026-01-30,4.438460769261768
2026-01-31,4.758616627764017
2026-02-01,5.252482634852955
2026-02-02,4.880929272566516
2026-02-03,5.066884902114502
2026-02-04,4.627575833601493
