,Wh
2025-11-07,5.83783907326716
2025-11-08,5.825378363436403
2025-11-09,5.812917653605648
2025-11-10,5.800456943774892
2025-11-11,5.787996233944137
2025-11-12,5.77553552411338
2025-11-13,5.763074814282624
2025-11-14,5.750614104451868
2025-11-15,5.738153394621112
2025-11-16,5.725692684790356
2025-11-17,5.713231974959601
2025-11-18,5.700771265128845
2025-11-19,5.688310555298089
2025-11-20,5.675849845467333
2025-11-21,5.663389135636577
2025-11-22,5.650928425805821
2025-11-23,5.638467715975065
2025-11-24,5.6260070061443095
2025-11-25,5.613546296313553
2025-11-26,5.601085586482798
2025-11-27,5.588624876652041
2025-11-28,5.576164166821285
2025-11-29,5.563703456990529
2025-11-30,5.551242747159773
2025-12-01,5.5387820373290175
2025-12-02,5.526321327498262
2025-12-03,5.513860617667506
2025-12-04,5.50139990783675
2025-12-05,5.488939198005994
2025-12-06,5.476478488175238
2025-12-07,5.464017778344482
2025-12-08,5.4515570685137265
2025-12-09,5.439096358682971
2025-12-10,5.426635648852214
2025-12-11,5.414174939021459
2025-12-12,5.401714229190702
2025-12-13,5.389253519359947
2025-12-14,5.37679280952919
2025-12-15,5.3643320996984345
2025-12-16,5.351871389867679
2025-12-17,5.339410680036923
2025-12-18,5.326949970206167
2025-12-19,5.314489260375411
2025-12-20,5.302028550544655
2025-12-21,5.289567840713899
2025-12-22,5.277107130883143
2025-12-23,5.264646421052388
2025-12-24,5.252185711221632
2025-12-25,5.239725001390876
2025-12-26,5.22726429156012
2025-12-27,5.214803581729364
2025-12-28,5.202342871898608
2025-12-29,5.189882162067852
2025-12-30,5.1774214522370965
2025-12-31,5.16496074240634
2026-01-01,5.152500032575584
2026-01-02,5.140039322744828
2026-01-03,5.127578612914073
2026-01-04,5.115117903083316
2026-01-05,5.10265719325256
2026-01-06,5.0901964834218045
2026-01-07,5.077735773591049
2026-01-08,5.065275063760293
2026-01-09,5.052814353929537
2026-01-10,5.040353644098781
2026-01-11,5.027892934268025
2026-01-12,5.015432224437269
2026-01-13,5.002971514606513
2026-01-14,4.990510804775758
2026-01-15,4.978050094945001
2026-01-16,4.965589385114245
2026-01-17,4.953128675283489
2026-01-18,4.940667965452733
2026-01-19,4.928207255621977
2026-01-20,4.9157465457912215
2026-01-21,4.903285835960466
2026-01-22,4.89082512612971
2026-01-23,4.878364416298954
2026-01-24,4.865903706468197
2026-01-25,4.853442996637442
2026-01-26,4.840982286806686
2026-01-27,4.82852157697593
2026-01-28,4.816060867145174
2026-01-29,4.803600157314419
2026-01-30,4.791139447483662
2026-01-31,4.778678737652907
2026-02-01,4.76621802782215
2026-02-02,4.753757317991394
2026-02-03,4.7412966081606385
2026-02-04,4.7288358983298835
