,Wh
2025-11-07,6.7541
2025-11-08,4.8799782744424824
2025-11-09,6.7541
2025-11-10,5.002749713442036
2025-11-11,4.8799782744424824
2025-11-12,4.8799782744424824
2025-11-13,5.408
2025-11-14,6.6816
2025-11-15,5.8432
2025-11-16,6.7541
2025-11-17,4.8799782744424824
2025-11-18,5.9406
2025-11-19,4.8799782744424824
2025-11-20,5.408
2025-11-21,5.8283000000000005
2025-11-22,6.6912
2025-11-23,6.0421
2025-11-24,5.408
2025-11-25,6.5043
2025-11-26,5.8283000000000005
2025-11-27,5.9149
2025-11-28,5.408
2025-11-29,6.7541
2025-11-30,4.8799782744424824
2025-12-01,5.9149
2025-12-02,4.8799782744424824
2025-12-03,5.9149
2025-12-04,5.408
2025-12-05,5.408
2025-12-06,4.8799782744424824
2025-12-07,4.8799782744424824
2025-12-08,4.8799782744424824
2025-12-09,4.8799782744424824
2025-12-10,5.3272
2025-12-11,4.8799782744424824
2025-12-12,4.8799782744424824
2025-12-13,4.8799782744424824
2025-12-14,5.0457
2025-12-15,5.408
2025-12-16,5.2069
2025-12-17,4.8799782744424824
2025-12-18,6.7541
2025-12-19,4.8799782744424824
2025-12-20,4.8799782744424824
2025-12-21,4.8799782744424824
2025-12-22,4.8799782744424824
2025-12-23,4.8799782744424824
2025-12-24,5.002749713442036
2025-12-25,5.1186
2025-12-26,4.8799782744424824
2025-12-27,4.8799782744424824
2025-12-28,6.6459
2025-12-29,6.7541
2025-12-30,4.8799782744424824
2025-12-31,6.7541
2026-01-01,6.7541
2026-01-02,6.0798
2026-01-03,4.8799782744424824
2026-01-04,4.8799782744424824
2026-01-05,5.002749713442036
2026-01-06,4.8799782744424824
2026-01-07,4.8799782744424824
2026-01-08,6.2272
2026-01-09,5.002749713442036
2026-01-10,5.002749713442036
2026-01-11,4.8799782744424824
2026-01-12,5.408
2026-01-13,4.8799782744424824
2026-01-14,5.0457
2026-01-15,6.7541
2026-01-16,4.8799782744424824
2026-01-17,4.8799782744424824
2026-01-18,4.8799782744424824
2026-01-19,6.7541
2026-01-20,6.2272
2026-01-21,5.002749713442036
2026-01-22,5.002749713442036
2026-01-23,5.408
2026-01-24,6.7541
2026-01-25,6.5043
2026-01-26,4.8799782744424824
2026-01-27,5.408
2026-01-28,4.8799782744424824
2026-01-29,4.8799782744424824
2026-01-30,4.8799782744424824
2026-01-31,4.8799782744424824
2026-02-01,6.7541
2026-02-02,4.8799782744424824
2026-02-03,6.7541
2026-02-04,6.7541
