column,corr_with_Wh,abs_corr,weight
day_of_year_roll7,-0.7481491426887156,0.7481491426887156,0.027059453387284885
dayofyear_cos,-0.6501434142192896,0.6501434142192896,0.023514730430476326
Wh_lag1,0.6144983096088462,0.6144983096088462,0.022225499458126602
Wh_roll_mean_7,0.6083809257109604,0.6083809257109604,0.022004242685924644
Wh_lag1_roll7,0.6082982162990179,0.6082982162990179,0.022001251208223948
Wh_roll_mean_14,0.6009684872227538,0.6009684872227538,0.021736145695213798
Wh_roll_mean_30,0.578859780993278,0.578859780993278,0.020936506329833154
Wh_lag14_roll7,0.5723035716629048,0.5723035716629048,0.020699377887588414
month,-0.536207176154323,0.536207176154323,0.01939382438764961
day_of_year,-0.5361661420749211,0.5361661420749211,0.019392340245390386
dayofyear,-0.5361661420749211,0.5361661420749211,0.019392340245390386
Wh_lag7_roll7,0.5292870867012922,0.5292870867012922,0.019143534936916336
Wh_roll_std_30_roll7,0.5197091286285427,0.5197091286285427,0.018797114289980207
Wh_roll_mean_7_roll7,0.4956747261409497,0.4956747261409497,0.017927825325126226
Wh_lag7,0.4926385800756225,0.4926385800756225,0.01781801239045326
Wh_lag14,0.48848277581891997,0.48848277581891997,0.01766770306687804
Temperature,0.48752219349144277,0.48752219349144277,0.01763296021784983
Wh_roll_std_14_roll7,0.48689014943587133,0.48689014943587133,0.017610100114583548
TxSoil0cm,0.48421337440896906,0.48421337440896906,0.017513285101458755
Wh_roll_std_7_roll7,0.4836331741159421,0.4836331741159421,0.017492300110781588
TxSoil5cm,0.4774276488631808,0.4774276488631808,0.01726785539549762
Wh_roll_mean_14_roll7,0.47672407351834184,0.47672407351834184,0.017242408110776167
TxSoil10cm,0.476652819159666,0.476652819159666,0.017239830945492918
T Min,0.46945942254611334,0.46945942254611334,0.016979656377008958
Td dew point_roll7,0.4634992469152919,0.4634992469152919,0.01676408559645224
Wh_lag30_roll7,0.4579316068425845,0.4579316068425845,0.016562712249310295
TxSoil0cm_roll7,0.4560106147769379,0.4560106147769379,0.016493232793555124
Wh_roll_std_30,0.45487520241119567,0.45487520241119567,0.016452166599352544
Temperature_roll7,0.4541804716570643,0.4541804716570643,0.016427039210459776
T Min_roll7,0.44959171654777236,0.44959171654777236,0.016261070691750645
TxSoil5cm_roll7,0.4438155747168989,0.4438155747168989,0.01605215614288255
TxSoil10cm_roll7,0.44337083072416394,0.44337083072416394,0.01603607040722637
TxSoil20cm,0.4429104687972633,0.4429104687972633,0.016019419793877436
DHT11_temp,0.44125458328301786,0.44125458328301786,0.01595952885191047
Wh_roll_mean_30_roll7,0.4385758682007842,0.4385758682007842,0.015862643669839655
dayofyear_sin,0.4382031547024707,0.4382031547024707,0.01584916317115435
TxSoil30cm,0.4250040780438297,0.4250040780438297,0.015371771994421695
T Max,0.42230625705889996,0.42230625705889996,0.015274195779969866
Wh_roll_std_14,0.42216538227003947,0.42216538227003947,0.015269100546192127
Wh_lag30,0.42153901538503574,0.42153901538503574,0.015246445777829786
Td dew point,0.4213823236022031,0.4213823236022031,0.015240778466659059
DHT11_temp_roll7,0.4137247305054624,0.4137247305054624,0.01496381459456883
T Max_roll7,0.4135556412119883,0.4135556412119883,0.01495769888368449
TxSoil50cm,0.41041474182410087,0.41041474182410087,0.014844097175507364
UVI Max,0.4095680135059995,0.4095680135059995,0.014813472258431316
UVI Max_roll7,0.4012196633465223,0.4012196633465223,0.014511524720017713
TxSoil20cm_roll7,0.4011069433676954,0.4011069433676954,0.014507447804281473
DHT11_humidity_roll7,0.39507182109443756,0.39507182109443756,0.014289166313972082
TxSoil30cm_roll7,0.3778889601128849,0.3778889601128849,0.01366768752149557
SunshineRate_roll7,-0.36729685691515523,0.36729685691515523,0.01328458673797769
Cloud Amount Sat_roll7,0.3604797296418355,0.3604797296418355,0.013038021277747877
TxSoil50cm_roll7,0.35339720676304676,0.35339720676304676,0.012781856849069646
Wh_roll_std_7,0.35280895339116003,0.35280895339116003,0.012760580590382405
GloblRad_roll7,0.3148132826424993,0.3148132826424993,0.011386333100307034
TxSoil100cm,0.29231684244940537,0.29231684244940537,0.010572669968117697
GloblRad,0.2898254269199808,0.2898254269199808,0.01048255913521005
SunshineRate,-0.24032272834989324,0.24032272834989324,0.008692119384536654
Cloud Amount Sat,0.23121251355993355,0.23121251355993355,0.008362616323728315
DHT11_humidity,0.21865071378453296,0.21865071378453296,0.007908274513937205
TxSoil100cm_roll7,0.19865030993955404,0.19865030993955404,0.0071848893428667635
SunShine_roll7,-0.19718960889384704,0.19718960889384704,0.00713205793586011
LM35_tempC,0.19486170148240325,0.19486170148240325,0.007047860950933419
SunShine,-0.12838411474179612,0.12838411474179612,0.00464346447827035
LM35_tempC_roll7,0.11196806968570637,0.11196806968570637,0.004049720289240848
dayofweek,0.06738062803027091,0.06738062803027091,0.002437058147040764
is_weekend,0.05116441576825084,0.05116441576825084,0.0018505416160647695
