,Wh
2026-01-06,5.1509284145410845
2026-01-07,5.154799228633578
2026-01-08,5.158670042726101
2026-01-09,5.162540856818566
2026-01-10,5.166411670911145
2026-01-11,5.149474058107501
2026-01-12,5.036068101206013
2026-01-13,5.039938915298478
2026-01-14,5.0438097293910005
2026-01-15,5.047680543483523
2026-01-16,5.051551357576045
2026-01-17,5.055422171668539
2026-01-18,5.038484558864951
2026-01-19,4.925078601963406
2026-01-20,4.928949416055929
2026-01-21,4.932820230148451
2026-01-22,4.936691044240945
2026-01-23,4.940561858333467
2026-01-24,4.944432672425961
2026-01-25,4.927495059622402
2026-01-26,4.814089102720828
2026-01-27,4.817959916813351
2026-01-28,4.821830730905873
2026-01-29,4.825701544998395
2026-01-30,4.829572359090889
2026-01-31,5.096151977753578
2026-02-01,5.079214364949962
2026-02-02,4.823359703358705
2026-02-03,4.827230517451227
2026-02-04,4.831101331543692
