rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,015946a4f4a29b8a1afba555fefc9971,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": null}, ""transformation_params"": {""0"": {}}}",0,1,25.23568227211862,1847874732.6946082,14313576123.289902,3070651638.4114876,1847874732.6946082,0.0,-25.83499916155969,1.2483404432885168,110872483935.8415,1847874732.4672058,3070651637.8020115,0.7166666666666667,0.45,110872483900.34782,0.55,18451308196.58007,0.6722931582965811,18478747321.729168,3.0640569674866455e+21,21.35410914132626,110872483910.0065,3070651670.959018,3070651652.00431,305159028.71493,25.23568227211862,1847874732.6946082,14313576123.289902,3070651638.4114876,1847874732.6946082,0.0,1.2483404432885168,1847874732.4672058,3070651637.8020115,110872483900.34782,0.55,18451308196.58007,0.6722931582965811,18478747321.729168,3.0640569674866455e+21,21.35410914132626,110872483910.0065,3070651670.959018,3070651652.00431,305159028.71493,0.7166666666666667,0.45,0.9359,97895526145.51295,26634117636.396366,Wh,26634117636.396366,Wh
1,1b1018961b19cd7020d45902b0488289,DatepartRegression,"{""regression_model"": {""model"": ""Adaboost"", ""model_params"": {""n_estimators"": 200, ""loss"": ""linear"", ""estimator"": null, ""learning_rate"": 1, ""max_depth"": 3}}, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,195.03353767227546,5.922110870841014,5.999079849595322,1.0685860939157528,5.922110870841014,0.0,-355.3266522504609,5.922110870841014,0.0,1.918623175570901,236089.58683965792,1.0,0.5333333333333333,6.7541,0.4,6.760809287888908,5.791397102950213,23.69189181574608,68.01546641626827,0.09469463691302782,355.3266522504609,293.9031628266914,19.15260061321288,0.9779805796115314,195.03353767227546,5.922110870841014,5.999079849595322,1.0685860939157528,5.922110870841014,0.0,5.922110870841014,1.918623175570901,236089.58683965792,6.7541,0.4,6.760809287888908,5.791397102950213,23.69189181574608,68.01546641626827,0.09469463691302782,355.3266522504609,293.9031628266914,19.15260061321288,0.9779805796115314,1.0,0.5333333333333333,0.6365,2561165.3962851837,85.35762451806241,Wh,85.35762451806241,Wh
2,58829d4d5e5610191af52dabfeedd6c0,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 0, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 2, ""fill"": ""bfill""}, ""4"": {""lag"": 2, ""fill"": ""bfill""}, ""5"": {""lag"": 2, ""fill"": ""bfill""}}}",0,1,193.0755200522721,25086.445743333337,37321.3119710315,2626.9738187515954,25086.445743333337,0.0,0.0,8.81355976580726,1505186.7446000003,25086.445743333337,180945.7191225948,1.0,0.4666666666666667,94852.54170000003,0.6,31735.916123289986,15751.63628039216,168783.8839334352,4307979193.6955805,4.358270427269294,1505186.7446000003,537493.3948516034,41660.077283271356,4142.7891647989745,193.0755200522721,25086.445743333337,37321.3119710315,2626.9738187515954,25086.445743333337,0.0,8.81355976580726,25086.445743333337,180945.7191225948,94852.54170000003,0.6,31735.916123289986,15751.63628039216,168783.8839334352,4307979193.6955805,4.358270427269294,1505186.7446000003,537493.3948516034,41660.077283271356,4142.7891647989745,1.0,0.4666666666666667,0.0282,2245963.0021096966,361580.4335571478,Wh,361580.4335571478,Wh
3,50d39975979f090f181a2326bd5c21be,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""Adaboost"", ""model_params"": {""n_estimators"": 100, ""loss"": ""linear"", ""estimator"": null, ""learning_rate"": 1, ""max_depth"": 3}}}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 2, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,185.07815666856644,23095.4275537453,38420.46698612267,3104.8001457449,23095.4275537453,0.0,-0.07980093663605814,8.158774229233481,1385725.5734237814,23095.42750334146,108667.1269127923,1.0,0.4666666666666667,112105.32968480232,0.6,32907.098617251584,12062.323517902887,166921.18599846066,5237432714.033898,4.849640604091795,1385725.4936228448,406406.7350209801,38351.561203703204,3813.9909090762203,185.07815666856644,23095.4275537453,38420.46698612267,3104.8001457449,23095.4275537453,0.0,8.158774229233481,23095.42750334146,108667.1269127923,112105.32968480232,0.6,32907.098617251584,12062.323517902887,166921.18599846066,5237432714.033898,4.849640604091795,1385725.4936228448,406406.7350209801,38351.561203703204,3813.9909090762203,1.0,0.4666666666666667,1.0601,1454093.6558526047,332883.13512049196,Wh,332883.13512049196,Wh
4,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,197.56796725034698,5.995810998519262,6.043730404427856,1.0771384162962765,5.995810998519262,0.0,-359.7486599111557,5.995810998519262,0.0,1.9382478471205944,124193.41173080902,1.0,0.5333333333333333,6.7541,0.4,6.826571585174315,5.878103135512856,23.767209613779812,75.29350405128139,0.07802795869656402,359.7486599111557,301.1837610647839,19.275069638742053,0.9901514584005636,197.56796725034698,5.995810998519262,6.043730404427856,1.0771384162962765,5.995810998519262,0.0,5.995810998519262,1.9382478471205944,124193.41173080902,6.7541,0.4,6.826571585174315,5.878103135512856,23.767209613779812,75.29350405128139,0.07802795869656402,359.7486599111557,301.1837610647839,19.275069638742053,0.9901514584005636,1.0,0.5333333333333333,1.1731,1347398.0549699063,86.41989234156226,Wh,86.41989234156226,Wh
5,6429162ba940b56ff1106dd5749ac0a7,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 1.1, ""use_mle"": false}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,182.26589096701375,5.593901089080277,5.794354411420094,1.004260886788146,5.593901089080277,0.0,-335.63406534481663,5.593901089080277,0.0,1.8407362247624433,44075.1145386884,1.0,0.5333333333333333,6.7541,0.4,6.6253546561091925,5.40526794793758,23.322896976510354,63.70970399286716,0.04164809191502301,335.63406534481663,262.7933686566548,18.625546386001403,0.923779839436102,182.26589096701375,5.593901089080277,5.794354411420094,1.004260886788146,5.593901089080277,0.0,5.593901089080277,1.8407362247624433,44075.1145386884,6.7541,0.4,6.6253546561091925,5.40526794793758,23.322896976510354,63.70970399286716,0.04164809191502301,335.63406534481663,262.7933686566548,18.625546386001403,0.923779839436102,1.0,0.5333333333333333,0.1635,478314.4010668149,80.6270127605845,Wh,80.6270127605845,Wh
6,f90d681b5d6d0a6cfffc1922d53f9027,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}}}",0,1,182.56728067040657,5.6014925489534875,5.798479436438687,1.004260886788146,5.6014925489534875,0.0,-336.08955293720925,5.6014925489534875,0.0,1.8427229040334625,44071.3112636239,1.0,0.5333333333333333,6.7541,0.4,6.626391921263831,5.41419907720018,23.332065415250874,63.790760374037475,0.04359527814143275,336.08955293720925,263.48967741624705,18.637564127414908,0.9250334972092881,182.56728067040657,5.6014925489534875,5.798479436438687,1.004260886788146,5.6014925489534875,0.0,5.6014925489534875,1.8427229040334625,44071.3112636239,6.7541,0.4,6.626391921263831,5.41419907720018,23.332065415250874,63.790760374037475,0.04359527814143275,336.08955293720925,263.48967741624705,18.637564127414908,0.9250334972092881,1.0,0.5333333333333333,0.1674,478273.48017877975,80.73643134384541,Wh,80.73643134384541,Wh
7,02c0179425c02d9d12b9e752345ce18d,DatepartRegression,"{""regression_model"": {""model"": ""Adaboost"", ""model_params"": {""n_estimators"": 200, ""loss"": ""exponential"", ""estimator"": ""LinReg"", ""learning_rate"": 1}}, ""datepart_method"": ""lunar_phase"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": 1, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,176.6103657671215,6529.469683794641,10126.327967417816,748.1115675334555,6529.469683794641,0.0,-8.587954962197584,7.1610540365259725,391759.59307271626,6529.400322168978,10674.52694363464,1.0,0.45,27006.049865183457,0.5666666666666667,8633.689670199105,3849.0666782230214,45200.128004957194,331988663.39861846,3.2369922574425347,391751.00511775404,129596.38409438664,10831.576060514126,1078.2328671996322,176.6103657671215,6529.469683794641,10126.327967417816,748.1115675334555,6529.469683794641,0.0,7.1610540365259725,6529.400322168978,10674.52694363464,27006.049865183457,0.5666666666666667,8633.689670199105,3849.0666782230214,45200.128004957194,331988663.39861846,3.2369922574425347,391751.00511775404,129596.38409438664,10831.576060514126,1078.2328671996322,1.0,0.45,0.3476,191084.73594328653,94111.71687372772,Wh,94111.71687372772,Wh
8,3691762417cc7e53d8b7317a33cd2142,RollingRegression,"{""regression_model"": {""model"": ""Adaboost"", ""model_params"": {""n_estimators"": 50, ""loss"": ""linear"", ""estimator"": null, ""learning_rate"": 1, ""max_depth"": 3}}, ""holiday"": false, ""mean_rolling_periods"": 7, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": null, ""min_rolling_periods"": 364, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.5, ""additional_lag_periods"": 27, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": ""recurring"", ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,184.84509666633767,3527.6230089958563,5213.346324791516,364.3832317165045,3527.6230089958563,0.0,0.0,6.961680640470994,211657.38053975138,3527.6230089958563,10719.202025457691,1.0,0.4666666666666667,13156.84055716839,0.6,4432.141427423929,2235.227462187758,23621.264143480297,83516931.26926078,2.442769020375702,211657.38053975138,76556.56710799516,5835.335929264241,582.5535641312312,184.84509666633767,3527.6230089958563,5213.346324791516,364.3832317165045,3527.6230089958563,0.0,6.961680640470994,3527.6230089958563,10719.202025457691,13156.84055716839,0.6,4432.141427423929,2235.227462187758,23621.264143480297,83516931.26926078,2.442769020375702,211657.38053975138,76556.56710799516,5835.335929264241,582.5535641312312,1.0,0.4666666666666667,0.6516,156115.3076565355,50844.96504881957,Wh,50844.96504881957,Wh
9,d6e48e27590f69adaceee3ad3af83501,ARIMA,"{""p"": 0, ""d"": 1, ""q"": 7, ""regression_type"": null}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,11.295937709734863,0.6642503717122151,0.7401076908356025,0.9254303518397088,0.6642503717122151,0.0,-31.656286650448973,0.6295324305026381,8.19873565228394,0.5229204648079598,12838.627523224404,1.0,0.4166666666666667,1.2378722414363734,0.4,1.7323680558050245,0.5957493800339169,2.7365259488586298,1.0565888504244387,0.00888556012655341,23.457550998165036,18.988821073646864,25.738808941411676,0.0645632101508725,11.295937709734863,0.6642503717122151,0.7401076908356025,0.9254303518397088,0.6642503717122151,0.0,0.6295324305026381,0.5229204648079598,12838.627523224404,1.2378722414363734,0.4,1.7323680558050245,0.5957493800339169,2.7365259488586298,1.0565888504244387,0.00888556012655341,23.457550998165036,18.988821073646864,25.738808941411676,0.0645632101508725,1.0,0.4166666666666667,1.3519,139281.2361438014,9.574091916070914,Wh,9.574091916070914,Wh
