,Wh
2026-02-09,5.568514843417395
2026-02-10,5.561758318782454
2026-02-11,5.506775198794261
2026-02-12,5.506163358284179
2026-02-13,5.505551585753776
2026-02-14,5.504939881195498
2026-02-15,5.504328244601794
2026-02-16,5.097504779766935
2026-02-17,5.503105175277902
2026-02-18,5.502493742532614
2026-02-19,5.5018823777217
2026-02-20,5.501271080837611
2026-02-21,5.500659851872801
2026-02-22,5.500048690819723
2026-02-23,5.499437597670831
2026-02-24,5.498826572418582
2026-02-25,5.498215615055431
2026-02-26,5.497604725573834
2026-02-27,5.496993903966251
2026-02-28,5.49638315022514
2026-03-01,5.495772464342959
2026-03-02,5.495161846312171
2026-03-03,5.494551296125236
2026-03-04,5.493940813774616
2026-03-05,5.493330399252774
2026-03-06,5.492720052552174
2026-03-07,5.49210977366528
2026-03-08,5.491499562584559
2026-03-09,5.490889419302475
2026-03-10,5.490279343811496
