,Wh
2026-02-09,5.539159231185913
2026-02-10,5.504985022544861
2026-02-11,5.6020846176147465
2026-02-12,5.854816546440125
2026-02-13,5.50315719127655
2026-02-14,5.816793832778931
2026-02-15,5.474164965152741
2026-02-16,5.74768892288208
2026-02-17,5.590740423202515
2026-02-18,5.791640152931214
2026-02-19,5.560051407814026
2026-02-20,5.705209422111511
2026-02-21,5.597828125953674
2026-02-22,5.752444930076599
2026-02-23,5.648350625038147
2026-02-24,5.7513357305526736
2026-02-25,5.641803712844848
2026-02-26,5.7375235271453855
2026-02-27,5.623618812561035
2026-02-28,5.778657426834107
2026-03-01,5.580488610267639
2026-03-02,5.740891723632813
2026-03-03,5.635632214546203
2026-03-04,5.739194731712342
2026-03-05,5.636589813232422
2026-03-06,5.7372391271591185
2026-03-07,5.636589813232422
2026-03-08,5.7372391271591185
2026-03-09,5.602954115867615
2026-03-10,5.738992624282837
