rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,1f56f3bfcb09cea21641ef3d67bd299b,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,77.75731069001311,1.0444182159538144e+39,8.090028708837614e+39,2.7402833178542874e+39,1.0444182159538144e+39,0.0,-218.88938716128675,4.686969246741099,1.879952788716866e+41,1.0444182159538144e+39,1.3701416589271763e+39,0.3888888888888889,0.4666666666666666,1.8799527875800783e+41,0.4777777777777778,5.602874241776466e+30,555.7439138451806,1.0044429740830443e+40,2.575801629522178e+80,34.000339462744215,6.266509295722886e+40,2.740283319511406e+39,4.110424980095374e+39,1.7217896223471045e+38,77.75731069001311,1.0444182159538144e+39,8.090028708837614e+39,2.7402833178542874e+39,1.0444182159538144e+39,0.0,4.686969246741099,1.0444182159538144e+39,1.3701416589271763e+39,1.8799527875800783e+41,0.4777777777777778,5.602874241776466e+30,555.7439138451806,1.0044429740830443e+40,2.575801629522178e+80,34.000339462744215,6.266509295722886e+40,2.740283319511406e+39,4.110424980095374e+39,1.7217896223471045e+38,0.3888888888888889,0.4666666666666666,0.18586666666666665,5.810541301745522e+40,4.689188177612321e+40,Wh,4.689188177612321e+40,Wh
1,ccbd65f1d9ae5fefc50d9fb373a20882,WindowRegression,"{""window_size"": 28, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""MLP"", ""model_params"": {""hidden_layer_sizes"": [100], ""max_iter"": 250, ""activation"": ""identity"", ""solver"": ""sgd"", ""early_stopping"": false, ""learning_rate_init"": 0.01, ""alpha"": 0.0001}}}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,65.20942883012414,9677389.329365954,44768983.592089534,16648247.444553433,9677389.329365954,0.0,-225.12769901082626,3.073788554527613,1741929854.1581726,9677388.548531432,8324123.646220253,0.5111111111111111,0.5833333333333334,915942039.5206531,0.6944444444444445,41520493.76522074,13799.9422678768,87167629.5691297,5171970418632595.0,6.4016118641180775,580643227.6952885,31661460.22249897,54998874.9847083,1383921.8786032216,65.20942883012414,9677389.329365954,44768983.592089534,16648247.444553433,9677389.329365954,0.0,3.073788554527613,9677388.548531432,8324123.646220253,915942039.5206531,0.6944444444444445,41520493.76522074,13799.9422678768,87167629.5691297,5171970418632595.0,6.4016118641180775,580643227.6952885,31661460.22249897,54998874.9847083,1383921.8786032216,0.5111111111111111,0.5833333333333334,0.2881666666666667,354960905.7449412,434491631.2872151,Wh,434491631.2872151,Wh
2,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,0.0,4.647530354917996,13935.009384927145,232.2501564154524,183767.24322602936,1.0,0.45,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,4.647530354917996,232.2501564154524,183767.24322602936,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,1.0,0.45,0.1437,3010842.210528501,3475.825651308861,Wh,3475.825651308861,Wh
3,0a7b5dc2380a1a49cd2fcac8cb0bf762,ARIMA,"{""p"": 7, ""d"": 2, ""q"": 7, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 7, ""fill"": ""zero""}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,171.7172955425126,730.8641321274973,1058.3257392763978,85.63985737863749,730.8641321274973,0.0,-0.3190535548236202,5.51584765009051,43851.52887409502,730.8634298095088,175216.5558250367,1.0,0.43333333333333335,2587.775730366047,0.18333333333333332,1489.345721289166,477.0192949641221,4822.226739467639,3995971.6918861414,1.05779265213813,43851.20982054019,19643.520458839885,1420.1205496052767,133.61472337148808,171.7172955425126,730.8641321274973,1058.3257392763978,85.63985737863749,730.8641321274973,0.0,5.51584765009051,730.8634298095088,175216.5558250367,2587.775730366047,0.18333333333333332,1489.345721289166,477.0192949641221,4822.226739467639,3995971.6918861414,1.05779265213813,43851.20982054019,19643.520458839885,1420.1205496052767,133.61472337148808,1.0,0.43333333333333335,3.0426,2876432.6190979946,10938.017598257795,Wh,10938.017598257795,Wh
4,74ef8b6c53554460190c7a2ced0df4f5,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,157.9441544538562,16.311263409778192,22.62175758795255,3.8147946383537525,16.311263409778192,0.0,-140.60211733709895,3.9277434757133034,838.0736872495925,14.8103514831701,171480.85926335564,1.0,0.4166666666666667,48.61041657808303,0.6833333333333333,24.873518627947668,11.26520535153391,44.153742987169814,1023.6881380289951,0.42891066027693925,697.4715699124936,1085.7587393841065,101.11760996118987,2.125197258062499,157.9441544538562,16.311263409778192,22.62175758795255,3.8147946383537525,16.311263409778192,0.0,3.9277434757133034,14.8103514831701,171480.85926335564,48.61041657808303,0.6833333333333333,24.873518627947668,11.26520535153391,44.153742987169814,1023.6881380289951,0.42891066027693925,697.4715699124936,1085.7587393841065,101.11760996118987,2.125197258062499,1.0,0.4166666666666667,0.2738,2807384.0294024497,244.11224793125936,Wh,244.11224793125936,Wh
5,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,194.1527228595375,5.30024479230245,5.402844342958443,1.176766590107005,5.30024479230245,0.0,-318.014687538147,5.30024479230245,0.0,1.8175284708234578,165403.5894112595,1.0,0.55,6.628880023956299,0.8,4.9978725047675905,5.084950923919678,20.412878466368735,65.71980704083097,0.12325486206542244,318.014687538147,325.5113706121239,19.71850341840287,0.9689913842143634,194.1527228595375,5.30024479230245,5.402844342958443,1.176766590107005,5.30024479230245,0.0,5.30024479230245,1.8175284708234578,165403.5894112595,6.628880023956299,0.8,4.9978725047675905,5.084950923919678,20.412878466368735,65.71980704083097,0.12325486206542244,318.014687538147,325.5113706121239,19.71850341840287,0.9689913842143634,1.0,0.55,1.2379,2707797.907715643,79.32277459631169,Wh,79.32277459631169,Wh
6,8ea016f96317ef8c58a76edbc7d0875a,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_depth"": 10}}, ""holiday"": false, ""mean_rolling_periods"": 12, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 420, ""min_rolling_periods"": 7, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 363, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": ""expanded"", ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 2, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {""lag"": 2, ""fill"": ""bfill""}}}",0,1,194.31403556584962,5.309360957941531,5.404056541577975,1.176766590107005,5.309360957941531,0.0,-318.56165747649186,5.309360957941531,0.0,1.8233782209802636,164029.99307506677,1.0,0.55,6.628880023956299,0.8,4.999505772735778,5.095675824671538,20.42204645536697,66.22683317998886,0.11384443070533527,318.56165747649186,326.5946033908858,19.73548029222464,0.9706580027022811,194.31403556584962,5.309360957941531,5.404056541577975,1.176766590107005,5.309360957941531,0.0,5.309360957941531,1.8233782209802636,164029.99307506677,6.628880023956299,0.8,4.999505772735778,5.095675824671538,20.42204645536697,66.22683317998886,0.11384443070533527,318.56165747649186,326.5946033908858,19.73548029222464,0.9706580027022811,1.0,0.55,2.2246,2685312.8752987445,79.45920594627907,Wh,79.45920594627907,Wh
7,c5e1cd7ce587d0b08fbf1b051b6be624,ARIMA,"{""p"": 4, ""d"": 3, ""q"": 2, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 2, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,188.0948585680768,5479.399237578643,8551.44908424955,778.9139923108456,5479.399237578643,0.0,0.0,7.2814396645166735,328763.95425471856,5479.399237578643,10442.687248942091,0.9833333333333333,0.45,23542.212908959722,0.2,12042.835872796633,3177.985724996736,38047.23706877265,291867603.7867036,3.213448222593677,328763.95425471856,129822.516839763,10845.88018246219,1001.7444212379463,188.0948585680768,5479.399237578643,8551.44908424955,778.9139923108456,5479.399237578643,0.0,7.2814396645166735,5479.399237578643,10442.687248942091,23542.212908959722,0.2,12042.835872796633,3177.985724996736,38047.23706877265,291867603.7867036,3.213448222593677,328763.95425471856,129822.516839763,10845.88018246219,1001.7444212379463,0.9833333333333333,0.45,0.4508,233660.08882582557,82003.9767364863,Wh,82003.9767364863,Wh
8,b11b267eb43e891b7d113bf4f569f7a7,ARIMA,"{""p"": 7, ""d"": 2, ""q"": 7, ""regression_type"": null}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,153.32574312124717,152.48414280497718,218.0707899192119,18.00168894329269,152.48414280497718,0.0,0.0,4.21415946600011,9149.048568298631,152.48414280497718,12043.037182016982,1.0,0.45,542.0421134340738,0.2,306.7731177261905,100.31453985788262,996.3847734897956,172171.5912751261,0.41237786483503447,9149.048568298631,4230.979719383468,271.15115622366227,27.877169149228997,153.32574312124717,152.48414280497718,218.0707899192119,18.00168894329269,152.48414280497718,0.0,4.21415946600011,152.48414280497718,12043.037182016982,542.0421134340738,0.2,306.7731177261905,100.31453985788262,996.3847734897956,172171.5912751261,0.41237786483503447,9149.048568298631,4230.979719383468,271.15115622366227,27.877169149228997,1.0,0.45,4.3842,198936.9600338734,2282.057860194922,Wh,2282.057860194922,Wh
9,e6125ccdce65e5f92195562cdee24427,ARIMA,"{""p"": 4, ""d"": 2, ""q"": 5, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,101.74213364221869,3.147203817074691,3.607291706957422,1.10844024794117,3.147203817074691,0.0,-136.74643010920883,2.747829663686949,52.08579891527265,1.7111421225967154,11345.05961017129,1.0,0.5166666666666667,5.7993998527526855,0.75,3.086980839027309,2.734747641349768,15.882459954691281,33.729955759418175,0.17448404642112272,84.6606311939362,64.82637874787319,14.403178247568366,0.25796111130632454,101.74213364221869,3.147203817074691,3.607291706957422,1.10844024794117,3.147203817074691,0.0,2.747829663686949,1.7111421225967154,11345.05961017129,5.7993998527526855,0.75,3.086980839027309,2.734747641349768,15.882459954691281,33.729955759418175,0.17448404642112272,84.6606311939362,64.82637874787319,14.403178247568366,0.25796111130632454,1.0,0.5166666666666667,1.3627,185826.00693078962,47.10064322935179,Wh,47.10064322935179,Wh
