,Wh
2025-12-11,6.332849178968856
2025-12-12,6.295481634085848
2025-12-13,6.185920408047206
2025-12-14,6.180969285483505
2025-12-15,6.162105020567355
2025-12-16,5.742975443221313
2025-12-17,5.965554222675669
2025-12-18,6.188324519101105
2025-12-19,6.253484274106146
2025-12-20,6.258616408754724
2025-12-21,6.258616408754724
2025-12-22,6.268495590497392
2025-12-23,6.288602140428841
2025-12-24,6.2095926737561395
2025-12-25,6.205571969225384
2025-12-26,6.24015663136312
2025-12-27,6.261919371610297
2025-12-28,6.233447017198219
2025-12-29,6.257676185858932
2025-12-30,6.244757998948707
2025-12-31,6.247881210296276
2026-01-01,6.1951623757402094
2026-01-02,6.209239034963985
2026-01-03,6.265351887060541
2026-01-04,6.336822922215925
2026-01-05,6.300503591303277
2026-01-06,6.332469455007958
2026-01-07,6.309322093729424
2026-01-08,6.295021536556639
2026-01-09,6.320766490308201
2026-01-10,6.3070772254509215
2026-01-11,6.327113490908586
2026-01-12,6.307500946347063
2026-01-13,6.313544588892901
2026-01-14,6.306875245396441
2026-01-15,6.3275369425192265
2026-01-16,6.29529237872774
2026-01-17,6.3425455669801885
2026-01-18,6.303159276310748
2026-01-19,6.332313608948534
2026-01-20,6.3078499191444575
2026-01-21,6.325266508881396
2026-01-22,6.29529237872774
2026-01-23,6.337768900550881
2026-01-24,6.322973773602177
2026-01-25,6.307500946347063
2026-01-26,6.313544588892901
2026-01-27,6.306875245396441
2026-01-28,6.319665645424671
2026-01-29,6.303588380373993
2026-01-30,6.327113490908586
2026-01-31,6.29529237872774
2026-02-01,6.3425455669801885
2026-02-02,6.315716816727466
2026-02-03,6.308365046803302
2026-02-04,6.312618545357532
2026-02-05,6.306875245396441
2026-02-06,6.319665645424669
2026-02-07,6.303588380373994
2026-02-08,6.339480142716101
2026-02-09,6.307179915253466
2026-02-10,6.332313608948535
2026-02-11,6.307849919144457
2026-02-12,6.325266508881397
2026-02-13,6.29529237872774
2026-02-14,6.3425455669801885
2026-02-15,6.310607121794666
2026-02-16,6.31437424880678
2026-02-17,6.295153325407945
2026-02-18,6.342545566980188
2026-02-19,6.303159276310748
2026-02-20,6.327536942519226
2026-02-21,6.315106876019168
2026-02-22,6.3113382504623585
2026-02-23,6.306784822289294
2026-02-24,6.3275369425192265
2026-02-25,6.315106876019171
2026-02-26,6.3083650468033
2026-02-27,6.312618545357532
2026-02-28,6.306784822289294
2026-03-01,6.335286812607592
2026-03-02,6.307165944401569
2026-03-03,6.319665645424671
2026-03-04,6.308274623696153
2026-03-05,6.325266508881396
2026-03-06,6.3078499191444575
2026-03-07,6.325266508881395
2026-03-08,6.302740224211657
2026-03-09,6.332313608948534
2026-03-10,6.29529237872774
