,Wh
2026-02-09,5.538052564729822
2026-02-10,5.507171386360649
2026-02-11,5.502444804727341
2026-02-12,5.687103084306169
2026-02-13,5.254607551439168
2026-02-14,5.726079859643804
2026-02-15,5.507614615692262
2026-02-16,5.425769871413473
2026-02-17,5.571171687663082
2026-02-18,5.641111301399955
2026-02-19,5.31304745993919
2026-02-20,5.66745606634288
2026-02-21,5.553870208753129
2026-02-22,5.395569065119308
2026-02-23,5.591488417883918
2026-02-24,5.6185956541693045
2026-02-25,5.34375996788778
2026-02-26,5.634338088946217
2026-02-27,5.578315222217599
2026-02-28,5.384579257933046
2026-03-01,5.595567531977915
2026-03-02,5.610041461929487
2026-03-03,5.361700627231861
2026-03-04,5.613227258937048
2026-03-05,5.591865520587342
2026-03-06,5.382782647489967
2026-03-07,5.59223749814516
2026-03-08,5.6077600246597665
2026-03-09,5.373666074016711
2026-03-10,5.5980853079103525
