rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,0.0,7.169868089827431,168644.81221773475,5621.493740591159,11608.368778247466,1.0,0.5,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,7.169868089827431,5621.493740591159,11608.368778247466,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,1.0,0.5,0.5412,141711.1963536143,85840.77246161453,Wh,85840.77246161453,Wh
1,88bfad9753a44d0c0270d39b7ed69788,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""one""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,188.0223042061142,2353.4143465004863,3064.403507318476,378.4255872497948,2353.4143465004863,0.0,0.0,6.8880522991090105,70602.43039501458,2353.4143465004863,10955.305794600623,1.0,0.5,5681.262176368386,0.5,2655.1784125375516,1752.966701299548,14330.626473033157,30052198.683599804,2.8362871956413067,70602.43039501458,39467.375415870236,4687.301724238334,437.3005421973564,188.0223042061142,2353.4143465004863,3064.403507318476,378.4255872497948,2353.4143465004863,0.0,6.8880522991090105,2353.4143465004863,10955.305794600623,5681.262176368386,0.5,2655.1784125375516,1752.966701299548,14330.626473033157,30052198.683599804,2.8362871956413067,70602.43039501458,39467.375415870236,4687.301724238334,437.3005421973564,1.0,0.5,0.5315,96918.93643873549,35936.872786520806,Wh,35936.872786520806,Wh
2,46c9dd281f17584d1dbcee76fe995771,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 9, ""min_samples_split"": 1.0}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 2, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,187.32866951830323,2693.5427805746026,3956.308322818756,646.7573345819121,2693.5427805746026,0.0,0.0,6.784053718302685,80806.28341723808,2693.5427805746026,7941.51143919907,0.9666666666666667,0.5,9709.69751002492,0.5,3387.6999179974805,1628.5355188861533,18199.24281364079,64246990.374752164,3.462607956063764,80806.28341723808,36934.57590584905,5366.974471644234,500.5016308023112,187.32866951830323,2693.5427805746026,3956.308322818756,646.7573345819121,2693.5427805746026,0.0,6.784053718302685,2693.5427805746026,7941.51143919907,9709.69751002492,0.5,3387.6999179974805,1628.5355188861533,18199.24281364079,64246990.374752164,3.462607956063764,80806.28341723808,36934.57590584905,5366.974471644234,500.5016308023112,0.9666666666666667,0.5,0.0137,82575.56324273242,41130.668041731944,Wh,41130.668041731944,Wh
3,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,-138.67343044093755,4.622447681364585,0.0,1.6384624362882745,11611.918932930612,1.0,0.5,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,4.622447681364585,1.6384624362882745,11611.918932930612,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,1.0,0.5,0.1171,76274.90003228841,70.5852390738423,Wh,70.5852390738423,Wh
4,da64b80f2192c0e87524aa00a95af58d,ARIMA,"{""p"": 4, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 2, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""zero""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,142.9177475777574,112.1693403107149,164.3463688492738,26.90992930365806,112.1693403107149,0.0,0.0,3.819490681572417,3365.080209321447,112.1693403107149,9204.869783188615,1.0,0.5,403.8630581163955,0.5,141.5623540139912,67.90731907686494,756.3307390217874,111011.90675321536,0.8375073844624242,3365.080209321447,1550.0406990991385,208.6607217198199,20.842786740352388,142.9177475777574,112.1693403107149,164.3463688492738,26.90992930365806,112.1693403107149,0.0,3.819490681572417,112.1693403107149,9204.869783188615,403.8630581163955,0.5,141.5623540139912,67.90731907686494,756.3307390217874,111011.90675321536,0.8375073844624242,3365.080209321447,1550.0406990991385,208.6607217198199,20.842786740352388,1.0,0.5,1.8467,61700.225643705635,1712.8370613055108,Wh,1712.8370613055108,Wh
5,50a58fddac3ceaee0fd51f4fa3486659,WindowRegression,"{""window_size"": 70, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 10, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""one""}, ""2"": {""lag"": 7, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,175.96089974454202,67.34814845522244,106.28515766557659,31.551705485114137,67.34814845522244,0.0,-72.41912031173706,4.7762903670568395,1948.0253333449364,65.748341970331,7137.002368632534,1.0,0.43333333333333335,230.05663073062897,0.4,108.3377686830725,37.77102838397026,175.90448825539048,22588.02390401493,2.3411822381728764,1875.6062130331993,2434.1864018143992,543.487478204515,11.617215006893941,175.96089974454202,67.34814845522244,106.28515766557659,31.551705485114137,67.34814845522244,0.0,4.7762903670568395,65.748341970331,7137.002368632534,230.05663073062897,0.4,108.3377686830725,37.77102838397026,175.90448825539048,22588.02390401493,2.3411822381728764,1875.6062130331993,2434.1864018143992,543.487478204515,11.617215006893941,1.0,0.43333333333333335,1.1479,47707.182183197656,1028.4129724296074,Wh,1028.4129724296074,Wh
6,07cc222ce7155a60631952e95836b1e1,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""HistGradientBoost"", ""model_params"": {""loss"": ""squared_error"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 20, ""max_iter"": 100, ""l2_regularization"": 0.01}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""lag"": 7, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}, ""5"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,186.84012960064047,534.2251000536578,722.7428947672001,108.71293071040189,534.2251000536578,0.0,0.0,5.679206296605122,16026.753001609733,534.2251000536578,1096.0947995563026,0.9,0.5,1632.0954029978805,0.5,623.3710312432806,362.01267785466297,3385.767746435733,1976668.631360495,1.8244334237497026,16026.753001609733,8517.930709304386,1052.0474222873509,99.26723114282386,186.84012960064047,534.2251000536578,722.7428947672001,108.71293071040189,534.2251000536578,0.0,5.679206296605122,534.2251000536578,1096.0947995563026,1632.0954029978805,0.5,623.3710312432806,362.01267785466297,3385.767746435733,1976668.631360495,1.8244334237497026,16026.753001609733,8517.930709304386,1052.0474222873509,99.26723114282386,0.9,0.5,0.2142,13092.03023822483,8157.6707852327545,Wh,8157.6707852327545,Wh
7,372c0d5c32f5259c5474f9e873d933f7,DatepartRegression,"{""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": null, ""min_samples_split"": 0.05}}, ""datepart_method"": [""anchored_warped_fourier:us_school""], ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}, ""5"": {}}}",0,1,174.08357256452013,271.6114451340266,354.2316728396037,49.44621700304824,271.6114451340266,0.0,0.0,4.984923797109971,8148.343354020799,271.6114451340266,1444.6498058781588,1.0,0.5,742.3306771232966,0.5,307.02627322836724,195.16002074241638,1667.1287647719396,443457.58420357306,0.9158692643431917,8148.343354020799,4576.030917382948,527.2711129164153,50.46957940098238,174.08357256452013,271.6114451340266,354.2316728396037,49.44621700304824,271.6114451340266,0.0,4.984923797109971,271.6114451340266,1444.6498058781588,742.3306771232966,0.5,307.02627322836724,195.16002074241638,1667.1287647719396,443457.58420357306,0.9158692643431917,8148.343354020799,4576.030917382948,527.2711129164153,50.46957940098238,1.0,0.5,0.7739,12473.862333148549,4147.533971507798,Wh,4147.533971507798,Wh
8,9673704b270407ab473f70b82878f639,ARIMA,"{""p"": 5, ""d"": 0, ""q"": 0, ""regression_type"": ""Holiday""}","{""fillna"": ""mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {}}}",0,1,91.55187745868008,12.24209642336338,14.997713110321795,2.037676011347075,12.24209642336338,0.0,0.0,2.2888428658936335,367.2628927009014,12.24209642336338,1263.110333598213,1.0,0.5,28.499349731361228,0.5,14.079500848312625,9.453504928983946,70.78357037270618,733.7593676357217,0.08166810424454599,367.2628927009014,231.08238604225414,9.22314298168568,2.2747695965777175,91.55187745868008,12.24209642336338,14.997713110321795,2.037676011347075,12.24209642336338,0.0,2.2888428658936335,12.24209642336338,1263.110333598213,28.499349731361228,0.5,14.079500848312625,9.453504928983946,70.78357037270618,733.7593676357217,0.08166810424454599,367.2628927009014,231.08238604225414,9.22314298168568,2.2747695965777175,1.0,0.5,0.5037,8468.402925654693,186.93803854001462,Wh,186.93803854001462,Wh
9,844e503044a5dcbf3b61f28c260dbe59,ARIMA,"{""p"": 4, ""d"": 1, ""q"": 12, ""regression_type"": null}","{""fillna"": ""mean"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""bfill""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,109.78415526174696,26.205502400733476,36.14970345538378,5.624671434473347,26.205502400733476,0.0,-0.028851206753872205,2.717722845072644,786.1362208152505,26.205488788726544,1218.1302218890125,1.0,0.5333333333333333,83.6370602510396,0.5333333333333333,32.00724882961393,17.251825267632785,168.73006644974748,5057.562155051529,0.31541902214846795,786.1073696084966,403.5924690014072,37.26664530620323,4.869027553751285,109.78415526174696,26.205502400733476,36.14970345538378,5.624671434473347,26.205502400733476,0.0,2.717722845072644,26.205488788726544,1218.1302218890125,83.6370602510396,0.5333333333333333,32.00724882961393,17.251825267632785,168.73006644974748,5057.562155051529,0.31541902214846795,786.1073696084966,403.5924690014072,37.26664530620323,4.869027553751285,1.0,0.5333333333333333,7.1875,8346.021166879094,400.16064637423165,Wh,400.16064637423165,Wh
