,Wh
2025-12-11,6.070761962580549
2025-12-12,6.001885345090012
2025-12-13,5.907395591127031
2025-12-14,5.707209785296819
2025-12-15,5.685312143751568
2025-12-16,5.550653708111687
2025-12-17,5.3548081131028065
2025-12-18,5.131458832683088
2025-12-19,5.715184388534433
2025-12-20,5.585220414292261
2025-12-21,5.717376381482413
2025-12-22,5.620051907965132
2025-12-23,5.718827102207948
2025-12-24,5.624947754808851
2025-12-25,5.6941604514746595
2025-12-26,5.492799750435936
2025-12-27,5.511894189942467
2025-12-28,5.520189236828275
2025-12-29,5.390305932921093
2025-12-30,5.106597235349452
2025-12-31,5.839668008803391
2026-01-01,5.6286988349434095
2026-01-02,5.57264332329943
2026-01-03,5.623914515986329
2026-01-04,5.656922625714824
2026-01-05,5.639100598508403
2026-01-06,5.649138199502513
2026-01-07,5.455001889084067
2026-01-08,5.203602426861014
2026-01-09,5.603955190181733
2026-01-10,5.5372467573625705
2026-01-11,5.485466411922659
2026-01-12,5.4835467179758215
2026-01-13,5.480688021991934
2026-01-14,5.409616027687277
2026-01-15,5.348702876567841
2026-01-16,5.196942989826202
2026-01-17,5.608226392269135
2026-01-18,5.5167589577181
2026-01-19,5.457698148105826
2026-01-20,5.450139084671225
2026-01-21,5.434360581253256
2026-01-22,5.389516903460025
2026-01-23,5.359049379825592
2026-01-24,5.1635995388031
2026-01-25,5.701740565299988
2026-01-26,5.509688066996279
2026-01-27,5.527647921258494
2026-01-28,5.566324679070995
2026-01-29,5.5780442516150925
2026-01-30,5.543321220094249
2026-01-31,5.497923583203837
2026-02-01,5.33819593748876
2026-02-02,5.214048593044281
2026-02-03,5.551839625835418
2026-02-04,5.52547292551824
2026-02-05,5.5234927209360265
2026-02-06,5.492591834877219
2026-02-07,5.471862789009299
2026-02-08,5.3985100277406834
2026-02-09,5.37785413980484
2026-02-10,5.123800892829895
2026-02-11,5.672885105609894
2026-02-12,5.581003737009707
2026-02-13,5.57123572033076
2026-02-14,5.603326183969066
2026-02-15,5.651591502839611
2026-02-16,5.634318007642314
2026-02-17,5.533586026841686
2026-02-18,5.320078228328909
2026-02-19,5.165923092365265
2026-02-20,5.632937095165253
2026-02-21,5.500223929101512
2026-02-22,5.510696021729991
2026-02-23,5.559471053296611
2026-02-24,5.582966777497814
2026-02-25,5.522249218637034
2026-02-26,5.489746383840129
2026-02-27,5.281138332699027
2026-02-28,5.26512868642807
2026-03-01,5.340108892917633
2026-03-02,5.288073654174805
2026-03-03,5.3788012647628785
2026-03-04,5.265421710014343
2026-03-05,5.304318087100983
2026-03-06,5.275755484104156
2026-03-07,5.340108892917633
2026-03-08,5.280858190059662
2026-03-09,5.340108892917633
2026-03-10,5.304523158073425
