,Wh
2026-02-09,5.462097483166193
2026-02-10,5.3123973740471735
2026-02-11,5.411480449494862
2026-02-12,5.450658965110779
2026-02-13,5.557747171038673
2026-02-14,5.462097483166193
2026-02-15,5.450658965110779
2026-02-16,5.462097483166193
2026-02-17,5.3123973740471735
2026-02-18,5.450658965110779
2026-02-19,5.450658965110779
2026-02-20,5.462097483166193
2026-02-21,5.457499937577681
2026-02-22,5.450658965110779
2026-02-23,5.457499937577681
2026-02-24,5.3123973740471735
2026-02-25,5.450658965110779
2026-02-26,5.450658965110779
2026-02-27,5.462097483166193
2026-02-28,5.462097483166193
2026-03-01,5.454995314280192
2026-03-02,5.462097483166193
2026-03-03,5.3123973740471735
2026-03-04,5.4354114305405385
2026-03-05,5.450658965110779
2026-03-06,5.5595745369791985
2026-03-07,5.462097483166193
2026-03-08,5.454995314280192
2026-03-09,5.462097483166193
2026-03-10,5.3123973740471735
