,Wh
2026-01-10,5.294159370234997
2026-01-11,5.449144637092675
2026-01-12,5.29215254550317
2026-01-13,5.283886055668494
2026-01-14,5.248277148372386
2026-01-15,5.625350507840241
2026-01-16,5.847848708954786
2026-01-17,5.872255966304205
2026-01-18,5.646989020600493
2026-01-19,5.531398792966282
2026-01-20,5.2386808428431095
2026-01-21,5.400713214046215
2026-01-22,5.002338112871151
2026-01-23,5.49209803325844
2026-01-24,5.21682341107777
2026-01-25,5.4783085744120035
2026-01-26,5.105067626254425
2026-01-27,5.282097427737444
2026-01-28,5.234922950377066
2026-01-29,5.203854939341844
2026-01-30,5.48572682902588
2026-01-31,5.057714370505677
2026-02-01,5.294923542233039
2026-02-02,5.107433266458603
2026-02-03,5.392692129216023
2026-02-04,5.008974379834202
2026-02-05,5.349095462055732
2026-02-06,5.101203629046678
2026-02-07,5.407750394315183
2026-02-08,5.004058381375339
2026-02-09,5.4322770774073
2026-02-10,5.00942261367705
2026-02-11,5.4322770774073
2026-02-12,5.040672360210592
2026-02-13,5.432685461901592
2026-02-14,5.000015282315321
2026-02-15,5.4974410629897985
2026-02-16,5.210300165254081
2026-02-17,5.417211892169146
2026-02-18,4.996589011248615
2026-02-19,5.426449886531293
2026-02-20,5.016656915244129
2026-02-21,5.443362377852857
2026-02-22,5.045557371672656
2026-02-23,5.42549756404823
2026-02-24,5.004039413031604
2026-02-25,5.432277077407299
2026-02-26,5.027550818022755
2026-02-27,5.435271877021253
2026-02-28,4.9821914614207214
2026-03-01,5.457146923849106
2026-03-02,5.093195935583776
2026-03-03,5.4273086364772505
2026-03-04,4.978919311857885
2026-03-05,5.4504855278224955
2026-03-06,5.075067731238073
2026-03-07,5.440235592495063
2026-03-08,4.975132063723272
2026-03-09,5.455712025472642
2026-03-10,5.04272627720899
