rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,e90eec8ff9aca12a19ff553c901c2713,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,-166.6247261350557,15.45642228926635,1.059593914019812e+94,5.886632855665622e+91,7.722501181187352e+91,0.6,0.5722222222222223,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,15.45642228926635,5.886632855665622e+91,7.722501181187352e+91,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,0.6,0.5722222222222223,0.24206666666666665,1.6403554393072514e+93,2.6429574638855356e+93,Wh,2.6429574638855356e+93,Wh
1,e14d3f807a257f64394af134c8bb419b,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler"", ""2"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,3,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,-166.6247261350557,15.45642228926635,1.059593914019812e+94,5.886632855665622e+91,7.722501181187352e+91,0.6,0.5722222222222223,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,15.45642228926635,5.886632855665622e+91,7.722501181187352e+91,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,0.6,0.5722222222222223,0.23946666666666663,1.6403554393072514e+93,2.6429574638855356e+93,Wh,2.6429574638855356e+93,Wh
2,f168c27682364516c7a4201a8d2f8b24,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,-166.6247261350557,15.45642228926635,1.059593914019812e+94,5.886632855665622e+91,7.722501181187352e+91,0.6,0.5722222222222223,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,15.45642228926635,5.886632855665622e+91,7.722501181187352e+91,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,0.6,0.5722222222222223,0.2431,1.6403554393072514e+93,2.6429574638855356e+93,Wh,2.6429574638855356e+93,Wh
3,b92c641ecbab1d7413f1fc946d92901c,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler""}, ""transformation_params"": {""0"": {}}}",0,3,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,-166.6247261350557,15.45642228926635,1.059593914019812e+94,5.886632855665622e+91,7.722501181187352e+91,0.6,0.5722222222222223,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,52.05824246936812,5.886632855665622e+91,1.702534276029324e+92,9.32764289241475e+91,5.886632855665622e+91,0.0,15.45642228926635,5.886632855665622e+91,7.722501181187352e+91,2.2185584375979977e+93,0.5944444444444444,1.239046522218746e+92,2.3730191574624516e+88,4.5837378753396304e+92,1.5114399464343384e+185,71.56324010812777,3.5319797133993733e+93,6.064010698685916e+92,6.604752638455979e+92,9.70448734676299e+90,0.6,0.5722222222222223,0.24546666666666664,1.6403554393072514e+93,2.6429574638855356e+93,Wh,2.6429574638855356e+93,Wh
4,2fe6616b1082c29f086340cb5facc89c,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 50000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler"", ""2"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,3,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,-174.57011629599938,11.202947513315001,2.8487549664241638e+91,1.5826416480134242e+89,2.0762212109791902e+89,0.6333333333333334,0.48888888888888893,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,11.202947513315001,1.5826416480134242e+89,2.0762212109791902e+89,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,0.6333333333333334,0.48888888888888893,0.24096666666666666,5.679491104973645e+90,7.105682754186671e+90,Wh,7.105682754186671e+90,Wh
5,4de416261f36725ea98f656406cd0506,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 50000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,-174.57011629599938,11.202947513315001,2.8487549664241638e+91,1.5826416480134242e+89,2.0762212109791902e+89,0.6333333333333334,0.48888888888888893,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,11.202947513315001,1.5826416480134242e+89,2.0762212109791902e+89,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,0.6333333333333334,0.48888888888888893,0.2502,5.679491104973645e+90,7.105682754186671e+90,Wh,7.105682754186671e+90,Wh
6,fb642371de3857dfe2dc4a9fbd7209a9,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 50000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,3,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,-174.57011629599938,11.202947513315001,2.8487549664241638e+91,1.5826416480134242e+89,2.0762212109791902e+89,0.6333333333333334,0.48888888888888893,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,50.41772859690726,1.5826416480134242e+89,8.188521525725276e+89,3.266098425336219e+89,1.5826416480134242e+89,0.0,11.202947513315001,1.5826416480134242e+89,2.0762212109791902e+89,1.849020583023688e+91,0.6277777777777778,9.306675564763906e+89,2147932077532842.8,9.411460049665028e+89,2.6389020961018945e+180,69.61157450330442,9.495849888080546e+90,3.04927747150802e+90,4.831705976259886e+90,2.609085061730037e+88,0.6333333333333334,0.48888888888888893,0.24933333333333332,5.679491104973645e+90,7.105682754186671e+90,Wh,7.105682754186671e+90,Wh
7,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,0.0,4.647530354917996,13935.009384927145,232.2501564154524,183767.24322602936,1.0,0.45,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,4.647530354917996,232.2501564154524,183767.24322602936,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,1.0,0.45,0.1127,1809442.49245392,3475.825651308861,Wh,3475.825651308861,Wh
8,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,194.1527228595375,5.30024479230245,5.402844342958443,1.176766590107005,5.30024479230245,0.0,-318.014687538147,5.30024479230245,0.0,1.8175284708234578,165403.5894112595,1.0,0.55,6.628880023956299,0.8,4.9978725047675905,5.084950923919678,20.412878466368735,65.71980704083097,0.12325486206542244,318.014687538147,325.5113706121239,19.71850341840287,0.9689913842143634,194.1527228595375,5.30024479230245,5.402844342958443,1.176766590107005,5.30024479230245,0.0,5.30024479230245,1.8175284708234578,165403.5894112595,6.628880023956299,0.8,4.9978725047675905,5.084950923919678,20.412878466368735,65.71980704083097,0.12325486206542244,318.014687538147,325.5113706121239,19.71850341840287,0.9689913842143634,1.0,0.55,1.0778,1626678.4253840635,79.32277459631169,Wh,79.32277459631169,Wh
9,b8f189c3f6f61a2a9c5517aa3fb18693,DatepartRegression,"{""regression_model"": {""model"": ""Adaboost"", ""model_params"": {""n_estimators"": 200, ""loss"": ""linear"", ""estimator"": ""LinReg"", ""learning_rate"": 1}}, ""datepart_method"": [""morlet_365.25_12_12"", ""ricker_7_7_1""], ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""linear"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}, ""5"": {""lag"": 1, ""fill"": ""one""}}}",0,1,197.36392485626806,5.399356326670958,5.462038578748766,1.1966908708419215,5.399356326670958,0.0,-323.9613796002575,5.399356326670958,0.0,1.846906380156494,159264.7050683511,1.0,0.55,6.628880023956299,0.8,5.027184485579055,5.2015527290591,20.514588509460573,72.74494427075507,0.1019924481440042,323.9613796002575,337.18683631793647,19.91413465802518,0.9871109667322929,197.36392485626806,5.399356326670958,5.462038578748766,1.1966908708419215,5.399356326670958,0.0,5.399356326670958,1.846906380156494,159264.7050683511,6.628880023956299,0.8,5.027184485579055,5.2015527290591,20.514588509460573,72.74494427075507,0.1019924481440042,323.9613796002575,337.18683631793647,19.91413465802518,0.9871109667322929,1.0,0.55,0.127,1566314.735924754,80.8060649364155,Wh,80.8060649364155,Wh
