,Wh
2025-12-11,6.2028156655113165
2025-12-12,6.281040023538939
2025-12-13,6.0955954233300575
2025-12-14,6.0563879133316085
2025-12-15,5.973570826724088
2025-12-16,5.920271310578938
2025-12-17,5.879605955272568
2025-12-18,5.653809837895028
2025-12-19,6.092745644338745
2025-12-20,6.0950443957304605
2025-12-21,6.103600889240925
2025-12-22,6.0999611370738425
2025-12-23,6.085655811565724
2025-12-24,6.07064117187385
2025-12-25,6.037390897718671
2025-12-26,5.8406774699225945
2025-12-27,5.919568422448784
2025-12-28,5.826261155814853
2025-12-29,5.8378733660603155
2025-12-30,5.732777241384224
2025-12-31,5.896251072122244
2026-01-01,5.761123181624051
2026-01-02,5.885848809928221
2026-01-03,5.760918370598837
2026-01-04,5.885848809928221
2026-01-05,5.7688467850674785
2026-01-06,5.886278411597532
2026-01-07,5.7667870114634034
2026-01-08,5.8960714865232715
2026-01-09,5.75384355375777
2026-01-10,5.8875892830396905
2026-01-11,5.75037639351118
2026-01-12,5.8875892830396905
2026-01-13,5.755419201350314
2026-01-14,5.8875892830396905
2026-01-15,5.755419201350313
2026-01-16,5.8875892830396905
2026-01-17,5.755419201350314
2026-01-18,5.887589283039689
2026-01-19,5.763901404833895
2026-01-20,5.8960714865232715
2026-01-21,5.753843553757768
2026-01-22,5.8875892830396905
2026-01-23,5.75037639351118
2026-01-24,5.887589283039689
2026-01-25,5.755419201350314
2026-01-26,5.8875892830396905
2026-01-27,5.755419201350314
2026-01-28,5.8875892830396905
2026-01-29,5.755419201350314
2026-01-30,5.8875892830396905
2026-01-31,5.763901404833896
2026-02-01,5.896071486523271
2026-02-02,5.753843553757768
2026-02-03,5.8875892830396905
2026-02-04,5.75037639351118
2026-02-05,5.887589283039689
2026-02-06,5.755419201350314
2026-02-07,5.887589283039689
2026-02-08,5.755419201350314
2026-02-09,5.8875892830396905
2026-02-10,5.755419201350313
2026-02-11,5.887589283039689
2026-02-12,5.763901404833896
2026-02-13,5.8960714865232715
2026-02-14,5.753843553757768
2026-02-15,5.8875892830396905
2026-02-16,5.75037639351118
2026-02-17,5.8875892830396905
2026-02-18,5.755419201350314
2026-02-19,5.8875892830396905
2026-02-20,5.755419201350313
2026-02-21,5.8875892830396905
2026-02-22,5.755419201350313
2026-02-23,5.887589283039689
2026-02-24,5.763901404833896
2026-02-25,5.896071486523271
2026-02-26,5.753843553757768
2026-02-27,5.8875892830396905
2026-02-28,5.750376393511179
2026-03-01,5.8875892830396905
2026-03-02,5.755419201350313
2026-03-03,5.8875892830396905
2026-03-04,5.755419201350314
2026-03-05,5.887589283039689
2026-03-06,5.755419201350314
2026-03-07,5.887589283039689
2026-03-08,5.763901404833896
2026-03-09,5.8960714865232715
2026-03-10,5.75384355375777
