rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,05fd96f196401548831ee2a5b34c9039,ARIMA,"{""p"": 0, ""d"": 3, ""q"": 0, ""regression_type"": ""Holiday""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 2, ""fill"": ""bfill""}, ""4"": {""lag"": 2, ""fill"": ""bfill""}}}",0,1,194.82090609799118,630282.3337220453,1136630.564560166,233008.9180809922,630282.3337220453,0.0,0.0,10.896486593356936,18908470.01166136,630282.3337220453,2602386.8158052466,1.0,0.5,3498137.540515315,0.5,949143.9431856675,254270.5612641283,4833666.145199871,6860899910908.795,9.883242367617944,18908470.01166136,6101316.679085066,1259466.7645744216,117116.14093111783,194.82090609799118,630282.3337220453,1136630.564560166,233008.9180809922,630282.3337220453,0.0,10.896486593356936,630282.3337220453,2602386.8158052466,3498137.540515315,0.5,949143.9431856675,254270.5612641283,4833666.145199871,6860899910908.795,9.883242367617944,18908470.01166136,6101316.679085066,1259466.7645744216,117116.14093111783,1.0,0.5,0.3329,21795533.290297423,9624474.364338594,Wh,9624474.364338594,Wh
1,5c9de9d427133a6478d63c38d9b22c34,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 1.4, ""use_mle"": false}","{""fillna"": ""mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""one""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,188.6925128859698,2920.564955908526,4128.569158558332,635.2999923294002,2920.564955908526,0.0,0.0,6.964682827914759,87616.94867725577,2920.564955908526,52578.64776344153,1.0,0.5,9537.689677113936,0.5,3548.0394325709003,1881.0984551830927,19173.197324765068,65872229.17120205,3.2710710973299015,87616.94867725577,42659.2780299641,5820.628944994285,542.6858388283955,188.6925128859698,2920.564955908526,4128.569158558332,635.2999923294002,2920.564955908526,0.0,6.964682827914759,2920.564955908526,52578.64776344153,9537.689677113936,0.5,3548.0394325709003,1881.0984551830927,19173.197324765068,65872229.17120205,3.2710710973299015,87616.94867725577,42659.2780299641,5820.628944994285,542.6858388283955,1.0,0.5,0.2261,323495.3878264565,44597.3193973787,Wh,44597.3193973787,Wh
2,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,0.0,7.169868089827431,168644.81221773475,5621.493740591159,11608.368778247466,1.0,0.5,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,7.169868089827431,5621.493740591159,11608.368778247466,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,1.0,0.5,0.2815,124364.94591306917,85840.77246161453,Wh,85840.77246161453,Wh
3,6b7ba8e3c95f614859dce9f146889d13,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 500000, ""fourier_encoding_components"": 2, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.1, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 200}}}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""bfill""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,189.7037612429274,4316.683543323879,6312.263442105258,1027.2142113926113,4316.683543323879,0.0,0.0,7.245848504116319,129500.50629971639,4316.683543323879,11347.612499484023,1.0,0.5,15421.45521560814,0.5,5406.075772028366,2627.9592034304246,29071.70719423149,162786939.76584807,3.9067816426169455,129500.50629971639,59652.66156819049,8610.468490741476,802.1061216002697,189.7037612429274,4316.683543323879,6312.263442105258,1027.2142113926113,4316.683543323879,0.0,7.245848504116319,4316.683543323879,11347.612499484023,15421.45521560814,0.5,5406.075772028366,2627.9592034304246,29071.70719423149,162786939.76584807,3.9067816426169455,129500.50629971639,59652.66156819049,8610.468490741476,802.1061216002697,1.0,0.5,0.0162,107552.06402600395,65916.1900609524,Wh,65916.1900609524,Wh
4,9a148975f8d89a4b5c176a8f83c0422a,ARIMA,"{""p"": 4, ""d"": 1, ""q"": 3, ""regression_type"": ""Holiday""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,65.92300270045627,7.215189923376085,9.619692545333363,1.71192772359451,7.215189923376085,0.0,-0.056522410085840136,1.746723592390905,216.39917529119668,7.215138602022483,14454.91654606994,1.0,0.5666666666666667,21.28342693113564,0.5666666666666667,9.27125263387641,4.955508408390213,45.129442331673395,343.33150852121094,0.10279849353929806,216.34265288111084,118.19240995108704,3.8933625989560467,1.3399929559932635,65.92300270045627,7.215189923376085,9.619692545333363,1.71192772359451,7.215189923376085,0.0,1.746723592390905,7.215138602022483,14454.91654606994,21.28342693113564,0.5666666666666667,9.27125263387641,4.955508408390213,45.129442331673395,343.33150852121094,0.10279849353929806,216.34265288111084,118.19240995108704,3.8933625989560467,1.3399929559932635,1.0,0.5666666666666667,1.3996,80986.5387343361,110.17667279564176,Wh,110.17667279564176,Wh
5,42aa6c1580f4c37e7416ec242b7ab77b,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 7, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 2, ""fill"": ""bfill""}, ""4"": {""lag"": 2, ""fill"": ""bfill""}, ""5"": {""lag"": 2, ""fill"": ""bfill""}}}",0,1,172.82511876220158,332.8380261320954,465.30652498866016,72.97899856747173,332.8380261320954,0.0,0.0,5.029040934682784,9985.140783962863,332.8380261320954,10749.178083587094,1.0,0.5,1095.6257668616317,0.5,400.3711354159308,215.5110861399665,2165.9597667121116,852431.5041594396,1.4293596150381005,9985.140783962863,5004.161445052125,649.6191272319701,61.8464188033423,172.82511876220158,332.8380261320954,465.30652498866016,72.97899856747173,332.8380261320954,0.0,5.029040934682784,332.8380261320954,10749.178083587094,1095.6257668616317,0.5,400.3711354159308,215.5110861399665,2165.9597667121116,852431.5041594396,1.4293596150381005,9985.140783962863,5004.161445052125,649.6191272319701,61.8464188033423,1.0,0.5,0.4034,63553.780957947834,5082.469995737034,Wh,5082.469995737034,Wh
6,a4d3121608cdb984367a5e184fb6378d,ARIMA,"{""p"": 7, ""d"": 0, ""q"": 7, ""regression_type"": ""Holiday""}","{""fillna"": ""median"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,141.941720401208,15.329354121447523,18.37521991304545,4.816669910162077,15.329354121447523,0.0,-51.819834812883414,3.6820053570106213,408.06078883054226,14.196392906612168,9942.612535667518,0.9333333333333333,0.43333333333333335,30.526510470572966,0.36666666666666664,21.81169733198396,12.468840335304092,38.659977873901425,2098.0590266831387,0.8470403259187633,356.24095401765885,604.1731052800867,80.16005675876187,2.2065014118242883,141.941720401208,15.329354121447523,18.37521991304545,4.816669910162077,15.329354121447523,0.0,3.6820053570106213,14.196392906612168,9942.612535667518,30.526510470572966,0.36666666666666664,21.81169733198396,12.468840335304092,38.659977873901425,2098.0590266831387,0.8470403259187633,356.24095401765885,604.1731052800867,80.16005675876187,2.2065014118242883,0.9333333333333333,0.43333333333333335,4.7274,55857.71596029746,234.08077280618133,Wh,234.08077280618133,Wh
7,f90d681b5d6d0a6cfffc1922d53f9027,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}}}",0,1,175.08299487091824,319.9775701309511,424.79041660880904,61.208553513398535,319.9775701309511,0.0,0.0,5.09856464920709,9599.327103928534,319.9775701309511,4557.863036201401,1.0,0.5,918.9173556500306,0.5,367.34673048726376,224.12013472835787,1995.4446336678036,655882.9298705611,1.1224688946776256,9599.327103928534,5231.476998863456,623.9203011782632,59.456748497062264,175.08299487091824,319.9775701309511,424.79041660880904,61.208553513398535,319.9775701309511,0.0,5.09856464920709,319.9775701309511,4557.863036201401,918.9173556500306,0.5,367.34673048726376,224.12013472835787,1995.4446336678036,655882.9298705611,1.1224688946776256,9599.327103928534,5231.476998863456,623.9203011782632,59.456748497062264,1.0,0.5,0.2597,28701.22652419949,4886.089544510072,Wh,4886.089544510072,Wh
8,f4533aea2dcbdaee596160da0ed5c560,ARIMA,"{""p"": 0, ""d"": 3, ""q"": 1, ""regression_type"": ""Holiday""}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""zero""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,191.11208669462079,6.4872255090514175,7.77598534788246,4.68961658098946,6.4872255090514175,0.0,-145.92947006225586,5.130473403029677,48.68729520928669,3.2905997553601822,3602.203050962131,0.9666666666666667,0.4666666666666667,25.644062031399546,0.4,10.397527731399745,5.2642502528973445,22.97826433173135,1185.0389171019308,1.0224555481494253,97.24217485296916,81.38673682404304,93.54536658292272,0.6023030021733682,191.11208669462079,6.4872255090514175,7.77598534788246,4.68961658098946,6.4872255090514175,0.0,5.130473403029677,3.2905997553601822,3602.203050962131,25.644062031399546,0.4,10.397527731399745,5.2642502528973445,22.97826433173135,1185.0389171019308,1.0224555481494253,97.24217485296916,81.38673682404304,93.54536658292272,0.6023030021733682,0.9666666666666667,0.4666666666666667,0.4294,20327.107906226913,99.06058327676865,Wh,99.06058327676865,Wh
9,e0ce81158d086871ce8144202f937d7a,Theta,"{""deseasonalize"": false, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 4.0, ""use_mle"": false}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 2, ""fill"": ""zero""}}}",0,1,159.1588581807372,121.10821341623151,159.49278192301344,22.84655984225337,121.10821341623151,0.0,0.0,4.208156965891666,3633.246402486945,121.10821341623151,3300.747612367062,1.0,0.5,342.9929176703718,0.5,138.6032879940468,85.54263819409407,750.1151729519984,91975.23460016484,0.5621257383944432,3633.246402486945,2010.9488951325939,226.52311672621707,22.503766695492203,159.1588581807372,121.10821341623151,159.49278192301344,22.84655984225337,121.10821341623151,0.0,4.208156965891666,121.10821341623151,3300.747612367062,342.9929176703718,0.5,138.6032879940468,85.54263819409407,750.1151729519984,91975.23460016484,0.5621257383944432,3633.246402486945,2010.9488951325939,226.52311672621707,22.503766695492203,1.0,0.5,0.1864,19729.10822591843,1849.3345489346982,Wh,1849.3345489346982,Wh
