,Wh
2026-01-10,5.068978704245076
2026-01-11,5.058162898105866
2026-01-12,4.915921361014943
2026-01-13,4.97570503581486
2026-01-14,4.9446320449622245
2026-01-15,4.93485866110938
2026-01-16,4.905304761938208
2026-01-17,4.897455011405633
2026-01-18,4.883512742411024
2026-01-19,4.600035803158906
2026-01-20,5.08453105129791
2026-01-21,5.321588081576099
2026-01-22,4.941757258390091
2026-01-23,4.7990844036058355
2026-01-24,4.799087880268097
2026-01-25,4.8345026519130325
2026-01-26,4.800139172174076
2026-01-27,4.768535010981182
2026-01-28,4.750605010546323
2026-01-29,4.742822870410799
2026-01-30,4.729679769455143
2026-01-31,4.714980452626098
2026-02-01,4.700859713915984
2026-02-02,4.688198101092863
2026-02-03,4.675357797930157
2026-02-04,4.662285064553064
2026-02-05,4.649148189890106
2026-02-06,4.636159781331374
2026-02-07,4.623195510916443
2026-02-08,4.610215031338811
2026-02-09,4.597216659865772
2026-02-10,4.5842288194720515
2026-02-11,4.571246532180911
2026-02-12,4.558264612433044
2026-02-13,4.545280337203599
2026-02-14,4.532296380288991
2026-02-15,4.519313051100101
2026-02-16,4.234832829654561
2026-02-17,4.721113170939504
2026-02-18,4.957952115079261
2026-02-19,4.578224861965082
2026-02-20,4.435374835446461
2026-02-21,4.435538808137995
2026-02-22,4.470958553520442
2026-02-23,4.436615796052795
2026-02-24,4.404988934519196
2026-02-25,4.387070652907308
2026-02-26,4.379290372338379
2026-02-27,4.366150972012928
2026-02-28,4.351449425151063
2026-03-01,4.33732934042731
2026-03-02,4.324667863135419
2026-03-03,4.311828088022287
2026-03-04,4.29875519551439
2026-03-05,4.285618347744059
2026-03-06,4.2726299311256
2026-03-07,4.25966572223045
2026-03-08,4.24668523723947
2026-03-09,4.233686867717471
2026-03-10,4.22069902363448
