,Wh
2026-01-10,5.115577635028029
2026-01-11,5.068786983098515
2026-01-12,5.015684487235913
2026-01-13,5.026556239462609
2026-01-14,5.009680342171687
2026-01-15,4.995441549651215
2026-01-16,5.01249940990376
2026-01-17,5.036804030476936
2026-01-18,4.992905966437338
2026-01-19,4.931144268749241
2026-01-20,4.951951521295464
2026-01-21,4.935729344038344
2026-01-22,4.922041538651052
2026-01-23,4.939188670607276
2026-01-24,4.963477692925175
2026-01-25,4.920553948908487
2026-01-26,4.869687359277505
2026-01-27,4.88091291536959
2026-01-28,4.865190687418352
2026-01-29,4.8520221517189235
2026-01-30,4.869248892555244
2026-01-31,4.893517505622594
2026-02-01,4.877149565920441
2026-02-02,4.82720454668911
2026-02-03,4.838648267794904
2026-02-04,4.823374747505782
2026-02-05,4.810629570143657
2026-02-06,4.828019090263653
2026-02-07,4.8523919593601015
2026-02-08,4.811050913811559
2026-02-09,4.7619289287354265
2026-02-10,4.77351711047078
2026-02-11,4.7587469153626625
2026-02-12,4.746467996201158
2026-02-13,4.763920675091869
2026-02-14,4.788265077524208
2026-02-15,4.747761531760705
2026-02-16,4.690239681390171
2026-02-17,4.711237202601619
2026-02-18,4.6970007033729155
2026-02-19,4.68516307357356
2026-02-20,4.702671590940876
2026-02-21,4.726984294685263
2026-02-22,4.687276654539882
2026-02-23,4.639974903416795
2026-02-24,4.651821409828222
2026-02-25,4.637978446558109
2026-02-26,4.626557723427339
2026-02-27,4.644115404582002
2026-02-28,4.668393603203317
2026-03-01,4.647058346722187
2026-03-02,4.600531940472881
2026-03-03,4.612539474712725
2026-03-04,4.599072412154196
2026-03-05,4.588004578315966
2026-03-06,4.605672736508026
2026-03-07,4.63000681849379
2026-03-08,4.591629742833456
2026-03-09,4.54580144504947
2026-03-10,4.5579145504230745
