LocalTime,y
2026-01-10,5.092979999999999
2026-01-11,4.84238
2026-01-12,4.66943
2026-01-13,4.62273
2026-01-14,4.66943
2026-01-15,4.66943
2026-01-16,4.84238
2026-01-17,4.9366900000000005
2026-01-18,4.66943
2026-01-19,4.62273
2026-01-20,4.60616
2026-01-21,4.66943
2026-01-22,4.65392
2026-01-23,4.66943
2026-01-24,4.9366900000000005
2026-01-25,4.66943
2026-01-26,4.62273
2026-01-27,4.60616
2026-01-28,4.66943
2026-01-29,4.66943
2026-01-30,4.84238
2026-01-31,5.04727
2026-02-01,4.84238
2026-02-02,4.66943
2026-02-03,4.65392
2026-02-04,4.66943
2026-02-05,4.66943
2026-02-06,4.66943
2026-02-07,4.84238
2026-02-08,4.62273
2026-02-09,4.5969
2026-02-10,4.57906
2026-02-11,4.60616
2026-02-12,4.58118
2026-02-13,4.60616
2026-02-14,4.65392
2026-02-15,4.58118
2026-02-16,4.54989
2026-02-17,4.54574
2026-02-18,4.57906
2026-02-19,4.57906
2026-02-20,4.58118
2026-02-21,4.62273
2026-02-22,4.57906
2026-02-23,4.54574
2026-02-24,4.54574
2026-02-25,4.57906
2026-02-26,4.57906
2026-02-27,4.5969
2026-02-28,4.65392
2026-03-01,4.60616
2026-03-02,4.57906
2026-03-03,4.54574
2026-03-04,4.57906
2026-03-05,4.54989
2026-03-06,4.57906
2026-03-07,4.5969
2026-03-08,4.54574
2026-03-09,4.54574
2026-03-10,4.339739999999994
