rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,337e6000cda6cbe307087401da3a3855,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""default"", ""1"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,-562.7226579994312,9.226120196844564,164592036.96473154,1371601.7329106699,1179802.5064779876,0.0,0.5416666666666666,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,9.226120196844564,1371601.7329106699,1179802.5064779876,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,0.0,0.5416666666666666,0.0483,29593870.884413417,19482747.458770912,Wh,19482747.458770912,Wh
1,205a977874f9c96963f8abaa7dca01fa,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""default""}, ""transformation_params"": {""0"": {}}}",0,1,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,-562.7226579994312,9.226120196844564,164592036.96473154,1371601.7329106699,1179802.5064779876,0.0,0.5416666666666666,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,9.226120196844564,1371601.7329106699,1179802.5064779876,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,0.0,0.5416666666666666,0.0251,29593870.884413417,19482747.458770912,Wh,19482747.458770912,Wh
2,b3b77a1afcd4e9f1d19f0d25ac98916f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {}, ""transformation_params"": {}}",0,1,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,-562.7226579994312,9.226120196844564,164592036.96473154,1371601.7329106699,1179802.5064779876,0.0,0.5416666666666666,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,198.89168415478116,1371604.9973949129,2787305.6937883194,102012.20725501762,1371604.9973949129,0.0,9.226120196844564,1371601.7329106699,1179802.5064779876,7284829.634307459,0.6833333333333333,2585084.608459226,465574.5000411402,9803778.738873217,6711347946492.238,9.625254041693799,164591474.24207354,22351016.45331056,1933983.2239195951,210067.56427325823,0.0,0.5416666666666666,0.0267,29593870.881203905,19482747.458770912,Wh,19482747.458770912,Wh
3,34ee38b5baed203a19e3522c1b667c89,ARDL,"{""lags"": 3, ""trend"": ""c"", ""order"": 0, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""ffill"", ""transformations"": {}, ""transformation_params"": {}}",0,1,171.08636430262393,7105.141696020456,8658.39811850949,113.37848231121755,7105.141696020456,0.0,-4.65313375529513,7.646261155943842,852612.3503886993,7105.132237053253,6110.611464742251,0.14166666666666666,0.55,14202.603243898695,0.16666666666666666,8009.448568582615,5953.555569395764,38912.67114540514,110494534.56999654,5.53652262774998,852607.6972549441,236872.5065451416,7041.018532202134,1088.1804362451846,171.08636430262393,7105.141696020456,8658.39811850949,113.37848231121755,7105.141696020456,0.0,7.646261155943842,7105.132237053253,6110.611464742251,14202.603243898695,0.16666666666666666,8009.448568582615,5953.555569395764,38912.67114540514,110494534.56999654,5.53652262774998,852607.6972549441,236872.5065451416,7041.018532202134,1088.1804362451846,0.14166666666666666,0.55,0.0259,135593.50617023977,100923.86772085642,Wh,100923.86772085642,Wh
4,ed1278eaa7a8cdd3ad39882afdabc293,ARDL,"{""lags"": 2, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,170.6382076225808,2865.3879158417385,3497.269074262031,40.05068886217588,2865.3879158417385,0.0,-4.519551753997803,6.874683675839043,343842.0303492546,2865.3789801112734,2463.7406340078755,0.14166666666666666,0.525,5532.8138880729675,0.16666666666666666,3234.9347149866994,2394.8658084401895,15764.97220483541,18194692.852755524,3.8108956269514387,343837.5107975006,94782.17115390269,2445.391239847444,438.8386988549592,170.6382076225808,2865.3879158417385,3497.269074262031,40.05068886217588,2865.3879158417385,0.0,6.874683675839043,2865.3789801112734,2463.7406340078755,5532.8138880729675,0.16666666666666666,3234.9347149866994,2394.8658084401895,15764.97220483541,18194692.852755524,3.8108956269514387,343837.5107975006,94782.17115390269,2445.391239847444,438.8386988549592,0.14166666666666666,0.525,0.0229,54758.11156223497,40700.95198091873,Wh,40700.95198091873,Wh
5,72b8c758d34b5b1ebfbcf57ed4490674,BasicLinearModel,"{""datepart_method"": [""dayofweek"", [365.25, 14]], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": true}","{""fillna"": ""piecewise_polynomial"", ""transformations"": {}, ""transformation_params"": {}}",0,1,196.6893622904276,1069.0307347337377,2509.0138945715,271.7859208373647,1069.0307347337377,0.0,-586.9383784600831,6.8543865117404605,127696.74978958846,1065.6482939124314,919.0688156647806,0.016666666666666666,0.5083333333333333,9323.135001822837,0.7416666666666667,2326.978435429522,210.18822308362292,4725.55317316201,5414860.46533966,5.306867773613324,127109.81141112838,44442.56348554951,12039.937612546384,162.2298396762483,196.6893622904276,1069.0307347337377,2509.0138945715,271.7859208373647,1069.0307347337377,0.0,6.8543865117404605,1065.6482939124314,919.0688156647806,9323.135001822837,0.7416666666666667,2326.978435429522,210.18822308362292,4725.55317316201,5414860.46533966,5.306867773613324,127109.81141112838,44442.56348554951,12039.937612546384,162.2298396762483,0.016666666666666666,0.5083333333333333,0.1482,24448.279478439083,15184.878933832746,Wh,15184.878933832746,Wh
6,b586e62c1f80c8d9edbfc6f38dfe9ce4,BasicLinearModel,"{""datepart_method"": ""common_fourier"", ""changepoint_spacing"": 41, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": null, ""holiday_countries_used"": false}","{""fillna"": ""median"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,190.79199242788349,1010.5735274642385,1539.8341026777423,79.98502994550573,1010.5735274642385,0.0,-241.15971722454893,6.467858290031741,121027.66357848406,1009.2123634452694,868.1636612942946,0.0,0.48333333333333334,3508.771280489429,0.35,1397.2714640891738,630.1013970206579,3021.035613418439,2039541.4887805842,2.890170901371788,120786.50386125952,60546.352528383984,4960.042694137391,154.15942277726592,190.79199242788349,1010.5735274642385,1539.8341026777423,79.98502994550573,1010.5735274642385,0.0,6.467858290031741,1009.2123634452694,868.1636612942946,3508.771280489429,0.35,1397.2714640891738,630.1013970206579,3021.035613418439,2039541.4887805842,2.890170901371788,120786.50386125952,60546.352528383984,4960.042694137391,154.15942277726592,0.0,0.48333333333333334,0.0169,20536.683364281336,14354.53272735216,Wh,14354.53272735216,Wh
7,dc0fb4340d5d2e37e843e42dc5d75eaa,BasicLinearModel,"{""datepart_method"": ""common_fourier"", ""changepoint_spacing"": 5040, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": null, ""holiday_countries_used"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,190.79199242788349,1010.5735274642385,1539.8341026777423,79.98502994550573,1010.5735274642385,0.0,-241.15971722454893,6.467858290031741,121027.66357848406,1009.2123634452694,868.1636612942946,0.0,0.48333333333333334,3508.771280489429,0.35,1397.2714640891738,630.1013970206579,3021.035613418439,2039541.4887805842,2.890170901371788,120786.50386125952,60546.352528383984,4960.042694137391,154.15942277726592,190.79199242788349,1010.5735274642385,1539.8341026777423,79.98502994550573,1010.5735274642385,0.0,6.467858290031741,1009.2123634452694,868.1636612942946,3508.771280489429,0.35,1397.2714640891738,630.1013970206579,3021.035613418439,2039541.4887805842,2.890170901371788,120786.50386125952,60546.352528383984,4960.042694137391,154.15942277726592,0.0,0.48333333333333334,0.0154,20536.683364281336,14354.53272735216,Wh,14354.53272735216,Wh
8,fb7c252eb5ccc74c90d18f9d34317732,NVAR,"{""k"": 3, ""ridge_param"": 0.0002, ""warmup_pts"": 250, ""seed_pts"": 1, ""seed_weighted"": ""exponential"", ""batch_size"": 5, ""batch_method"": ""std_sorted""}","{""fillna"": ""median"", ""transformations"": {""0"": ""default"", ""1"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,165.62300974192834,129.35782032524168,652.0763202577319,101.80591955106084,129.35782032524168,0.0,-20.554186381567067,4.315331120035443,15502.38425264743,129.25415769330846,168.26441095365604,0.06666666666666667,0.5,7099.25104038344,0.06666666666666667,604.7071600938563,69.99915965906966,355.8752016933497,367137.47603355744,5.469154454329833,15481.830066265862,9156.985772619037,11374.04097218452,19.75940945598273,165.62300974192834,129.35782032524168,652.0763202577319,101.80591955106084,129.35782032524168,0.0,4.315331120035443,129.25415769330846,168.26441095365604,7099.25104038344,0.06666666666666667,604.7071600938563,69.99915965906966,355.8752016933497,367137.47603355744,5.469154454329833,15481.830066265862,9156.985772619037,11374.04097218452,19.75940945598273,0.06666666666666667,0.5,0.0132,4911.135047962235,1837.4428133467327,Wh,1837.4428133467327,Wh
9,0588dd0ca5b87d7f95749fccf4bca5a9,FBProphet,"{""holiday"": true, ""regression_type"": null, ""growth"": ""linear"", ""seasonality_mode"": ""multiplicative"", ""changepoint_prior_scale"": 1, ""n_changepoints"": 25, ""changepoint_range"": 0.8, ""changepoint_spacing"": 180, ""changepoint_distance_end"": 60, ""seasonality_prior_scale"": 10.0, ""yearly_seasonality_prior_scale"": 20, ""yearly_seasonality_order"": 12, ""weekly_seasonality_prior_scale"": null, ""holidays_prior_scale"": 10.0, ""trend_phi"": 0.8}","{""fillna"": ""mean"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,182.196616986318,177.010917000399,248.10233804756336,18.454511324963587,177.010917000399,0.0,-210.19677886061507,5.448519147939351,21031.113261187264,175.8067446071593,159.76815236289863,0.0,0.43333333333333335,564.6287814837423,0.275,226.20260818493927,122.7940231847219,557.8880140586512,53186.3874303215,1.7340229608379996,20820.916482326647,10561.343944174474,1123.0777882208074,26.57366811689476,182.196616986318,177.010917000399,248.10233804756336,18.454511324963587,177.010917000399,0.0,5.448519147939351,175.8067446071593,159.76815236289863,564.6287814837423,0.275,226.20260818493927,122.7940231847219,557.8880140586512,53186.3874303215,1.7340229608379996,20820.916482326647,10561.343944174474,1123.0777882208074,26.57366811689476,0.0,0.43333333333333335,0.9429,3726.9126964066845,2514.323730165948,Wh,2514.323730165948,Wh
