,Wh
2025-12-11,5.853099728553158
2025-12-12,5.846814641272985
2025-12-13,5.840531529684977
2025-12-14,5.8342503919118025
2025-12-15,5.827971226077953
2025-12-16,5.821694030309671
2025-12-17,5.815418802734982
2025-12-18,5.809650523286347
2025-12-19,5.806183133011716
2025-12-20,5.802717705325451
2025-12-21,5.799254238362698
2025-12-22,5.795792730260365
2025-12-23,5.792333179157129
2025-12-24,5.788875583193448
2025-12-25,6.156396788599814
2025-12-26,6.152943097343648
2025-12-27,6.149491355658981
2025-12-28,6.146041561693316
2025-12-29,6.14259371359592
2025-12-30,6.139147809517824
2025-12-31,6.135703847611806
2026-01-01,5.5987694174835845
2026-01-02,5.592525427865473
2026-01-03,5.586283374888307
2026-01-04,5.5800432567119005
2026-01-05,5.573805071497787
2026-01-06,5.567568817409246
2026-01-07,5.5613344926113335
2026-01-08,5.555102095270817
2026-01-09,5.548871623556205
2026-01-10,5.542643075637782
2026-01-11,5.536416449687536
2026-01-12,5.530191743879193
2026-01-13,5.523968956388245
2026-01-14,5.517748085391878
2026-01-15,5.511529129069048
2026-01-16,5.505312085600415
2026-01-17,5.4990969531683636
2026-01-18,5.492883729957038
2026-01-19,5.486672414152277
2026-01-20,5.4804630039416455
2026-01-21,5.4742554975144575
2026-01-22,5.468049893061718
2026-01-23,5.46184618877615
2026-01-24,5.455644382852229
2026-01-25,5.4494444734861105
2026-01-26,5.443246458875665
2026-01-27,5.437050337220509
2026-01-28,5.430856106721936
2026-01-29,5.424663765582948
2026-01-30,5.418473312008288
2026-01-31,5.412284744204364
2026-02-01,5.406098060379325
2026-02-02,5.3999132587429965
2026-02-03,5.393730337506904
2026-02-04,5.3875492948843
2026-02-05,5.38137012909011
2026-02-06,5.375192838340949
2026-02-07,5.369017420855162
2026-02-08,5.362843874852754
2026-02-09,5.356672198555422
2026-02-10,5.350502390186586
2026-02-11,5.344334447971319
2026-02-12,5.338168370136382
2026-02-13,5.332004154910253
2026-02-14,5.32584180052305
2026-02-15,5.319681305206617
2026-02-16,5.313522667194446
2026-02-17,5.307365884721705
2026-02-18,5.301210956025274
2026-02-19,5.295057879343674
2026-02-20,5.2889066529171025
2026-02-21,5.282757274987457
2026-02-22,5.276609743798277
2026-02-23,5.27046405759477
2026-02-24,5.264320214623844
2026-02-25,5.258178213134039
2026-02-26,5.252038051375559
2026-02-27,5.245899727600304
2026-02-28,5.239763240061803
2026-03-01,5.233628587015245
2026-03-02,5.2274957667175075
2026-03-03,5.221364777427082
2026-03-04,5.215235617404157
2026-03-05,5.209108284910544
2026-03-06,5.202982778209705
2026-03-07,5.196859095566783
2026-03-08,5.190737235248539
2026-03-09,5.184617195523383
2026-03-10,5.178498974661396
