,Wh
2026-01-10,5.4011101722717285
2026-01-11,5.042296877625459
2026-01-12,4.992862012178643
2026-01-13,5.012643734108272
2026-01-14,4.986882916948916
2026-01-15,5.005948027971746
2026-01-16,5.017971304624903
2026-01-17,5.029729110353436
2026-01-18,4.9778099698564
2026-01-19,4.903089345783712
2026-01-20,5.009928699776703
2026-01-21,5.030594063815558
2026-01-22,4.956784159797356
2026-01-23,4.95384304872443
2026-01-24,4.977773208286756
2026-01-25,4.915900339713595
2026-01-26,4.8749885341156105
2026-01-27,4.905689300842782
2026-01-28,4.87802943604699
2026-01-29,4.874875788482301
2026-01-30,4.89269845603182
2026-01-31,4.932270831242496
2026-02-01,4.905634258040792
2026-02-02,4.865345924869435
2026-02-03,4.897009220250424
2026-02-04,4.870860131192023
2026-02-05,4.86922066807224
2026-02-06,4.886180008931857
2026-02-07,4.901983669392038
2026-02-08,4.849230449369187
2026-02-09,4.807661641322224
2026-02-10,4.837935108261195
2026-02-11,4.810385291442779
2026-02-12,4.807296361476196
2026-02-13,4.825391969526079
2026-02-14,4.852703693970584
2026-02-15,4.79111063661329
2026-02-16,4.715868770584374
2026-02-17,4.8288636528759055
2026-02-18,4.905167318522606
2026-02-19,4.764741885973152
2026-02-20,4.770712235212079
2026-02-21,4.802173299058522
2026-02-22,4.7331761956277
2026-02-23,4.693050395419185
2026-02-24,4.724249920838451
2026-02-25,4.697201937101372
2026-02-26,4.694556198528236
2026-02-27,4.712880701343081
2026-02-28,4.758047434694973
2026-03-01,4.678866266893138
2026-03-02,4.637894571150785
2026-03-03,4.668695587552776
2026-03-04,4.6417732353863475
2026-03-05,4.639307875386081
2026-03-06,4.657779172561374
2026-03-07,4.7111054670235415
2026-03-08,4.624032259409946
2026-03-09,4.583189994758011
2026-03-10,4.614089221811982
