rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,09c505905a389096ac0bd298293428ae,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": 30, ""macd_periods"": 28, ""std_rolling_periods"": null, ""max_rolling_periods"": 364, ""min_rolling_periods"": 2, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": [168, ""hour""], ""polynomial_degree"": null, ""regression_type"": null, ""window"": 7, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": true, ""frac_slice"": 0.1, ""discard_data"": null, ""transformation_dict"": {""fillna"": ""linear"", ""transformations"": {""0"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""rows"": 7, ""lag"": 2, ""method"": ""additive"", ""strength"": 0.2, ""first_value_only"": false, ""threshold"": 3, ""threshold_method"": ""mean"", ""mean_type"": ""geometric""}}}, ""synthetic_boundary_ratio"": 0.0, ""rolling_skew_periods"": null, ""diff_periods"": null, ""rolling_range_periods"": 14}","{""fillna"": ""zero"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default"", ""4"": ""default"", ""5"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {}, ""5"": {}}}",0,1,190.63996966116477,1.5955288142993854e+19,8.922387425907538e+19,1.0794902281956884e+19,1.5955288142993854e+19,0.0,-158.4709901167289,19.565329032992835,1.435975932869447e+21,1.5955288142993854e+19,1.7791583808405176e+19,0.044444444444444446,0.4444444444444444,7.405769511738324e+20,0.5111111111111111,1.021600165933991e+20,737140068028275.6,1.558161142043696e+20,1.6433694567221918e+41,42.90315440686667,1.435975932869447e+21,4.05856639141954e+19,2.093127506871197e+19,2.6447100172649805e+18,190.63996966116477,1.5955288142993854e+19,8.922387425907538e+19,1.0794902281956884e+19,1.5955288142993854e+19,0.0,19.565329032992835,1.5955288142993854e+19,1.7791583808405176e+19,7.405769511738324e+20,0.5111111111111111,1.021600165933991e+20,737140068028275.6,1.558161142043696e+20,1.6433694567221918e+41,42.90315440686667,1.435975932869447e+21,4.05856639141954e+19,2.093127506871197e+19,2.6447100172649805e+18,0.044444444444444446,0.4444444444444444,1.1663,6.197081986947356e+20,2.3117153730279408e+20,Wh,2.3117153730279408e+20,Wh
1,a47231f169efd59b6c6bfc820026306b,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 10, ""max_rolling_periods"": 28, ""min_rolling_periods"": 94, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": 10, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": true, ""frac_slice"": null, ""discard_data"": null, ""transformation_dict"": null, ""synthetic_boundary_ratio"": 0.02, ""rolling_skew_periods"": null, ""diff_periods"": 1, ""rolling_range_periods"": null}","{""fillna"": ""akima"", ""transformations"": {""0"": ""default""}, ""transformation_params"": {""0"": {}}}",0,1,193.89818187568693,17863677.405667238,38826883.71359755,25377740.181434296,17863677.405667238,0.0,-344.45476961135864,9.652308828352057,1607730622.0552819,17863674.81285678,19919609.996433944,0.022222222222222223,0.5222222222222223,157188568.62579745,0.6444444444444445,34042935.482214905,4361862.018619501,122516098.47234203,3799823377131704.5,17.247016982941062,1607730277.6005123,422207031.93280345,514598688.27817196,2961038.7422954496,193.89818187568693,17863677.405667238,38826883.71359755,25377740.181434296,17863677.405667238,0.0,9.652308828352057,17863674.81285678,19919609.996433944,157188568.62579745,0.6444444444444445,34042935.482214905,4361862.018619501,122516098.47234203,3799823377131704.5,17.247016982941062,1607730277.6005123,422207031.93280345,514598688.27817196,2961038.7422954496,0.022222222222222223,0.5222222222222223,0.8712,473530983.71629345,258821635.23086393,Wh,258821635.23086393,Wh
2,b3b77a1afcd4e9f1d19f0d25ac98916f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {}, ""transformation_params"": {}}",0,1,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,-0.10070190811529756,10.936078046555812,51960576.84533868,577339.7437920751,757393.9842005973,0.011111111111111112,0.5222222222222223,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,10.936078046555812,577339.7437920751,757393.9842005973,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,0.011111111111111112,0.5222222222222223,0.0568,15128932.29731544,8364907.918584448,Wh,8364907.918584448,Wh
3,55ddb929444af33008fce56a8d4a0773,TVVAR,"{""datepart_method"": [""weekdaymonthofyear"", ""quarter"", ""dayofweek""], ""changepoint_spacing"": 28, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lags"": [1], ""rolling_means"": [7], ""lambda_"": 0.0001, ""trend_phi"": null, ""var_dampening"": null, ""phi"": 0.995, ""max_cycles"": 2000, ""apply_pca"": true, ""pca_n_components"": 0.95, ""base_scaled"": false, ""x_scaled"": false, ""var_preprocessing"": false, ""var_postprocessing"": false, ""threshold_value"": null, ""mode"": ""additive"", ""holiday_countries_used"": false}","{""fillna"": ""akima"", ""transformations"": {""0"": ""default"", ""1"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,161.4180259792334,64698.849424399064,169576.54986254373,12038.447149297364,64698.849424399064,0.0,0.0,6.866356050299166,5822896.448195916,64698.849424399064,7.9143932348235255,0.0,0.4888888888888889,825879.7416281417,0.3,181571.1232312031,9001.555600805928,560392.3663286463,229111622522.5731,7.183376021413162,5822896.448195916,598410.3220899889,84855.59505475772,10724.32497894831,161.4180259792334,64698.849424399064,169576.54986254373,12038.447149297364,64698.849424399064,0.0,6.866356050299166,64698.849424399064,7.9143932348235255,825879.7416281417,0.3,181571.1232312031,9001.555600805928,560392.3663286463,229111622522.5731,7.183376021413162,5822896.448195916,598410.3220899889,84855.59505475772,10724.32497894831,0.0,0.4888888888888889,1.1325,942522.6838646284,937402.8440675895,Wh,937402.8440675895,Wh
4,f31e8edae71a44521ae55639e5fa29e9,ARDL,"{""lags"": 4, ""trend"": ""c"", ""order"": 0, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""median"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,158.93575463567842,11821.196037218415,13316.827453113687,242.90477344018993,11821.196037218415,0.0,-0.7842783367814263,7.643738785399971,1063906.8590713206,11821.195269200554,15506.709615554488,0.2,0.5,15122.84378306937,0.37777777777777777,12491.700665028111,11213.145991071178,55118.61237446189,296795199.56071,5.77022311085753,1063906.0747929837,553606.7891741213,16958.731370641897,1959.4500081986273,158.93575463567842,11821.196037218415,13316.827453113687,242.90477344018993,11821.196037218415,0.0,7.643738785399971,11821.195269200554,15506.709615554488,15122.84378306937,0.37777777777777777,12491.700665028111,11213.145991071178,55118.61237446189,296795199.56071,5.77022311085753,1063906.0747929837,553606.7891741213,16958.731370641897,1959.4500081986273,0.2,0.5,0.028,296135.517648723,171273.87711148596,Wh,171273.87711148596,Wh
5,3b237e88a01536af2eabf093978883c4,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 0, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""akima"", ""transformations"": {""0"": ""default""}, ""transformation_params"": {""0"": {}}}",0,1,159.0084084689914,10898.139501226486,12270.250969607258,202.26331181553746,10898.139501226486,0.0,-0.3968588500556507,7.58294512074578,980832.1582515339,10898.139241112112,14295.77078953989,0.2,0.4666666666666667,13829.329682756887,0.36666666666666664,11550.834142436306,10358.292096610578,50555.974756339165,251158852.92831352,5.677558409108676,980831.7613926837,514219.9670548633,14283.350475904259,1806.4478138038007,159.0084084689914,10898.139501226486,12270.250969607258,202.26331181553746,10898.139501226486,0.0,7.58294512074578,10898.139241112112,14295.77078953989,13829.329682756887,0.36666666666666664,11550.834142436306,10358.292096610578,50555.974756339165,251158852.92831352,5.677558409108676,980831.7613926837,514219.9670548633,14283.350475904259,1806.4478138038007,0.2,0.4666666666666667,0.0233,273014.3372251778,157899.97896998824,Wh,157899.97896998824,Wh
6,34ee38b5baed203a19e3522c1b667c89,ARDL,"{""lags"": 3, ""trend"": ""c"", ""order"": 0, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""ffill"", ""transformations"": {}, ""transformation_params"": {}}",0,1,158.99566875279942,10787.102031151686,12145.75536318897,226.90932240511518,10787.102031151686,0.0,-0.3695432891472592,7.574201496299825,970838.8132603625,10787.101768163062,14150.106202219771,0.2,0.5333333333333333,14544.695992087458,0.36666666666666664,11441.530998703684,10237.054082822882,49996.59571291355,245936060.88537648,5.7153476371723935,970838.4437170734,509640.5664740943,15966.974695681687,1788.0426116291478,158.99566875279942,10787.102031151686,12145.75536318897,226.90932240511518,10787.102031151686,0.0,7.574201496299825,10787.101768163062,14150.106202219771,14544.695992087458,0.36666666666666664,11441.530998703684,10237.054082822882,49996.59571291355,245936060.88537648,5.7153476371723935,970838.4437170734,509640.5664740943,15966.974695681687,1788.0426116291478,0.2,0.5333333333333333,0.0247,270241.6662790773,156291.1893056865,Wh,156291.1893056865,Wh
7,72b8c758d34b5b1ebfbcf57ed4490674,BasicLinearModel,"{""datepart_method"": [""dayofweek"", [365.25, 14]], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": true}","{""fillna"": ""piecewise_polynomial"", ""transformations"": {}, ""transformation_params"": {}}",0,1,192.93515119108116,3562.284322788194,5356.208341932478,575.3329357722229,3562.284322788194,0.0,-155.27798080444336,7.186202492916957,320450.311070133,3561.118896024349,4671.905627894091,0.011111111111111112,0.4888888888888889,11854.82503785071,0.4111111111111111,5019.259325488323,2255.7522861127222,12192.077776598646,37636232.85611454,4.722610947069926,320295.03308932856,222354.83802210144,23790.721731550806,589.9036767272752,192.93515119108116,3562.284322788194,5356.208341932478,575.3329357722229,3562.284322788194,0.0,7.186202492916957,3561.118896024349,4671.905627894091,11854.82503785071,0.4111111111111111,5019.259325488323,2255.7522861127222,12192.077776598646,37636232.85611454,4.722610947069926,320295.03308932856,222354.83802210144,23790.721731550806,589.9036767272752,0.011111111111111112,0.4888888888888889,0.2692,94602.04789530426,51612.90324739118,Wh,51612.90324739118,Wh
8,1cfd89d4cacb080f3cc56ca2443eb0eb,NVAR,"{""k"": 3, ""ridge_param"": 0.002, ""warmup_pts"": 250, ""seed_pts"": 10, ""seed_weighted"": ""linear"", ""batch_size"": 10, ""batch_method"": ""std_sorted""}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,178.6726187928916,652.0801562724984,2034.9625245824602,817.0942977993108,652.0801562724984,0.0,-6.056069836283694,5.46999613929027,58681.15799468857,652.0565893523518,283.80467633590416,0.07777777777777778,0.5,14316.517307174814,0.3,2324.259633389993,263.96933058806525,1706.6008872298307,5458112.486675402,7.133388948360599,58675.101924852286,52341.08914589846,60701.88524901435,108.06492384215242,178.6726187928916,652.0801562724984,2034.9625245824602,817.0942977993108,652.0801562724984,0.0,5.46999613929027,652.0565893523518,283.80467633590416,14316.517307174814,0.3,2324.259633389993,263.96933058806525,1706.6008872298307,5458112.486675402,7.133388948360599,58675.101924852286,52341.08914589846,60701.88524901435,108.06492384215242,0.07777777777777778,0.5,0.0143,14545.966752163687,9447.800053448254,Wh,9447.800053448254,Wh
9,628a176681f78eef94f8fb0a0560a542,NVAR,"{""k"": 5, ""ridge_param"": 2e-06, ""warmup_pts"": 250, ""seed_pts"": 10, ""seed_weighted"": null, ""batch_size"": 5, ""batch_method"": ""input_order""}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,149.97541503407427,367.23130851850334,1939.0679616846016,531.2447781784618,367.23130851850334,0.0,-0.17607392358923946,4.36257089039855,33050.64169274171,367.23115416054895,435.9747843225807,0.0,0.5222222222222223,18306.87933969608,0.28888888888888886,2217.2584367818636,155.84000126238948,1170.9615664560733,4946429.802163168,6.7022257718277825,33050.46561881812,24862.246642387752,34745.6214511507,60.870725961747,149.97541503407427,367.23130851850334,1939.0679616846016,531.2447781784618,367.23130851850334,0.0,4.36257089039855,367.23115416054895,435.9747843225807,18306.87933969608,0.28888888888888886,2217.2584367818636,155.84000126238948,1170.9615664560733,4946429.802163168,6.7022257718277825,33050.46561881812,24862.246642387752,34745.6214511507,60.870725961747,0.0,0.5222222222222223,0.0209,14427.876545423103,5320.707803902415,Wh,5320.707803902415,Wh
