,Wh
2026-01-10,5.4011101722717285
2026-01-11,5.348407595031058
2026-01-12,5.327216672116488
2026-01-13,5.332374750461823
2026-01-14,5.324708441100812
2026-01-15,5.304169063121861
2026-01-16,5.323048026959124
2026-01-17,5.290888336149989
2026-01-18,5.228351833966577
2026-01-19,5.270543699696909
2026-01-20,5.272928721929556
2026-01-21,5.24422740754097
2026-01-22,5.229998666178034
2026-01-23,5.222217237991767
2026-01-24,5.213386577039463
2026-01-25,5.176241203577592
2026-01-26,5.177145643829965
2026-01-27,5.186379835536216
2026-01-28,5.159392581401539
2026-01-29,5.119192347006574
2026-01-30,5.157103809958399
2026-01-31,5.162198157911666
2026-02-01,5.031769418219989
2026-02-02,5.042292957703208
2026-02-03,5.064160792205111
2026-02-04,5.067792540992856
2026-02-05,5.048522618031546
2026-02-06,5.076797695044836
2026-02-07,5.1000249480259505
2026-02-08,5.029998717667798
2026-02-09,4.960830650585027
2026-02-10,4.985558707241558
2026-02-11,4.982311962803573
2026-02-12,4.983291970420227
2026-02-13,5.004133282306246
2026-02-14,5.036451658015817
2026-02-15,4.983481872790454
2026-02-16,4.910033091558823
2026-02-17,4.887267779918028
2026-02-18,4.88062134976909
2026-02-19,4.864626828099631
2026-02-20,4.960415384806748
2026-02-21,4.991062683550961
2026-02-22,4.925341772273323
2026-02-23,4.8385745529656905
2026-02-24,4.842314870269221
2026-02-25,4.8319317211853745
2026-02-26,4.792283573854792
2026-02-27,4.829541820570055
2026-02-28,4.901569229457959
2026-03-01,4.77936055209269
2026-03-02,4.776779235272014
2026-03-03,4.783093577530156
2026-03-04,4.772062865599114
2026-03-05,4.748801069749201
2026-03-06,4.733881788140724
2026-03-07,4.728535579809135
2026-03-08,4.6664231517400445
2026-03-09,4.654223321449561
2026-03-10,4.633808214820861
