rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,1145fe2cf04ed2b3600c099856ff9062,DatepartRegression,"{""regression_model"": {""model"": ""MLP"", ""model_params"": {""hidden_layer_sizes"": [2560], ""max_iter"": 500, ""activation"": ""relu"", ""solver"": ""sgd"", ""early_stopping"": true, ""learning_rate_init"": 0.001, ""alpha"": 0.0001}}, ""datepart_method"": ""expanded_binarized"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""linear"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,200.0,2.535891353192104e+18,2.535891353192104e+18,3.696401746230235e+16,2.535891353192104e+18,0.0,0.0,42.37707686774884,2.2823022178728935e+20,2.535891353192104e+18,2.82774733586613e+18,0.0,0.5444444444444444,2.535891353192104e+18,0.3,2.4301057862774927e+18,2.535891353192104e+18,9.957298095325893e+18,1.7739676580563526e+37,37.888440498016706,2.2823022178728935e+20,1.5136765150812812e+20,3.3267615716072115e+18,4.2034322441414445e+17,200.0,2.535891353192104e+18,2.535891353192104e+18,3.696401746230235e+16,2.535891353192104e+18,0.0,42.37707686774884,2.535891353192104e+18,2.82774733586613e+18,2.535891353192104e+18,0.3,2.4301057862774927e+18,2.535891353192104e+18,9.957298095325893e+18,1.7739676580563526e+37,37.888440498016706,2.2823022178728935e+20,1.5136765150812812e+20,3.3267615716072115e+18,4.2034322441414445e+17,0.0,0.5444444444444444,8.5844,5.7155644187639054e+19,3.674179352302702e+19,Wh,3.674179352302702e+19,Wh
1,aa711aa432e847ca8b36081bcc51eb63,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": 90, ""macd_periods"": null, ""std_rolling_periods"": 90, ""max_rolling_periods"": 28, ""min_rolling_periods"": 60, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": 14, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": null, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": true, ""frac_slice"": null, ""discard_data"": null, ""transformation_dict"": null, ""synthetic_boundary_ratio"": 0.0, ""rolling_skew_periods"": null, ""diff_periods"": 1, ""rolling_range_periods"": null}","{""fillna"": ""linear"", ""transformations"": {""0"": ""default"", ""1"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,167.30210315915195,1170643660926915.5,5474423093545960.0,600431674388415.2,1170643660926915.5,0.0,-42.76061854213356,16.933636140800587,1.0535792948342234e+17,1170643660926915.2,1305373153809514.5,0.13333333333333333,0.45555555555555555,4.1192207876675944e+16,0.43333333333333335,6251168961088592.0,1338923031179.8784,1.1258527969215168e+16,5.154281546012168e+32,32.82927483828724,1.053579294834223e+17,3927967698915845.5,1535733122128830.0,194043065155213.38,167.30210315915195,1170643660926915.5,5474423093545960.0,600431674388415.2,1170643660926915.5,0.0,16.933636140800587,1170643660926915.2,1305373153809514.5,4.1192207876675944e+16,0.43333333333333335,6251168961088592.0,1338923031179.8784,1.1258527969215168e+16,5.154281546012168e+32,32.82927483828724,1.053579294834223e+17,3927967698915845.5,1535733122128830.0,194043065155213.38,0.13333333333333333,0.45555555555555555,0.7092,4.173797820850323e+16,1.6961116108020772e+16,Wh,1.6961116108020772e+16,Wh
2,57a4203400c1053d595a5374eac30ff8,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}}","{""fillna"": ""linear"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default"", ""4"": ""default"", ""5"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {}, ""5"": {}}}",0,2,100.21733892366325,69280938.29292782,330998332.4489309,74668802.64895007,69280938.29292782,0.0,-331.88893377875894,4.88970019904736,12470568560.838074,69280936.9959923,55462450.62258673,0.4166666666666667,0.5277777777777778,4664536614.0568905,0.37777777777777777,171368606.56035292,78743.77901108922,636526445.7220842,2.0381906612247373e+18,9.765638642541186,6235284114.474569,248345444.4414647,357311392.6835107,9581474.066802254,100.21733892366325,69280938.29292782,330998332.4489309,74668802.64895007,69280938.29292782,0.0,4.88970019904736,69280936.9959923,55462450.62258673,4664536614.0568905,0.37777777777777777,171368606.56035292,78743.77901108922,636526445.7220842,2.0381906612247373e+18,9.765638642541186,6235284114.474569,248345444.4414647,357311392.6835107,9581474.066802254,0.4166666666666667,0.5277777777777778,0.1739,2237843087.2751775,2007582788.320169,Wh,2007582788.320169,Wh
3,91b7a056ec84b77845b5307c04447bb5,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}}","{""fillna"": ""median"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,2,100.21733892366325,69280938.29292782,330998332.4489309,74668802.64895007,69280938.29292782,0.0,-331.88893377875894,4.88970019904736,12470568560.838074,69280936.9959923,55462450.62258673,0.4166666666666667,0.5277777777777778,4664536614.0568905,0.37777777777777777,171368606.56035292,78743.77901108922,636526445.7220842,2.0381906612247373e+18,9.765638642541186,6235284114.474569,248345444.4414647,357311392.6835107,9581474.066802254,100.21733892366325,69280938.29292782,330998332.4489309,74668802.64895007,69280938.29292782,0.0,4.88970019904736,69280936.9959923,55462450.62258673,4664536614.0568905,0.37777777777777777,171368606.56035292,78743.77901108922,636526445.7220842,2.0381906612247373e+18,9.765638642541186,6235284114.474569,248345444.4414647,357311392.6835107,9581474.066802254,0.4166666666666667,0.5277777777777778,0.15739999999999998,2237843087.2751746,2007582788.320169,Wh,2007582788.320169,Wh
4,5019fe63982b8552aac031d28b00658f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 2, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""default""}, ""transformation_params"": {""0"": {}}}",0,1,189.3446280377196,830817.0689882687,1246713.6386929804,47316.50133631938,830817.0689882687,0.0,0.0,11.110306926970152,74773536.20894419,830817.0689882687,1089923.747788669,0.011111111111111112,0.5,2446779.1508790436,0.3,1094583.2608346953,549884.313763773,5455191.921500646,2800585698768.1436,8.167350316997185,74773536.20894419,20710953.719737787,1188729.5952734326,137714.2302398876,189.3446280377196,830817.0689882687,1246713.6386929804,47316.50133631938,830817.0689882687,0.0,11.110306926970152,830817.0689882687,1089923.747788669,2446779.1508790436,0.3,1094583.2608346953,549884.313763773,5455191.921500646,2800585698768.1436,8.167350316997185,74773536.20894419,20710953.719737787,1188729.5952734326,137714.2302398876,0.011111111111111112,0.5,0.0306,21971841.57140448,12037467.285713412,Wh,12037467.285713412,Wh
5,b3b77a1afcd4e9f1d19f0d25ac98916f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {}, ""transformation_params"": {}}",0,1,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,-0.10070190811529756,10.936078046555812,51960576.84533868,577339.7437920751,757393.9842005973,0.011111111111111112,0.5222222222222223,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,10.936078046555812,577339.7437920751,757393.9842005973,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,0.011111111111111112,0.5222222222222223,0.0295,15219187.309875574,8364907.918584448,Wh,8364907.918584448,Wh
6,55ddb929444af33008fce56a8d4a0773,TVVAR,"{""datepart_method"": [""weekdaymonthofyear"", ""quarter"", ""dayofweek""], ""changepoint_spacing"": 28, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lags"": [1], ""rolling_means"": [7], ""lambda_"": 0.0001, ""trend_phi"": null, ""var_dampening"": null, ""phi"": 0.995, ""max_cycles"": 2000, ""apply_pca"": true, ""pca_n_components"": 0.95, ""base_scaled"": false, ""x_scaled"": false, ""var_preprocessing"": false, ""var_postprocessing"": false, ""threshold_value"": null, ""mode"": ""additive"", ""holiday_countries_used"": false}","{""fillna"": ""akima"", ""transformations"": {""0"": ""default"", ""1"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,161.4180259792334,64698.849424399064,169576.54986254373,12038.447149297364,64698.849424399064,0.0,0.0,6.866356050299166,5822896.448195916,64698.849424399064,7.9143932348235255,0.0,0.4888888888888889,825879.7416281417,0.3,181571.1232312031,9001.555600805928,560392.3663286463,229111622522.5731,7.183376021413162,5822896.448195916,598410.3220899889,84855.59505475772,10724.32497894831,161.4180259792334,64698.849424399064,169576.54986254373,12038.447149297364,64698.849424399064,0.0,6.866356050299166,64698.849424399064,7.9143932348235255,825879.7416281417,0.3,181571.1232312031,9001.555600805928,560392.3663286463,229111622522.5731,7.183376021413162,5822896.448195916,598410.3220899889,84855.59505475772,10724.32497894831,0.0,0.4888888888888889,1.1123,950887.4999715709,937402.8440675895,Wh,937402.8440675895,Wh
7,34ee38b5baed203a19e3522c1b667c89,ARDL,"{""lags"": 3, ""trend"": ""c"", ""order"": 0, ""causal"": false, ""regression_type"": ""simple_3""}","{""fillna"": ""ffill"", ""transformations"": {}, ""transformation_params"": {}}",0,1,158.99566875279942,10787.102031151686,12145.75536318897,226.90932240511518,10787.102031151686,0.0,-0.3695432891472592,7.574201496299825,970838.8132603625,10787.101768163062,14150.106202219771,0.2,0.5333333333333333,14544.695992087458,0.36666666666666664,11441.530998703684,10237.054082822882,49996.59571291355,245936060.88537648,5.7153476371723935,970838.4437170734,509640.5664740943,15966.974695681687,1788.0426116291478,158.99566875279942,10787.102031151686,12145.75536318897,226.90932240511518,10787.102031151686,0.0,7.574201496299825,10787.101768163062,14150.106202219771,14544.695992087458,0.36666666666666664,11441.530998703684,10237.054082822882,49996.59571291355,245936060.88537648,5.7153476371723935,970838.4437170734,509640.5664740943,15966.974695681687,1788.0426116291478,0.2,0.5333333333333333,0.0251,272559.30365549464,156291.1893056865,Wh,156291.1893056865,Wh
8,72b8c758d34b5b1ebfbcf57ed4490674,BasicLinearModel,"{""datepart_method"": [""dayofweek"", [365.25, 14]], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": true}","{""fillna"": ""piecewise_polynomial"", ""transformations"": {}, ""transformation_params"": {}}",0,1,192.86243523500613,3580.165960200659,5385.068479719544,578.9202959122822,3580.165960200659,0.0,-155.27798080444336,7.186229293408299,322059.65843725484,3579.000533436813,4695.258998613073,0.011111111111111112,0.4888888888888889,11919.007471785973,0.4111111111111111,5043.72019170523,2266.571784820884,12267.264788848332,38042905.43701321,4.7307055734081995,321904.3804564504,223259.2202897145,23912.13947996331,592.8676937457087,192.86243523500613,3580.165960200659,5385.068479719544,578.9202959122822,3580.165960200659,0.0,7.186229293408299,3579.000533436813,4695.258998613073,11919.007471785973,0.4111111111111111,5043.72019170523,2266.571784820884,12267.264788848332,38042905.43701321,4.7307055734081995,321904.3804564504,223259.2202897145,23912.13947996331,592.8676937457087,0.011111111111111112,0.4888888888888889,0.1512,96071.70300766159,51871.98509994587,Wh,51871.98509994587,Wh
9,a46525bacbec1205afbd1ddd98017545,BasicLinearModel,"{""datepart_method"": ""common_fourier"", ""changepoint_spacing"": 5040, ""changepoint_distance_end"": 35, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": null, ""holiday_countries_used"": true}","{""fillna"": ""linear"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,187.41601805865665,2626.9485050451976,3666.1442752716507,282.55422214311983,2626.9485050451976,0.0,-67.6558403968811,6.941442000644977,236357.70961367092,2626.4368857835925,3444.3910910910827,0.011111111111111112,0.5111111111111111,7229.092179396927,0.28888888888888886,3434.286317165462,1844.8310916518296,10272.657711845615,24396278.651921473,3.2449932802441754,236290.05377327403,142329.51946938562,9708.423212425683,435.187427511763,187.41601805865665,2626.9485050451976,3666.1442752716507,282.55422214311983,2626.9485050451976,0.0,6.941442000644977,2626.4368857835925,3444.3910910910827,7229.092179396927,0.28888888888888886,3434.286317165462,1844.8310916518296,10272.657711845615,24396278.651921473,3.2449932802441754,236290.05377327403,142329.51946938562,9708.423212425683,435.187427511763,0.011111111111111112,0.5111111111111111,0.1271,69260.87496569504,38061.094157878724,Wh,38061.094157878724,Wh
