,Wh
2025-12-11,5.702183391148342
2025-12-12,5.65150280181949
2025-12-13,5.6381082212272196
2025-12-14,5.630924002121151
2025-12-15,5.624774181468984
2025-12-16,5.61879665033069
2025-12-17,5.612847815751715
2025-12-18,5.60690376087464
2025-12-19,5.600960502105208
2025-12-20,5.595017375935548
2025-12-21,5.58907427185172
2025-12-22,5.58313117144651
2025-12-23,5.577188071654012
2025-12-24,5.571244971963567
2025-12-25,5.565301872290119
2025-12-26,5.670479490911183
2025-12-27,5.811065619326172
2025-12-28,5.590386775097054
2025-12-29,5.548677267519363
2025-12-30,5.536776911234944
2025-12-31,5.529841570284722
2026-01-01,5.523733202804031
2026-01-02,5.628883294401963
2026-01-03,5.769464837913121
2026-01-04,5.548785230021944
2026-01-05,5.5070755952486214
2026-01-06,5.495175217778486
2026-01-07,5.488239873299568
2026-01-08,5.482131505231138
2026-01-09,5.4761608784394955
2026-01-10,5.470213193849215
2026-01-11,5.464269330514375
2026-01-12,5.458326103648238
2026-01-13,5.452382982792395
2026-01-14,5.446439879593637
2026-01-15,5.440496779335844
2026-01-16,5.4345536795679
2026-01-17,5.4286105798815445
2026-01-18,5.422667480208778
2026-01-19,5.416724380538275
2026-01-20,5.52190199915983
2026-01-21,5.662488127574901
2026-01-22,5.441809283345796
2026-01-23,5.400099775768107
2026-01-24,5.388199419483689
2026-01-25,5.381264078533467
2026-01-26,5.375155711052776
2026-01-27,5.369185084359028
2026-01-28,5.363237399785053
2026-01-29,5.357293536452929
2026-01-30,5.351350309587244
2026-01-31,5.345407188731476
2026-02-01,5.33946408553273
2026-02-02,5.33352098527494
2026-02-03,5.3275778855069955
2026-02-04,5.32163478582064
2026-02-05,5.315691686147874
2026-02-06,5.3097485864773715
2026-02-07,5.303805486807246
2026-02-08,5.297862387137183
2026-02-09,5.291919287467131
2026-02-10,5.28597618779708
2026-02-11,5.2800330881270305
2026-02-12,5.27408998845698
2026-02-13,5.26814688878693
2026-02-14,5.26220378911688
2026-02-15,5.25626068944683
2026-02-16,5.250317589776779
2026-02-17,5.355495208398409
2026-02-18,5.496081336813492
2026-02-19,5.275402492584389
2026-02-20,5.233692985006701
2026-02-21,5.221792628722282
2026-02-22,5.214857287772061
2026-02-23,5.20874892029137
2026-02-24,5.202778293597621
2026-02-25,5.196830609023646
2026-02-26,5.190886745691523
2026-02-27,5.184943518825838
2026-02-28,5.17900039797007
2026-03-01,5.173057294771324
2026-03-02,5.167114194513534
2026-03-03,5.1611710947455895
2026-03-04,5.155227995059234
2026-03-05,5.149284895386468
2026-03-06,5.1433417957159655
2026-03-07,5.13739869604584
2026-03-08,5.131455596375777
2026-03-09,5.125512496705725
2026-03-10,5.119569397035674
