,Wh
2026-01-30,4.727489948272705
2026-01-31,4.6187007695313556
2026-02-01,4.863954125667244
2026-02-02,5.356225988002251
2026-02-03,5.35192874980668
2026-02-04,4.894931324173533
2026-02-05,5.196111970139343
2026-02-06,4.6574816791325615
2026-02-07,4.70847779224935
2026-02-08,4.5454730694643
2026-02-09,4.563499991551957
2026-02-10,4.845813079987542
2026-02-11,4.931642657194968
2026-02-12,4.592388365618224
2026-02-13,4.621206405407614
2026-02-14,4.613294121986909
2026-02-15,4.683006493578377
2026-02-16,4.799612429305101
2026-02-17,4.553264666941804
2026-02-18,4.673381790794579
2026-02-19,4.677344968603043
2026-02-20,5.159386728029096
2026-02-21,4.816901242919733
2026-02-22,4.321868234741792
2026-02-23,4.28914498804375
2026-02-24,4.14957832584915
2026-02-25,4.343916701580798
2026-02-26,4.563637675036321
2026-02-27,4.728238162041111
2026-02-28,4.512956764127453
