date,G(h)_Whm2,G(h)_kWhm2,G(h)_mean,G(h)_min,G(h)_max,G(h)_std_Wm2,G(h)_p10_Wm2,G(h)_p90_Wm2,Gb(n)_Whm2,Gb(n)_kWhm2,Gb(n)_mean,Gb(n)_min,Gb(n)_max,Gb(n)_std_Wm2,Gb(n)_p10_Wm2,Gb(n)_p90_Wm2,Gd(h)_Whm2,Gd(h)_kWhm2,Gd(h)_mean,Gd(h)_min,Gd(h)_max,Gd(h)_std_Wm2,Gd(h)_p10_Wm2,Gd(h)_p90_Wm2,IR(h)_Whm2,IR(h)_kWhm2,IR(h)_mean,IR(h)_min,IR(h)_max,IR(h)_std_Wm2,IR(h)_p10_Wm2,IR(h)_p90_Wm2,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,RH_mean,RH_min,RH_max,RH_std,RH_p10,RH_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,SP_mean,WD10m_circmean,WD10m_circstd_deg,WD10m_mode_sector,n_obs_G(h),valid_frac_G(h),n_obs_T2m,valid_frac_T2m,n_obs_RH,valid_frac_RH,n_obs_WS10m,valid_frac_WS10m,n_obs_WD10m,valid_frac_WD10m,n_obs_SP,valid_frac_SP
2005-01-01,3696.3,3.6963000000000004,231.01875,0.0,607.8,246.09324850213451,0.0,566.35,5318.63,5.31863,332.414375,-0.0,752.78,327.52728038986817,0.0,712.12,925.85,0.9258500000000001,57.865625,0.0,137.15,56.95337191876058,0.0,127.72500000000001,5247.57,5.24757,327.973125,317.95,338.99,7.767572524068676,318.15,336.89,16.706875,13.6,19.32,1.8397380927729916,14.285,18.865000000000002,75.195,63.43,86.4,7.538319883546113,65.69,83.475,1.425625,1.97,0.3383286124465384,1.03,1.8399999999999999,95625.0,359.2890395785245,32.717574525366686,NE,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0
2005-01-02,3457.4500000000003,3.45745,144.06041666666667,0.0,579.2,214.81680313354096,0.0,529.925,4554.7,4.5546999999999995,189.77916666666667,-0.0,757.37,276.7853579615151,0.0,627.847,1068.35,1.06835,44.51458333333333,0.0,163.15,60.84120364266642,0.0,145.015,8106.45,8.10645,337.76875,312.95,373.1,15.18041367154168,320.81,354.69,16.40375,11.39,20.87,3.4398670506411957,12.033,20.465,78.55416666666666,61.5,95.9,12.02494614167335,62.17,92.6,1.0254166666666666,1.52,0.43662718319116295,0.41,1.52,95625.83333333333,24.20449861121,76.67832535448376,E,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-03,3171.7000000000003,3.1717000000000004,132.15416666666667,0.0,533.75,193.55537625583077,0.0,456.42499999999995,3617.16,3.6171599999999997,150.715,-0.0,587.85,220.10250169449213,0.0,489.799,1254.85,1.2548499999999998,52.28541666666666,0.0,194.2,71.65620437830765,0.0,168.94,8603.05,8.60305,358.4604166666666,330.95,376.2,11.294149882039429,344.22499999999997,369.73499999999996,17.694583333333334,14.02,21.19,2.0480191472582066,15.379,20.514,80.22708333333334,68.5,89.7,6.157939010928806,71.475,86.65,0.8341666666666666,1.93,0.534935320484121,0.16100000000000003,1.6809999999999998,95585.41666666667,285.85004390163806,92.35339099235986,W,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-04,1900.3500000000001,1.9003500000000002,79.18125,0.0,408.6,123.77318299536596,0.0,249.07999999999993,1541.85,1.54185,64.24374999999999,-0.0,403.26,112.29442615818316,0.0,220.91799999999995,1093.55,1.09355,45.56458333333333,0.0,179.85,65.0064202166529,0.0,152.43499999999997,8904.6,8.9046,371.02500000000003,343.5,388.8,13.190057190765028,355.82,386.54499999999996,16.96125,15.95,18.78,0.9046993855756001,16.046,18.32,88.32916666666667,80.75,99.4,5.954025249078699,83.565,96.05,0.73625,2.07,0.5996289613622309,0.16100000000000003,1.66,95461.66666666667,313.1870808555527,45.76937852992955,NW,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-05,2167.95,2.16795,90.33125,0.0,404.0,133.88711729150953,0.0,303.075,1952.08,1.95208,81.33666666666666,-0.0,406.86,126.85682633743365,0.0,300.98499999999996,1075.2,1.0752000000000002,44.800000000000004,0.0,161.95,61.26089432838083,0.0,135.695,8911.3,8.911299999999999,371.3041666666666,353.4,381.85,6.408230384955499,364.4,376.8,17.282083333333333,15.53,19.37,1.1916848838173784,15.896,19.006999999999998,87.15833333333335,80.9,96.0,4.493852483663382,81.05,92.8,1.1779166666666667,2.21,0.6324485142589914,0.34,2.1679999999999997,95331.25,356.04998961540434,18.874122277090265,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-06,1201.8,1.2018,50.074999999999996,0.0,229.25,74.52336225465898,0.0,165.93499999999997,771.03,0.77103,32.12625,-0.0,200.12,53.720195928007165,0.0,97.389,822.65,0.82265,34.27708333333333,0.0,167.65,50.51157417766543,0.0,111.56499999999998,9216.75,9.21675,384.03125,362.85,394.8,7.721382120308918,374.345,392.12,17.020416666666666,15.83,18.16,0.7107526883930667,16.292,18.011,93.125,89.65,99.4,3.1218723478902417,89.65,96.05,1.0195833333333333,1.38,0.18402455333972162,0.781,1.268,95287.08333333333,355.1010626407234,19.322807834151433,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-07,2107.9,2.1079,87.82916666666667,0.0,425.5,140.59489748662773,0.0,328.16999999999996,1989.81,1.9898099999999999,82.90875,-0.0,410.82,131.751087655357,0.0,302.63399999999996,980.25,0.98025,40.84375,0.0,166.6,59.015460967039594,0.0,143.45999999999998,9292.7,9.2927,387.1958333333334,377.0,396.55,4.838251495760834,381.43,393.33,18.283333333333335,16.3,21.76,1.643777903824432,16.46,20.304,91.65625,83.85,96.1,4.006606297321855,86.815,96.085,0.7679166666666667,1.38,0.36942939746336495,0.28,1.17,95223.75,12.663203863068532,44.01707001517617,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-08,1088.2,1.0882,45.34166666666667,0.0,263.9,76.58230535021536,0.0,165.83499999999995,592.27,0.59227,24.677916666666665,-0.0,241.51,60.17283786900983,0.0,110.68399999999997,802.15,0.80215,33.422916666666666,0.0,139.25,51.496454034037235,0.0,124.13999999999999,9382.95,9.382950000000001,390.95625,370.0,405.45,9.993620927328111,379.035,403.52,18.228333333333335,14.69,21.77,1.82482081709212,15.774,20.32,91.25,81.05,99.4,6.3104468249431305,83.815,96.1,0.8591666666666665,2.07,0.58873421084093,0.231,1.5969999999999998,95182.91666666667,348.5632650189405,37.984620438931714,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-09,586.65,0.58665,24.443749999999998,0.0,114.6,35.49131955263085,0.0,74.795,189.59000000000003,0.18959000000000004,7.899583333333335,-0.0,47.09,14.731139298650051,0.0,34.45299999999999,488.3,0.4883,20.345833333333335,0.0,86.1,28.786560559410002,0.0,62.085,8713.85,8.71385,363.07708333333335,354.35,377.95,6.90237796400421,355.62,372.78999999999996,12.089583333333332,10.52,13.93,0.9038780177736885,10.865,13.017,97.09375,92.65,99.4,1.9291422119462944,95.9,99.4,1.8825,2.34,0.3546492449682105,1.38,2.28,95653.33333333333,344.0273628037547,6.966982637339579,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-10,3202.25,3.20225,133.42708333333334,0.0,558.25,194.66151446257248,0.0,458.57,4004.4100000000003,4.00441,166.8504166666667,-0.0,613.84,229.96506641093134,0.0,515.427,1035.2,1.0352000000000001,43.13333333333333,0.0,155.0,58.27135299364641,0.0,135.22,7629.25,7.62925,317.8854166666667,274.6,353.55,25.122069282529903,284.265,351.46500000000003,11.7125,9.96,14.67,1.6903723541433622,10.106,14.344,81.10833333333333,62.65,99.4,12.652467250944863,67.18,95.9,1.7562499999999999,2.83,0.6593001065029358,1.0510000000000002,2.788,95890.41666666667,345.215902880972,8.842307545919647,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-11,2869.85,2.86985,119.57708333333333,0.0,438.25,168.67169872860342,0.0,416.645,3359.44,3.35944,139.97666666666666,-0.0,496.73,196.2484602136584,0.0,447.23499999999996,1177.9,1.1779000000000002,49.07916666666667,0.0,197.5,67.25306024500922,0.0,144.565,7130.95,7.1309499999999995,297.12291666666664,264.15,327.05,18.085118667295085,271.545,317.62,10.862916666666665,8.33,13.67,1.7703339875673838,8.966000000000001,13.512,73.62708333333333,64.75,79.9,5.442904818414418,65.41,79.82,1.7558333333333334,2.83,0.5275861080897368,1.0510000000000002,2.4379999999999997,95948.33333333333,355.51706602186914,16.237067717082954,N,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-12,4488.7,4.4887,187.02916666666667,0.0,700.0,268.65685844694104,0.0,642.85,6624.91,6.62491,276.03791666666666,-0.0,913.95,378.27606644261425,0.0,831.208,964.9,0.9649,40.204166666666666,0.0,121.3,51.37219455297199,0.0,116.83,6298.7,6.2987,262.4458333333333,248.1,275.75,8.039318009506232,253.18,274.33,9.25625,4.83,13.62,3.0000939296889557,5.836,13.343,70.47500000000001,60.05,79.3,6.892844430844651,60.095,76.77,2.0258333333333334,3.17,0.6424607358441831,1.3940000000000001,3.012,96025.83333333333,7.631355961824056,23.91652361535397,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-13,4387.63,4.38763,182.81791666666666,0.0,702.45,265.69006659409644,0.0,634.1500000000001,6342.66,6.3426599999999995,264.2775,-0.0,922.84,376.43610912656584,0.0,889.629,1020.58,1.02058,42.524166666666666,0.0,135.7,54.60422757296893,0.0,121.50999999999999,6639.1,6.6391,276.62916666666666,248.1,323.95,25.858632889763093,249.17000000000002,311.24,9.38625,3.19,14.63,4.28007498156587,3.459,14.443,71.35000000000001,50.0,88.7,13.395643354074686,52.585,85.435,1.4262499999999998,2.21,0.42297921112446923,0.851,1.839,96000.83333333333,19.883516097464906,44.6520023043397,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-14,4013.2,4.013199999999999,167.21666666666667,0.0,687.05,244.75700845615393,0.0,589.3,5417.05,5.417050000000001,225.71041666666667,-0.0,834.2,319.96883392359877,0.0,708.822,1087.1,1.0871,45.29583333333333,0.0,164.0,59.803660489731016,0.0,133.38,7426.45,7.42645,309.43541666666664,286.05,334.8,12.089048935572512,295.6,324.82500000000005,12.104583333333332,7.07,16.45,3.218209033617608,8.302,16.328,79.9375,62.65,92.6,9.742156823066303,65.11,89.385,1.2066666666666668,2.0,0.40138528240025967,0.781,1.818,95817.5,11.44286721108466,63.55223755274636,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-15,4242.85,4.242850000000001,176.7854166666667,0.0,703.65,259.30139358064065,0.0,618.865,5660.33,5.66033,235.84708333333333,-0.0,850.18,331.38396662271015,0.0,768.3149999999999,1107.4,1.1074000000000002,46.14166666666667,0.0,138.9,59.65353713530845,0.0,135.215,7690.85,7.69085,320.45208333333335,303.25,341.75,9.29987703479564,309.95500000000004,331.52,13.95125,8.91,19.49,3.986853736643885,9.099,19.236,85.40416666666665,63.5,99.4,12.016111617565691,66.455,95.935,1.2525,1.72,0.3317312951379671,0.872,1.702,95495.0,17.274063096576697,50.873917223707345,NE,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
