,Wh
2025-12-01,5.853740215301514
2025-12-02,5.294250011444092
2025-12-03,4.476530075073242
2025-12-04,6.093560218811035
2025-12-05,6.628880023956299
2025-12-06,6.489130020141602
2025-12-07,5.870639801025391
2025-12-08,5.84561014175415
2025-12-09,5.865690231323242
2025-12-10,5.1178998947143555
2025-12-11,6.177299976348877
2025-12-12,4.635049819946289
2025-12-13,4.499350070953369
2025-12-14,5.2505202293396
2025-12-15,5.144619941711426
2025-12-16,5.310070037841797
2025-12-17,4.313260078430176
2025-12-18,4.549890041351318
2025-12-19,5.481070041656494
2025-12-20,5.047269821166992
2025-12-21,5.115009784698486
2025-12-22,4.339739799499512
2025-12-23,4.59689998626709
2025-12-24,4.581180095672607
2025-12-25,4.545740127563477
2025-12-26,4.669429779052734
2025-12-27,4.936689853668213
2025-12-28,5.652699947357178
2025-12-29,5.768479824066162
2025-12-30,5.092979907989502
2025-12-31,4.579060077667236
2026-01-01,5.380620002746582
2026-01-02,4.6539201736450195
2026-01-03,5.7993998527526855
2026-01-04,5.006080150604248
2026-01-05,4.6061601638793945
2026-01-06,4.842380046844482
2026-01-07,5.272299766540527
2026-01-08,5.489409923553467
2026-01-09,4.622729778289795
2026-01-10,5.4011101722717285
2026-01-11,5.398019790649414
2026-01-12,4.729589939117432
2026-01-13,5.393509864807129
2026-01-14,4.661049842834473
2026-01-15,4.501220226287842
2026-01-16,5.550730228424072
2026-01-17,5.647029876708984
2026-01-18,5.35876989364624
2026-01-19,5.440499782562256
2026-01-20,4.554389953613281
2026-01-21,4.596159934997559
2026-01-22,5.796420097351074
2026-01-23,5.708469867706299
2026-01-24,5.086609840393066
2026-01-25,4.798530101776123
2026-01-26,5.486340045928955
2026-01-27,6.324130058288574
2026-01-28,5.882460117340088
2026-01-29,4.789820194244385
2026-01-30,4.727489948272705
2026-01-31,5.67717981338501
2026-02-01,5.860139846801758
2026-02-02,6.1738200187683105
2026-02-03,6.5200700759887695
2026-02-04,5.160250186920166
2026-02-05,4.936739921569824
2026-02-06,5.744070053100586
2026-02-07,5.936910152435303
2026-02-08,4.9305100440979
2026-02-09,6.079659938812256
2026-02-10,5.906589984893799
2026-02-11,5.052480220794678
2026-02-12,4.947490215301514
2026-02-13,5.10906982421875
2026-02-14,4.996960163116455
2026-02-15,4.826580047607422
2026-02-16,4.572710037231445
2026-02-17,4.793210029602051
2026-02-18,5.713930130004883
2026-02-19,5.357679843902588
2026-02-20,5.442800045013428
2026-02-21,5.636740207672119
2026-02-22,5.205739974975586
2026-02-23,5.0461201667785645
2026-02-24,4.9297099113464355
2026-02-25,5.725339889526367
2026-02-26,5.560180187225342
2026-02-27,5.886940002441406
2026-02-28,5.91441011428833
