column,corr_with_Wh,abs_corr,weight
cos_DOY_k1_roll7,-0.7362885881253476,0.7362885881253476,0.02035715564687718
cos_DOY_k1,-0.7111596022685549,0.7111596022685549,0.019662380955831966
dayofyear_cos,-0.7109365119111959,0.7109365119111959,0.01965621287825842
Wh_roll_mean_7,0.6795317008437725,0.6795317008437725,0.01878792205144002
Wh_roll_mean_14,0.6760640790741853,0.6760640790741853,0.018692048073184135
Wh_lag1,0.6708342431013912,0.6708342431013912,0.018547451801256474
Wh_roll_mean_30,0.6659541597045368,0.6659541597045368,0.018412525606715763
Td dew point_roll7,0.592651055609192,0.592651055609192,0.016385816618508367
TxSoil0cm_roll7,0.58632909734524,0.58632909734524,0.016211024980490447
Temperature_roll7,0.5860178318268848,0.5860178318268848,0.016202419006274827
T Min_roll7,0.5849867054956521,0.5849867054956521,0.01617391007709267
TxSoil0cm,0.5817171640111032,0.5817171640111032,0.016083512689480904
TxSoil10cm,0.5809291433297757,0.5809291433297757,0.016061725227442977
TxSoil10cm_roll7,0.5793238575454528,0.5793238575454528,0.016017341743716326
T Min,0.5788934951781147,0.5788934951781147,0.016005442939581976
Temperature,0.5780232907372154,0.5780232907372154,0.015981383233192807
TxSoil5cm_roll7,0.5737575103148094,0.5737575103148094,0.015863441494837986
Wh_lag7,0.5734437497517789,0.5734437497517789,0.015854766536784207
Wh_lag14,0.5729535419928607,0.5729535419928607,0.015841213107044092
TxSoil5cm,0.5686129081958696,0.5686129081958696,0.01572120179729879
TxSoil20cm,0.5636287284006953,0.5636287284006953,0.015583397510367332
DHT11_temp_roll7,0.5610805278622795,0.5610805278622795,0.015512944000946435
TxSoil20cm_roll7,0.555410082626785,0.555410082626785,0.015356165615259433
DHT11_humidity_roll7,0.5552379615162057,0.5552379615162057,0.015351406752641317
T Max_roll7,0.5542182094685133,0.5542182094685133,0.015323212303493393
TxSoil30cm,0.5534065273956449,0.5534065273956449,0.015300770643307903
DHT11_temp,0.5533322378471283,0.5533322378471283,0.015298716660771056
Wh_lag30,0.5475923291953897,0.5475923291953897,0.015140017727082835
TxSoil50cm,0.5436656358692423,0.5436656358692423,0.015031451183329304
TxSoil30cm_roll7,0.5416066427789957,0.5416066427789957,0.01497452344671897
