,Wh
2025-12-01,5.853740215301514
2025-12-02,5.640279154661839
2025-12-03,5.628351902921309
2025-12-04,5.616424651180778
2025-12-05,5.604497399440219
2025-12-06,5.592570147699688
2025-12-07,5.580642895951882
2025-12-08,5.568715644211351
2025-12-09,5.556788392470792
2025-12-10,5.544861140730261
2025-12-11,5.532933888989731
2025-12-12,5.5210066372492
2025-12-13,5.509079385508669
2025-12-14,5.49715213376811
2025-12-15,5.4852248820275795
2025-12-16,5.473297630287049
2025-12-17,5.461370378546518
2025-12-18,5.4494431268059875
2025-12-19,5.437515875065428
2025-12-20,5.425588623317622
2025-12-21,5.413661371577091
2025-12-22,5.4017341198365605
2025-12-23,5.389806868096001
2025-12-24,5.377879616355471
2025-12-25,5.36595236461494
2025-12-26,5.354025112874409
2025-12-27,5.342097861133879
2025-12-28,5.33017060939332
2025-12-29,5.318243357652789
2025-12-30,5.306316105912258
2025-12-31,5.294388854171728
2026-01-01,5.282461602423921
2026-01-02,5.270534350683362
2026-01-03,5.258607098942831
2026-01-04,5.246679847202301
2026-01-05,5.23475259546177
2026-01-06,5.222825343721211
2026-01-07,5.21089809198068
2026-01-08,5.1989708402401495
2026-01-09,5.187043588499619
2026-01-10,5.175116336759088
2026-01-11,5.163189085018529
2026-01-12,5.1512618332779985
2026-01-13,5.139334581537468
2026-01-14,5.127407329789661
2026-01-15,5.1154800780491305
2026-01-16,5.103552826308571
2026-01-17,5.091625574568041
2026-01-18,5.07969832282751
2026-01-19,5.067771071086979
2026-01-20,5.05584381934642
2026-01-21,5.04391656760589
2026-01-22,5.031989315865359
2026-01-23,5.020062064124828
2026-01-24,5.008134812384298
2026-01-25,4.996207560643739
2026-01-26,4.984280308903208
2026-01-27,4.972353057155401
2026-01-28,4.960425805414871
2026-01-29,4.94849855367434
2026-01-30,4.936571301933781
2026-01-31,4.92464405019325
2026-02-01,4.91271679845272
2026-02-02,4.900789546712189
2026-02-03,4.88886229497163
2026-02-04,4.876935043231099
2026-02-05,4.8650077914905685
2026-02-06,4.853080539750038
2026-02-07,4.841153288009507
2026-02-08,4.829226036261672
2026-02-09,4.8172987845211415
2026-02-10,4.805371532780611
2026-02-11,4.79344428104008
2026-02-12,4.7815170292995495
2026-02-13,4.76958977755899
2026-02-14,4.75766252581846
2026-02-15,4.745735274077929
2026-02-16,4.733808022337398
2026-02-17,4.721880770596839
2026-02-18,4.709953518856309
2026-02-19,4.698026267115778
2026-02-20,4.686099015375247
2026-02-21,4.674171763627441
2026-02-22,4.662244511886882
2026-02-23,4.650317260146351
2026-02-24,4.63839000840582
2026-02-25,4.62646275666529
2026-02-26,4.614535504924759
2026-02-27,4.6026082531842
2026-02-28,4.590681001443669
