rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,49dd243769176ca3c2b0708b5fe46833,WindowRegression,"{""window_size"": 78, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Detrend"", ""1"": ""Detrend"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}}}",0,1,40.30962958826502,77558856.09987624,333504512.632515,240782200.06894994,77558856.09987624,0.0,-8.810203281923314,2.8027915864200734,2326765674.1860843,77558855.9773116,160493424.50055715,0.8333333333333334,0.6666666666666666,1745379152.8840299,0.8666666666666667,12668.600065727565,0.43160498979997497,624856511.0998651,2.301596984642808e+17,19.12462797343184,2326765665.375881,598830106.7930014,802645385.7143084,14962608.49431293,40.30962958826502,77558856.09987624,333504512.632515,240782200.06894994,77558856.09987624,0.0,2.8027915864200734,77558855.9773116,160493424.50055715,1745379152.8840299,0.8666666666666667,12668.600065727565,0.43160498979997497,624856511.0998651,2.301596984642808e+17,19.12462797343184,2326765665.375881,598830106.7930014,802645385.7143084,14962608.49431293,0.8333333333333334,0.6666666666666666,0.327,3672138101.0634685,1178944648.069985,Wh,1178944648.069985,Wh
1,36818caaebba02cd44b68eed35ef66ce,WindowRegression,"{""window_size"": 78, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Detrend"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}}}",0,1,40.31062999813506,25523147.369612966,109753193.04503521,79239049.11158961,25523147.369612966,0.0,-14.296512557229775,2.501450287422915,765694406.7918764,25523147.12649385,52815339.23623678,0.8333333333333334,0.6333333333333333,574387065.5000304,0.8333333333333334,7267.416602039449,0.4316048254411858,205629074.56523207,2.4926435501043436e+16,18.01322636367939,765694392.4953638,197061400.86926505,264140856.420553,4923910.298181276,40.31062999813506,25523147.369612966,109753193.04503521,79239049.11158961,25523147.369612966,0.0,2.501450287422915,25523147.12649385,52815339.23623678,574387065.5000304,0.8333333333333334,7267.416602039449,0.4316048254411858,205629074.56523207,2.4926435501043436e+16,18.01322636367939,765694392.4953638,197061400.86926505,264140856.420553,4923910.298181276,0.8333333333333334,0.6333333333333333,0.3343,1208445920.6893458,387968305.702677,Wh,387968305.702677,Wh
2,8e2f3a0c126310752a14dea426c15c21,WindowRegression,"{""window_size"": 78, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}}}}",0,1,40.305612730472696,25516296.09961381,109720775.83902761,79217683.31796001,25516296.09961381,0.0,-8.790189314136484,2.6666044983040336,765488874.1982251,25516295.97720324,52801161.76566456,0.8333333333333334,0.6666666666666666,574232195.340138,0.8666666666666667,7266.441005740268,0.4314980565083688,205572939.5224124,2.4911712903217132e+16,18.01296650671142,765488865.4080359,197011784.62807155,264074328.3020544,4922588.626047108,40.305612730472696,25516296.09961381,109720775.83902761,79217683.31796001,25516296.09961381,0.0,2.6666044983040336,25516295.97720324,52801161.76566456,574232195.340138,0.8666666666666667,7266.441005740268,0.4314980565083688,205572939.5224124,2.4911712903217132e+16,18.01296650671142,765488865.4080359,197011784.62807155,264074328.3020544,4922588.626047108,0.8333333333333334,0.6666666666666666,0.3383,1208107825.0809224,387864161.97874707,Wh,387864161.97874707,Wh
3,8a45e5262ae392a632be0e70369bb17f,WindowRegression,"{""window_size"": 78, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""mean"", ""transformations"": {""0"": ""DatepartRegression"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 3, ""min_samples_split"": 1.0}}, ""datepart_method"": [""dayofweek"", [365.25, 14]], ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 2}}}, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null}, ""1"": {}}}",0,1,35.04319163021517,14097638.006777963,77208849.86782642,29174306.045353755,14097638.006777963,0.0,-1.3873120998651753,1.8526874284246262,422929138.81602675,14097638.000337463,29172402.198004484,0.8333333333333334,0.5,422890285.73176235,0.9333333333333333,5401.148414680006,0.48254486021168524,140973756.26200667,7.709745313018722e+16,16.495627494378645,422929137.42871463,29180064.41830487,29185686.014660906,2719707.961291856,35.04319163021517,14097638.006777963,77208849.86782642,29174306.045353755,14097638.006777963,0.0,1.8526874284246262,14097638.000337463,29172402.198004484,422890285.73176235,0.9333333333333333,5401.148414680006,0.48254486021168524,140973756.26200667,7.709745313018722e+16,16.495627494378645,422929137.42871463,29180064.41830487,29185686.014660906,2719707.961291856,0.8333333333333334,0.5,0.3235,742400096.2773939,214293192.47715682,Wh,214293192.47715682,Wh
4,905b7a8c847ec7286ad24f74ac9c1e61,DatepartRegression,"{""regression_model"": {""model"": ""MLP"", ""model_params"": {""hidden_layer_sizes"": [25, 50, 25], ""max_iter"": 250, ""activation"": ""relu"", ""solver"": ""adam"", ""early_stopping"": false, ""learning_rate_init"": 0.001, ""alpha"": 0.0001}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""mean"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Detrend"", ""2"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""2"": {}}}",0,4,154.83695857042048,7244.737007537365,7244.770103188694,399.8301398956344,7244.737007537365,0.0,-155.96849966049194,6.27012428514226,869212.4724048233,7243.892028348275,10171.37995110812,0.25,0.5166666666666666,14487.834631858279,0.6083333333333334,7377.467845222456,7244.546985959613,28715.582006494315,342296674.7518358,3.2243541053953084,217342.11022612095,185501.3026699622,11965.350093104411,1200.6005267828568,154.83695857042048,7244.737007537365,7244.770103188694,399.8301398956344,7244.737007537365,0.0,6.27012428514226,7243.892028348275,10171.37995110812,14487.834631858279,0.6083333333333334,7377.467845222456,7244.546985959613,28715.582006494315,342296674.7518358,3.2243541053953084,217342.11022612095,185501.3026699622,11965.350093104411,1200.6005267828568,0.25,0.5166666666666666,0.14529999999999998,182813.61897396797,220201.4213516491,Wh,220201.4213516491,Wh
5,37ecbfc69bc847214dbd684e758e335d,DatepartRegression,"{""regression_model"": {""model"": ""MLP"", ""model_params"": {""hidden_layer_sizes"": [25, 50, 25], ""max_iter"": 250, ""activation"": ""relu"", ""solver"": ""adam"", ""early_stopping"": false, ""learning_rate_init"": 0.001, ""alpha"": 0.0001}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Detrend"", ""2"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""2"": {}}}",0,4,154.83695857042048,7244.737007537365,7244.770103188694,399.8301398956344,7244.737007537365,0.0,-155.96849966049194,6.27012428514226,869212.4724048233,7243.892028348275,10171.37995110812,0.25,0.5166666666666666,14487.834631858279,0.6083333333333334,7377.467845222456,7244.546985959613,28715.582006494315,342296674.7518358,3.2243541053953084,217342.11022612095,185501.3026699622,11965.350093104411,1200.6005267828568,154.83695857042048,7244.737007537365,7244.770103188694,399.8301398956344,7244.737007537365,0.0,6.27012428514226,7243.892028348275,10171.37995110812,14487.834631858279,0.6083333333333334,7377.467845222456,7244.546985959613,28715.582006494315,342296674.7518358,3.2243541053953084,217342.11022612095,185501.3026699622,11965.350093104411,1200.6005267828568,0.25,0.5166666666666666,0.1401,182813.61897313502,220201.4213516491,Wh,220201.4213516491,Wh
6,d188d015b51cae528a6f00348f0c10c4,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {""0"": ""MinMaxScaler"", ""1"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}}}",0,4,167.21312178049976,2632.4756724803347,4741.579548054032,929.2928125732526,2632.4756724803347,0.0,-66.34513525707939,5.872421733313601,315830.7355623831,2632.131139388867,5033.765976765438,0.09166666666666666,0.4666666666666667,27747.976818828356,0.3833333333333333,5441.732956962214,1066.2419447774735,20154.447242152502,163428607.3711139,4.1408491418179585,78941.09760678149,24904.668943954388,5057.352142615189,475.32927131483893,167.21312178049976,2632.4756724803347,4741.579548054032,929.2928125732526,2632.4756724803347,0.0,5.872421733313601,2632.131139388867,5033.765976765438,27747.976818828356,0.3833333333333333,5441.732956962214,1066.2419447774735,20154.447242152502,163428607.3711139,4.1408491418179585,78941.09760678149,24904.668943954388,5057.352142615189,475.32927131483893,0.09166666666666666,0.4666666666666667,0.040175,89466.60714105982,80747.67125503534,Wh,80747.67125503534,Wh
7,a3858e10c80715e33caec1da5fdbed98,SeasonalityMotif,"{""window"": 50, ""point_method"": ""median"", ""distance_metric"": ""mse"", ""k"": 10, ""datepart_method"": ""lunar_phase"", ""independent"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DatepartRegression"", ""1"": ""MinMaxScaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": 4}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 2, ""fill"": ""bfill""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,168.56363029186895,2379.0033432982873,3939.020467984967,773.5642372277628,2379.0033432982873,0.0,-4.709935388515541,6.066443068022628,71365.3903635601,2378.9405706364855,5526.393648200757,1.0,0.4666666666666667,11210.904456048542,0.8333333333333334,591.8197543554288,1155.604099461574,17385.62677291245,77621216.8508608,3.9770821529049334,71360.68042817159,27624.83491979237,4910.640968682006,458.895340868811,168.56363029186895,2379.0033432982873,3939.020467984967,773.5642372277628,2379.0033432982873,0.0,6.066443068022628,2378.9405706364855,5526.393648200757,11210.904456048542,0.8333333333333334,591.8197543554288,1155.604099461574,17385.62677291245,77621216.8508608,3.9770821529049334,71360.68042817159,27624.83491979237,4910.640968682006,458.895340868811,1.0,0.4666666666666667,0.0697,89347.72245721817,36162.38557864177,Wh,36162.38557864177,Wh
8,7ea3170294639805e3b409896cd25718,Theta,"{""deseasonalize"": true, ""difference"": true, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MinMaxScaler"", ""4"": ""DatepartRegression"", ""5"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}, ""4"": {""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 9, ""min_samples_split"": 1.0}}, ""datepart_method"": [168, ""daysinmonth"", ""isoweek_binary""], ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null}, ""5"": {}}}",0,1,115.44298555918392,40.664761555380245,58.887789639805604,10.027416365705124,40.664761555380245,0.0,-3.870697492388035,2.9282058498241073,1216.0721491690194,40.62255349256852,4676.156632082983,1.0,0.4666666666666667,140.94036474713752,0.8,16.737705645951717,25.300465897113224,271.9134228876246,14371.451013778296,0.3551075631459657,1212.2014516766315,576.848010939274,70.20520303021624,7.795239549722833,115.44298555918392,40.664761555380245,58.887789639805604,10.027416365705124,40.664761555380245,0.0,2.9282058498241073,40.62255349256852,4676.156632082983,140.94036474713752,0.8,16.737705645951717,25.300465897113224,271.9134228876246,14371.451013778296,0.3551075631459657,1212.2014516766315,576.848010939274,70.20520303021624,7.795239549722833,1.0,0.4666666666666667,0.6766,48552.37329556631,618.1306095982263,Wh,618.1306095982263,Wh
9,fd8d14c56663f051751908d1215e6185,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": [2, 4, 6, 8, 12, [52, 2]], ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 89, ""min_rolling_periods"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.2, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": 30, ""datepart_method"": ""simple_2"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": null, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": false, ""frac_slice"": 0.1, ""discard_data"": null, ""transformation_dict"": null, ""synthetic_boundary_ratio"": 0.0, ""rolling_skew_periods"": null, ""diff_periods"": 28, ""rolling_range_periods"": 7}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DatepartRegression"", ""1"": ""Detrend"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 2}}}}}}",0,1,191.6417719518085,1591.8486230368696,1746.8989215677586,446.0146178601951,1591.8486230368696,0.0,-0.10702359454928967,7.034028381014007,47755.35166751154,1591.8484447492997,2798.066596763596,0.03333333333333333,0.5,2867.332827484678,0.9333333333333333,787.3051152133789,1404.8531657807246,7127.24056370361,7742177.859878212,5.5211588142648536,47755.244643916994,42635.443398785595,5856.573339362893,307.097117595481,191.6417719518085,1591.8486230368696,1746.8989215677586,446.0146178601951,1591.8486230368696,0.0,7.034028381014007,1591.8484447492997,2798.066596763596,2867.332827484678,0.9333333333333333,787.3051152133789,1404.8531657807246,7127.24056370361,7742177.859878212,5.5211588142648536,47755.244643916994,42635.443398785595,5856.573339362893,307.097117595481,0.03333333333333333,0.5,0.4068,46836.74413396664,24197.126015502014,Wh,24197.126015502014,Wh
