,Wh
2025-12-31,4.685016089648265
2026-01-01,7.7433272781041325
2026-01-02,7.735891622199528
2026-01-03,7.7284559662949235
2026-01-04,7.72102031039032
2026-01-05,7.713584654485715
2026-01-06,7.706148998581111
2026-01-07,7.698713342676507
2026-01-08,7.691277686771903
2026-01-09,7.683842030867298
2026-01-10,7.676406374962696
2026-01-11,7.66897071905809
2026-01-12,7.661535063153486
2026-01-13,7.654099407248883
2026-01-14,7.646663751344278
2026-01-15,7.639228095439673
2026-01-16,7.6317924395350705
2026-01-17,7.624356783630466
2026-01-18,7.616921127725861
2026-01-19,7.609485471821258
2026-01-20,7.602049815916653
2026-01-21,7.594614160012048
2026-01-22,7.587178504107445
2026-01-23,7.579742848202841
2026-01-24,7.572307192298236
2026-01-25,7.564871536393633
2026-01-26,7.557435880489028
2026-01-27,7.550000224584424
2026-01-28,7.54256456867982
2026-01-29,7.535128912775216
2026-01-30,7.527693256870613
2026-01-31,7.5202576009660085
2026-02-01,7.485567354220868
2026-02-02,7.478131698316264
2026-02-03,7.470696042411659
2026-02-04,7.463260386507056
2026-02-05,7.455824730602451
2026-02-06,7.448389074697847
2026-02-07,7.440953418793244
2026-02-08,7.433517762888639
2026-02-09,7.426082106984034
2026-02-10,7.4186464510794305
2026-02-11,7.411210795174826
2026-02-12,7.403775139270222
2026-02-13,7.396339483365619
2026-02-14,7.388903827461014
2026-02-15,7.381468171556409
2026-02-16,7.374032515651806
2026-02-17,7.366596859747201
2026-02-18,7.359161203842598
2026-02-19,7.351725547937994
2026-02-20,7.344289892033389
2026-02-21,7.3368542361287865
2026-02-22,7.329418580224181
2026-02-23,7.321982924319577
2026-02-24,7.314547268414973
2026-02-25,7.307111612510369
2026-02-26,7.299675956605764
2026-02-27,7.292240300701161
2026-02-28,7.284804644796557
