LocalTime,W,DHT11_temp,DHT11_humidity,LM35_tempC,INA219_busVoltage_V,INA219_shuntVoltage_mV,INA219_current_mA,INA219_power_mW,ACS712_20A_current_A,,,,,
2025/4/22 23:49,0.3696,33,56,32.23,2.64,0.02,2,0,0.14,,,,,
2025/4/22 23:50,0.3696,33,56,33.69,2.64,0,0,0,0.14,,,,,
2025/4/22 23:52,0.3696,32,56,33.69,2.64,0,0,0,0.14,,,,,
2025/4/22 23:53,0.396,32,56,33.69,2.64,0.01,1,0,0.14,,,,,
2025/4/22 23:54,0.114,33,56,33.69,2.64,-0.01,-1,0,0.15,,,,,
2025/4/22 23:55,0.114,33,56,34.18,0.95,0,-1,0,0.12,,,,,
2025/4/22 23:56,0.0065,33,56,33.69,0.95,0,0,0,0.12,,,,,
2025/4/23 00:02,0.0065,29,61,33.69,0.05,-0.02,-1,0,0.13,,,,,
2025/4/23 00:03,0.006,30,60,33.2,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:04,0.0065,31,60,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:05,0.006,31,59,33.69,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 00:07,0.0065,31,59,33.2,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:08,0.006,32,59,33.2,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:09,0.0065,32,58,33.2,0.05,0,0,0,0.12,,,,,
2025/4/23 00:10,0.006,32,58,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:11,0.0065,33,58,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:12,0.006,32,58,34.18,0.05,-0.02,-1,0,0.13,,,,,
2025/4/23 00:13,0.006,32,57,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:15,0.0065,33,57,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 00:16,0.006,33,57,33.2,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:18,0.006,33,57,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:19,0.006,33,56,33.69,0.05,0,-2,0,0.12,,,,,
2025/4/23 00:20,0.006,34,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:22,0.0048,34,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:23,0.0048,33,56,33.69,0.04,-0.01,-1,0,0.12,,,,,
2025/4/23 00:24,0.0065,33,56,31.74,0.04,-0.01,-1,0,0.12,,,,,
2025/4/23 00:25,0.006,33,56,31.74,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:26,0.006,33,56,31.74,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:27,0.006,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:29,0.0065,33,56,33.2,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 00:30,0.006,33,56,34.18,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 00:31,0.006,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:32,0.0065,33,56,31.25,0.05,0,0,0,0.12,,,,,
2025/4/23 00:33,0.006,33,56,33.2,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:34,0.0065,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:35,0.0065,33,56,31.74,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:37,0.006,33,56,34.18,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 00:38,0.006,33,56,33.69,0.05,0,-2,0,0.12,,,,,
2025/4/23 00:39,0.006,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:40,0.006,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:41,0.0052,33,56,33.2,0.05,0,0,0,0.12,,,,,
2025/4/23 00:42,0.0052,33,56,32.71,0.04,0,0,0,0.13,,,,,
2025/4/23 00:43,0.006,33,56,33.69,0.04,-0.01,-1,0,0.13,,,,,
2025/4/23 00:45,0.006,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:46,0.006,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:47,0.006,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:48,0.0065,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:49,0.0052,33,56,34.18,0.05,0,0,0,0.13,,,,,
2025/4/23 00:50,0.0048,33,56,34.18,0.04,-0.01,-1,0,0.13,,,,,
2025/4/23 00:51,0.006,33,56,33.69,0.04,-0.01,-1,0,0.12,,,,,
2025/4/23 00:53,0.006,33,56,33.69,0.05,-0.01,0,0,0.12,,,,,
2025/4/23 00:54,0.0065,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:55,0.006,33,55,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 00:56,0.006,33,55,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 00:57,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 00:58,0.006,33,55,33.69,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 00:59,0.006,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:01,0.0065,33,55,34.18,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 01:02,0.006,33,55,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:03,0.006,33,55,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:04,0.0065,33,55,33.69,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 01:05,0.0065,33,55,34.18,0.05,0,0,0,0.13,,,,,
2025/4/23 01:06,0.006,33,55,34.18,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:07,0.006,33,55,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 01:09,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:10,0.006,33,55,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:11,0.006,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:12,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:13,0.006,33,55,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:14,0.0055,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:15,0.006,33,55,34.18,0.05,-0.01,-1,0,0.11,,,,,
2025/4/23 01:17,0.006,33,55,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 01:18,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:19,0.0065,33,55,33.2,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:20,0.006,33,55,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:21,0.006,33,55,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:22,0.006,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:23,0.006,33,55,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:25,0.0055,33,55,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:26,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.11,,,,,
2025/4/23 01:27,0.0065,33,55,33.69,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:28,0.006,33,55,34.18,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:29,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:30,0.0065,33,55,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:31,0.0065,34,55,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:33,0.0065,33,55,34.18,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:34,0.006,33,55,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:35,0.0065,33,55,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 01:36,0.006,33,55,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:37,0.006,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:38,0.0055,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:39,0.006,33,54,33.69,0.05,-0.01,-1,0,0.11,,,,,
2025/4/23 01:40,0.0065,33,54,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:42,0.0065,33,54,33.2,0.05,0,0,0,0.13,,,,,
2025/4/23 01:43,0.0065,33,54,33.69,0.05,0,-1,0,0.13,,,,,
2025/4/23 01:44,0.0065,33,54,31.25,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:45,0.006,33,54,35.16,0.05,0,0,0,0.13,,,,,
2025/4/23 01:46,0.0065,33,54,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:47,0.0065,33,54,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:49,0.006,33,54,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:50,0.0065,33,54,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:51,0.0065,33,54,34.18,0.05,0,0,0,0.13,,,,,
2025/4/23 01:52,0.0065,33,54,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:53,0.006,33,54,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 01:54,0.0065,33,54,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:55,0.006,33,54,33.69,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 01:57,0.006,33,54,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:58,0.0055,34,54,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 01:59,0.006,34,54,33.69,0.05,-0.02,-2,0,0.11,,,,,
2025/4/23 02:00,0.0065,33,54,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:01,0.006,34,54,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 02:02,0.0065,33,54,31.74,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:03,0.0065,33,54,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 02:05,0.006,33,54,33.69,0.05,0,0,0,0.13,,,,,
2025/4/23 02:06,0.006,33,54,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 02:07,0.006,33,54,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:08,0.006,33,54,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:09,0.0065,33,54,33.69,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 02:10,0.0065,33,54,34.18,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 02:11,0.0065,33,54,33.69,0.05,-0.01,-1,0,0.13,,,,,
2025/4/23 02:13,0.0055,33,54,33.69,0.05,-0.02,-2,0,0.13,,,,,
2025/4/23 02:14,0.006,34,54,34.67,0.05,-0.02,-2,0,0.11,,,,,
2025/4/23 02:15,0.006,34,54,33.69,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 02:16,0.0055,33,54,33.2,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:17,0.006,33,54,33.2,0.05,-0.02,-2,0,0.11,,,,,
2025/4/23 02:18,0.006,33,54,34.18,0.05,-0.02,-2,0,0.12,,,,,
2025/4/23 02:19,0.006,33,54,33.2,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:21,0.006,33,54,34.18,0.05,0,0,0,0.12,,,,,
2025/4/23 02:22,0.0065,33,54,34.18,0.05,-0.01,-2,0,0.12,,,,,
2025/4/23 02:23,0.0055,33,55,33.2,0.05,0,0,0,0.13,,,,,
2025/4/23 02:24,0.006,33,55,33.69,0.05,0,0,0,0.11,,,,,
2025/4/23 02:25,0.006,33,55,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:26,0.0055,33,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:27,0.006,33,56,33.2,0.05,-0.01,-1,0,0.11,,,,,
2025/4/23 02:29,0.006,33,56,34.18,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:30,0.0055,34,56,33.2,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:31,0.006,34,56,34.18,0.05,-0.02,-2,0,0.11,,,,,
2025/4/23 02:32,0,34,56,33.69,0.05,-0.01,-1,0,0.12,,,,,
2025/4/23 02:33,0,34,56,33.69,0,-0.01,-1,0,0.12,,,,,
2025/4/23 02:34,0,34,56,34.18,0,-0.01,-1,0,0.12,,,,,
2025/4/23 02:35,0,33,56,34.18,0,-0.01,-1,0,0.12,,,,,
2025/4/23 02:37,0,33,56,33.69,0,-0.01,-1,0,0.13,,,,,
