LocalTime,Wh,DHT11_temp,DHT11_humidity,LM35_tempC,INA219_busVoltage_V,INA219_shuntVoltage_mV,INA219_current_mA,INA219_power_mW,ACS712_20A_current_A,hour
2025-04-22 23:00:00,0.24847,32.71429,56.0,33.55143,2.15714,0.00286,0.14286,0.0,0.13571,23
2025-04-23 00:00:00,0.00602,32.68,56.58,33.5342,0.0488,-0.0096,-0.98,0.0,0.1236,0
2025-04-23 01:00:00,0.00619,33.05769,54.65385,33.86923,0.05,-0.01019,-1.03846,0.0,0.12385,1
2025-04-23 02:00:00,0.00319,33.45283,55.5283,33.74566,0.02736,-0.01094,-1.13208,0.0,0.12075,2
2025-04-23 03:00:00,0.0,33.76923,57.32692,33.86923,0.0,-0.01154,-1.19231,0.0,0.12077,3
2025-04-23 04:00:00,0.0,33.58491,59.01887,33.81019,0.0,-0.01019,-1.03774,0.0,0.12113,4
2025-04-23 05:00:00,0.17683,33.69231,59.96154,33.90673,1.41365,-0.00923,-0.96154,0.0,0.12115,5
2025-04-23 06:00:00,0.46112,34.0,59.79245,33.78264,3.61774,0.06132,6.13208,29.43396,0.12623,6
2025-04-23 07:00:00,0.56111,34.15094,58.84906,33.82868,4.36736,0.10849,10.86792,48.30189,0.12792,7
2025-04-23 08:00:00,0.45176,34.34615,58.23077,33.59692,3.62385,0.06038,6.05769,22.30769,0.12462,8
2025-04-23 09:00:00,0.68755,34.0,58.13208,33.91189,5.00264,0.15019,15.0,89.0566,0.13434,9
2025-04-23 10:00:00,0.82404,34.79245,56.4717,33.86566,5.92264,0.20849,20.81132,132.45283,0.13925,10
2025-04-23 11:00:00,0.80543,35.30769,55.40385,33.91615,5.76712,0.19981,20.01923,119.61538,0.13923,11
2025-04-23 12:00:00,0.90902,35.57692,55.0,33.96327,6.3275,0.23481,23.42308,153.46154,0.14288,12
2025-04-23 13:00:00,0.97143,36.28302,55.66038,33.84736,6.75774,0.2617,26.13208,182.64151,0.14208,13
2025-04-23 14:00:00,0.83389,36.09434,56.0,33.92113,6.04566,0.21774,21.75472,137.35849,0.13755,14
2025-04-23 15:00:00,0.68284,36.75,57.32692,33.85019,5.14115,0.15827,15.76923,81.15385,0.13404,15
2025-04-23 16:00:00,0.47932,36.15385,58.67308,33.81288,3.82865,0.07288,7.30769,33.84615,0.12481,16
2025-04-23 17:00:00,0.33949,35.44444,58.09259,33.73593,2.91833,0.01778,1.77778,1.48148,0.11741,17
2025-04-23 18:00:00,0.11275,33.98148,55.94444,33.69019,1.00204,-0.01037,-1.0,0.0,0.11778,18
2025-04-23 19:00:00,0.00121,33.81481,56.61111,33.65426,0.01019,-0.01111,-1.09259,0.0,0.11833,19
2025-04-23 20:00:00,0.00118,33.57407,57.09259,33.77204,0.00981,-0.01315,-1.25926,0.0,0.12019,20
2025-04-23 21:00:00,0.00096,33.40741,57.24074,33.71741,0.00815,-0.01148,-1.16667,0.0,0.12019,21
2025-04-23 22:00:00,0.00032,33.86792,57.71698,33.71792,0.00264,-0.01189,-1.16981,0.0,0.12,22
2025-04-23 23:00:00,9e-05,34.0,58.66667,33.75352,0.00074,-0.0113,-1.11111,0.0,0.12111,23
2025-04-24 00:00:00,0.0,33.98148,59.24074,33.73537,0.0,-0.01148,-1.14815,0.0,0.12222,0
2025-04-24 01:00:00,0.0,33.81481,59.55556,33.80815,0.0,-0.0113,-1.14815,0.0,0.12296,1
2025-04-24 02:00:00,0.0,33.09259,59.7037,33.71722,0.0,-0.01093,-1.09259,0.0,0.1237,2
2025-04-24 03:00:00,0.0,33.0566,59.73585,33.71811,0.0,-0.01132,-1.22642,0.0,0.12283,3
2025-04-24 04:00:00,5e-05,33.01852,60.0,33.84444,0.00019,-0.01222,-1.22222,0.0,0.12259,4
2025-04-24 05:00:00,0.19735,33.60377,60.22642,33.76396,1.55377,-0.00906,-1.0,0.0,0.12226,5
2025-04-24 06:00:00,0.40576,33.22222,61.0,33.5187,3.26926,0.03889,3.94444,11.11111,0.1237,6
2025-04-24 07:00:00,0.38254,34.0,60.0,33.62,3.11571,0.03,3.0,0.0,0.11714,7
2025-04-24 08:00:00,0.49687,32.08966,39.27496,33.28422,4.02153,0.08299,8.30085,40.24532,0.12287,8
2025-04-24 09:00:00,0.48849,34.26087,62.65217,34.05239,4.03804,0.08565,8.58696,40.43478,0.12065,9
2025-04-24 10:00:00,0.61403,35.07692,61.19231,34.02942,4.92442,0.14442,14.48077,78.07692,0.12442,10
2025-04-24 11:00:00,0.56283,35.07407,60.0,33.91704,4.52315,0.11889,11.90741,61.48148,0.1237,11
2025-04-24 12:00:00,0.6195,35.24074,59.90741,34.02593,4.9213,0.14519,14.51852,84.07407,0.12315,12
2025-04-24 13:00:00,0.78315,35.87037,59.07407,34.10741,5.96407,0.21389,21.33333,133.33333,0.12963,13
2025-04-24 14:00:00,0.79056,36.0,58.75926,34.05315,6.09259,0.22185,22.2037,140.74074,0.13019,14
2025-04-24 15:00:00,0.59782,35.44444,58.0,33.89889,4.83444,0.14,14.0,72.96296,0.12222,15
2025-04-24 16:00:00,0.56795,35.65455,58.6,33.99291,4.71527,0.13182,13.21818,68.36364,0.12127,16
2025-04-24 17:00:00,0.32543,34.88889,58.03704,33.94407,2.88167,0.01537,1.51852,2.96296,0.11352,17
2025-04-24 18:00:00,0.12293,33.57407,56.40741,33.98944,1.14778,-0.00852,-0.90741,0.0,0.11222,18
2025-04-24 19:00:00,0.00018,34.0,58.83333,33.98944,0.00167,-0.01185,-1.14815,0.0,0.11111,19
2025-04-24 20:00:00,0.00053,33.71698,59.26415,33.8934,0.00453,-0.01151,-1.13208,0.0,0.11132,20
2025-04-24 21:00:00,0.00052,33.22222,59.42593,33.87167,0.00481,-0.01056,-1.11111,0.0,0.11148,21
2025-04-24 22:00:00,2e-05,34.0,59.42593,33.8987,0.00019,-0.01167,-1.11111,0.0,0.11056,22
2025-04-24 23:00:00,0.00018,34.0,59.64815,33.90778,0.00074,-0.01111,-1.09259,0.0,0.11074,23
2025-04-25 00:00:00,0.00441,34.0,60.0,33.935,0.04019,-0.01241,-1.25926,0.0,0.11037,0
2025-04-25 01:00:00,0.00284,34.37736,59.4717,33.93038,0.02491,-0.01264,-1.26415,0.0,0.12264,1
2025-04-25 02:00:00,0.0,34.32075,59.24528,33.83792,0.0,-0.0134,-1.33962,0.0,0.13358,2
2025-04-25 03:00:00,0.0,33.77778,59.7037,33.79907,0.0,-0.01444,-1.48148,0.0,0.1337,3
2025-04-25 04:00:00,2e-05,34.0,60.37037,33.87148,0.0,-0.01315,-1.35185,0.0,0.13148,4
2025-04-25 05:00:00,0.19506,34.0,59.22222,33.88074,1.40611,-0.00852,-0.85185,0.0,0.13259,5
2025-04-25 06:00:00,0.4783,34.0,60.01852,33.88963,3.40296,0.04556,4.53704,12.59259,0.13889,6
2025-04-25 07:00:00,0.53054,34.0,60.0,33.88434,3.79717,0.06849,6.90566,30.56604,0.14057,7
2025-04-25 08:00:00,0.62347,34.0,60.0,33.80132,4.31623,0.1017,10.20755,48.30189,0.14434,8
2025-04-25 09:00:00,0.62308,34.0,60.0,33.85333,4.28704,0.10222,10.22222,44.81481,0.14315,9
2025-04-25 10:00:00,0.61647,34.0,59.31481,33.83519,4.24889,0.09722,9.77778,49.62963,0.14481,10
2025-04-25 11:00:00,0.96325,34.0,59.40741,33.88963,6.10796,0.21833,21.81481,137.03704,0.15556,11
2025-04-25 12:00:00,1.01632,34.77778,59.03704,33.84426,6.50944,0.24333,24.33333,161.85185,0.15611,12
2025-04-25 13:00:00,1.14305,35.0,59.01852,33.77167,7.12611,0.28352,28.31481,202.59259,0.15981,13
