,Wh
2026-01-06,4.915274576128466
2026-01-07,5.206937138915749
2026-01-08,5.6236878722277766
2026-01-09,5.252018281326054
2026-01-10,5.658981180235475
2026-01-11,5.217680198738608
2026-01-12,5.131079432171916
2026-01-13,5.219135548429211
2026-01-14,5.50464602672405
2026-01-15,5.213577108149788
2026-01-16,4.940235919775256
2026-01-17,4.8201844716711
2026-01-18,4.971315449517633
2026-01-19,5.415492859885802
2026-01-20,5.601351968703337
2026-01-21,5.470451100954627
2026-01-22,5.400146760150266
2026-01-23,5.034286500584196
2026-01-24,5.124224434844834
2026-01-25,5.1257831382212515
2026-01-26,5.01407321576284
2026-01-27,4.670738856970235
2026-01-28,4.786776733277085
2026-01-29,4.593694837261507
2026-01-30,5.02591792113747
2026-01-31,4.985038029327718
2026-02-01,5.2484061493209
2026-02-02,4.8693911631873465
2026-02-03,5.071455011911581
2026-02-04,4.893822928216034
