column,corr_with_Wh,abs_corr,weight
day_of_year,-0.5759486251769128,0.5759486251769128,0.2120142838665005
TxSoil100cm,-0.2921127229602511,0.2921127229602511,0.10753054536363822
UVI Max,0.27157341924088574,0.27157341924088574,0.09996975681615243
GloblRad,0.26460701732154385,0.26460701732154385,0.0974053324048574
Cloud Amount Sat,0.1638284937311828,0.1638284937311828,0.060307428921590064
LM35_tempC,0.15697970262959596,0.15697970262959596,0.05778629860322499
Temperature,0.15696626597304641,0.15696626597304641,0.05778135239276215
TxSoil50cm,-0.1292023462105379,0.1292023462105379,0.04756108740998329
T Max,0.11461483292475474,0.11461483292475474,0.0421912314063712
TxSoil30cm,-0.10183194859503737,0.10183194859503737,0.03748568311882929
SunshineRate,-0.08921943405823402,0.08921943405823402,0.0328428501986972
TxSoil0cm,0.08600689937568302,0.08600689937568302,0.031660273818888786
T Min,0.07041979698202655,0.07041979698202655,0.02592245588325295
TxSoil5cm,0.05820947797997588,0.05820947797997588,0.02142767644314905
TxSoil10cm,0.05141825854488865,0.05141825854488865,0.018927739014410493
TxSoil20cm,-0.05123515114572982,0.05123515114572982,0.01886033476617326
DHT11_temp,-0.04917865082527239,0.04917865082527239,0.018103309879484653
SunShine,-0.018553598496317786,0.018553598496317786,0.0068298242697169605
DHT11_humidity,-0.013710312573771151,0.013710312573771151,0.005046946854020354
Td dew point,-0.000938810617650119,0.000938810617650119,0.000345588568296726
