column,corr_with_Wh,abs_corr,weight
day_of_year,-0.5361661420749211,0.5361661420749211,0.0714901905260221
Temperature,0.48752219349144277,0.48752219349144277,0.06500420627734689
TxSoil0cm,0.48421337440896906,0.48421337440896906,0.06456302193529433
TxSoil5cm,0.4774276488631808,0.4774276488631808,0.06365824117042106
TxSoil10cm,0.476652819159666,0.476652819159666,0.06355492856117063
T Min,0.46945942254611334,0.46945942254611334,0.06259579061105318
TxSoil20cm,0.4429104687972633,0.4429104687972633,0.05905586219553115
DHT11_temp,0.44125458328301786,0.44125458328301786,0.058835073224327995
TxSoil30cm,0.4250040780438297,0.4250040780438297,0.05666829762153108
T Max,0.42230625705889996,0.42230625705889996,0.05630858125549695
Td dew point,0.4213823236022031,0.4213823236022031,0.056185387764395474
TxSoil50cm,0.41041474182410087,0.41041474182410087,0.054723015470815074
UVI Max,0.4095680135059995,0.4095680135059995,0.05461011619569376
TxSoil100cm,0.29231684244940537,0.29231684244940537,0.038976326777741634
GloblRad,0.2898254269199808,0.2898254269199808,0.03864413166712019
SunshineRate,-0.24032272834989324,0.24032272834989324,0.03204364522343631
Cloud Amount Sat,0.23121251355993355,0.23121251355993355,0.03082892661299448
DHT11_humidity,0.21865071378453296,0.21865071378453296,0.0291539878415574
LM35_tempC,0.19486170148240325,0.19486170148240325,0.025982058679220453
SunShine,-0.12838411474179612,0.12838411474179612,0.01711821038882976
