,Wh
2026-01-06,4.336391355326198
2026-01-07,5.1300362373727815
2026-01-08,4.353681214477164
2026-01-09,4.400834585263172
2026-01-10,4.840384635283449
2026-01-11,4.661411134695253
2026-01-12,4.407904476928223
2026-01-13,4.5074190994396375
2026-01-14,4.498964921486922
2026-01-15,4.422215703162921
2026-01-16,4.469187765117363
2026-01-17,4.5462403057257665
2026-01-18,4.57748612777308
2026-01-19,4.323979470006022
2026-01-20,4.423494092517436
2026-01-21,4.415039914564721
2026-01-22,4.33829069624072
2026-01-23,4.385262758195161
2026-01-24,4.462315298803565
2026-01-25,4.493561120850878
2026-01-26,4.240054463083821
2026-01-27,4.339569085595235
2026-01-28,4.331114907642547
2026-01-29,4.254365689318519
2026-01-30,4.30133775127296
2026-01-31,4.3783902918813915
2026-02-01,4.409636113928677
2026-02-02,4.156129456161619
2026-02-03,4.637645993710598
2026-02-04,4.514467311448161
