column,corr_with_Wh,abs_corr,weight
UVI Max,0.31494916359780684,0.31494916359780684,0.09074409198442643
GloblRad,0.2676914097720743,0.2676914097720743,0.07712804706101163
Temperature,0.2673870419253725,0.2673870419253725,0.07704035168959772
TxSoil0cm,0.23946190413205726,0.23946190413205726,0.06899447773442705
LM35_tempC,0.23113653271644446,0.23113653271644446,0.06659574690144844
TxSoil5cm,0.22606328830954703,0.22606328830954703,0.06513402859789749
TxSoil10cm,0.22339166105370087,0.22339166105370087,0.06436427138793012
Cloud Amount Sat,0.22201561918618037,0.22201561918618037,0.06396780210261982
T Min,0.21933033183769834,0.21933033183769834,0.0631941091060369
T Max,0.20942701988820525,0.20942701988820525,0.06034073734206906
Td dew point,0.17022105525104428,0.17022105525104428,0.049044597924737775
TxSoil20cm,0.1621535441125754,0.1621535441125754,0.046720162563577465
SunshineRate,-0.15984272431234367,0.15984272431234367,0.046054362273409234
DHT11_temp,0.1577356535582686,0.1577356535582686,0.0454472667658636
TxSoil30cm,0.12877603347521338,0.12877603347521338,0.0371033346892359
TxSoil50cm,0.10435346849475693,0.10435346849475693,0.03006663245524526
SunShine,-0.07084320230076283,0.07084320230076283,0.02041155465413821
TxSoil100cm,-0.06962983438057141,0.06962983438057141,0.020061955471517717
DHT11_humidity,0.026330663592633707,0.026330663592633707,0.00758646929481028
