,Wh
2025-12-07,5.981025477482518
2025-12-08,5.972911128075136
2025-12-09,5.995201004157533
2025-12-10,5.974685667278859
2025-12-11,5.967437072464223
2025-12-12,5.96479116544167
2025-12-13,5.9406922897430325
2025-12-14,5.954298055603619
2025-12-15,5.917227291058749
2025-12-16,5.940454387353512
2025-12-17,5.89755662569055
2025-12-18,5.922571891489372
2025-12-19,5.8818505219130035
2025-12-20,5.900997368517045
2025-12-21,5.869360401270306
2025-12-22,5.876851765046487
2025-12-23,5.858674406690506
2025-12-24,5.85174362776129
2025-12-25,5.84808601819726
2025-12-26,5.827375495292374
2025-12-27,5.83599434998457
2025-12-28,5.805158562874338
2025-12-29,5.821251745990696
2025-12-30,5.7859210536521175
2025-12-31,5.803384837487962
2026-01-01,5.769767785568144
2026-01-02,5.782649365516267
2026-01-03,5.7561108544449775
2026-01-04,5.759919004117947
2026-01-05,5.743851858423837
2026-01-06,5.736445254906158
2026-01-07,5.731663893950809
2026-01-08,5.713551348968582
2026-01-09,5.718303259603269
2026-01-10,5.692333052444745
2026-01-11,5.702879433133292
2026-01-12,5.6734323015902355
2026-01-13,5.685026481596321
2026-01-14,5.656928502716213
2026-01-15,5.664945192538301
2026-01-16,5.642362858740385
2026-01-17,5.6433162134680845
2026-01-18,5.628880397605998
2026-01-19,5.6211131100301035
2026-01-20,5.615449383392681
2026-01-21,5.59936432142864
2026-01-22,5.601103614383421
2026-01-23,5.578920686429109
2026-01-24,5.585152094866078
2026-01-25,5.5602797488807045
2026-01-26,5.567311953432272
2026-01-27,5.543501623177466
2026-01-28,5.547740816360164
2026-01-29,5.528228273445319
2026-01-30,5.526968946865584
2026-01-31,5.513794211426362
2026-02-01,5.505753696369577
2026-02-02,5.499397211817955
2026-02-03,5.484894384002324
2026-02-04,5.484286658281919
