column,corr_with_Wh,abs_corr,weight
TxSoil100cm,-0.2921127229602511,0.2921127229602511,0.13646255656926215
UVI Max,0.27157341924088574,0.27157341924088574,0.12686747331751846
GloblRad,0.26460701732154385,0.26460701732154385,0.12361306862617687
Cloud Amount Sat,0.1638284937311828,0.1638284937311828,0.07653365751032581
LM35_tempC,0.15697970262959596,0.15697970262959596,0.07333419555721352
Temperature,0.15696626597304641,0.15696626597304641,0.07332791852660044
TxSoil50cm,-0.1292023462105379,0.1292023462105379,0.06035780400101257
T Max,0.11461483292475474,0.11461483292475474,0.05354314239780359
TxSoil30cm,-0.10183194859503737,0.10183194859503737,0.047571526172789806
SunshineRate,-0.08921943405823402,0.08921943405823402,0.04167949942018112
TxSoil0cm,0.08600689937568302,0.08600689937568302,0.04017874076987069
T Min,0.07041979698202655,0.07041979698202655,0.032897113935579515
TxSoil5cm,0.05820947797997588,0.05820947797997588,0.02719297571571564
TxSoil10cm,0.05141825854488865,0.05141825854488865,0.024020408780105067
TxSoil20cm,-0.05123515114572982,0.05123515114572982,0.02393486884345752
DHT11_temp,-0.04917865082527239,0.04917865082527239,0.0229741599483735
SunShine,-0.018553598496317786,0.018553598496317786,0.008667446794885634
DHT11_humidity,-0.013710312573771151,0.013710312573771151,0.0064048709902824
Td dew point,-0.000938810617650119,0.000938810617650119,0.00043857212284565935
