column,corr_with_Wh,abs_corr,weight
TxSoil0cm,0.5552922197119026,0.5552922197119026,0.06694356239685235
Temperature,0.5547580392234869,0.5547580392234869,0.0668791639709641
TxSoil5cm,0.550582646271245,0.550582646271245,0.06637579715128347
TxSoil10cm,0.5501019385287773,0.5501019385287773,0.06631784516202413
T Min,0.5458294866703991,0.5458294866703991,0.06580277735193078
TxSoil20cm,0.5252054847772464,0.5252054847772464,0.06331643933278226
DHT11_temp,0.5202892299784658,0.5202892299784658,0.0627237575011302
TxSoil30cm,0.5118111441798165,0.5118111441798165,0.061701677152224535
Td dew point,0.50561480850242,0.50561480850242,0.06095467445827927
TxSoil50cm,0.5012537704442298,0.5012537704442298,0.060428927089596574
T Max,0.4918565873318585,0.4918565873318585,0.059296044452839924
UVI Max,0.43572618103681804,0.43572618103681804,0.052529212102618586
TxSoil100cm,0.41651766404722196,0.41651766404722196,0.05021351865330073
DHT11_humidity,0.3622715447387228,0.3622715447387228,0.04367384756876857
GloblRad,0.28412733380151944,0.28412733380151944,0.03425312875599365
SunshineRate,-0.2615644014357644,0.2615644014357644,0.03153304189530158
Cloud Amount Sat,0.21713069385563238,0.21713069385563238,0.026176311564274572
day_of_year,-0.1955136980490431,0.1955136980490431,0.023570262611595744
LM35_tempC,0.16543774044431075,0.16543774044431075,0.0199444388145289
SunShine,-0.14404621870725737,0.14404621870725737,0.017365572013710008
