,Wh
2026-01-06,4.8792606480209555
2026-01-07,5.173004321569964
2026-01-08,5.500205719462186
2026-01-09,5.128425759837104
2026-01-10,5.314000391508213
2026-01-11,5.134769967602537
2026-01-12,5.092725782329765
2026-01-13,5.20382991959109
2026-01-14,5.10731982719648
2026-01-15,5.028078480524451
2026-01-16,4.745381652610814
2026-01-17,4.450977829304124
2026-01-18,4.730837610720935
2026-01-19,4.856111759178449
2026-01-20,5.351782682162166
2026-01-21,4.980002722537056
2026-01-22,5.165577354208192
2026-01-23,4.986346930302517
2026-01-24,4.944302745029717
2026-01-25,5.055406882291071
2026-01-26,4.95889678989646
2026-01-27,4.8796554432244035
2026-01-28,4.596958615310795
2026-01-29,4.302554792004105
2026-01-30,4.582414573420888
2026-01-31,4.876158246969925
2026-02-01,5.203359644862147
2026-02-02,4.8315796852370365
2026-02-03,5.017154316908173
2026-02-04,4.837923893002498
