column,corr_with_Wh,abs_corr,weight
Month,-0.536207176154323,0.536207176154323,0.05404511927015817
Temperature,0.48453417990150355,0.48453417990150355,0.04883692107788646
TxSoil0cm,0.4803139845373838,0.4803139845373838,0.048411561306625994
TxSoil5cm,0.47838326150745414,0.47838326150745414,0.04821696085913001
TxSoil10cm,0.4737190154538546,0.4737190154538546,0.04774684455803895
T Min,0.46656207552638007,0.46656207552638007,0.04702548593176351
TxSoil20cm,0.4420272765236882,0.4420272765236882,0.04455258702750077
DHT11_temp,0.44125458328301786,0.44125458328301786,0.044474706125848584
TxSoil30cm,0.42503184448977555,0.42503184448977555,0.04283959214013597
Td dew point,0.41869528466865397,0.41869528466865397,0.04220092084567264
T Max,0.4142851958874692,0.4142851958874692,0.041756421434306086
TxSoil50cm,0.4076763362031275,0.4076763362031275,0.04109030463139111
UVI Max,0.40379704555400125,0.40379704555400125,0.04069930515369054
StnPresMax,-0.3849714980534769,0.3849714980534769,0.03880185020486113
SeaPres,-0.3645637793229391,0.3645637793229391,0.03674492586316539
StnPres,-0.3590994041863283,0.3590994041863283,0.03619416336104248
StnPresMin,-0.33211717917117406,0.33211717917117406,0.03347458474671494
TxSoil100cm,0.2970526690331176,0.2970526690331176,0.029940380586762554
GloblRad,0.29122656458866003,0.29122656458866003,0.029353158849374828
DHT11_humidity,0.21865071378453296,0.21865071378453296,0.022038130839168984
